,Wahlbezirk,Gültig,CDU/CSU,SPD,FDP,GRÜNE,DIE LINKE,AfD,PIRATEN,DIE PARTEI,OTHER
49773,100000,557,137,155,59,196,0.0,0.0,0.0,0.0,10
49774,100000,540,123,162,87,160,0.0,0.0,0.0,0.0,8
49775,110000,772,201,280,114,161,0.0,0.0,0.0,0.0,16
49776,120000,806,212,263,143,170,0.0,0.0,0.0,0.0,18
49777,130000,693,177,202,130,171,0.0,0.0,0.0,0.0,13
49778,140000,708,213,160,184,143,0.0,0.0,0.0,0.0,8
49779,150000,546,135,140,124,134,0.0,0.0,0.0,0.0,13
49780,160000,759,252,212,143,139,0.0,0.0,0.0,0.0,13
49781,170000,862,193,288,142,228,0.0,0.0,0.0,0.0,11
49782,180000,881,233,332,82,209,0.0,0.0,0.0,0.0,25
49783,190000,829,136,282,142,259,0.0,0.0,0.0,0.0,10
49784,200000,614,170,204,65,161,0.0,0.0,0.0,0.0,14
49785,210000,703,160,165,145,223,0.0,0.0,0.0,0.0,10
49786,220000,542,158,109,119,141,0.0,0.0,0.0,0.0,15
49787,240000,747,227,226,89,188,0.0,0.0,0.0,0.0,17
49788,250000,650,196,188,88,160,0.0,0.0,0.0,0.0,18
49789,260000,780,202,201,83,274,0.0,0.0,0.0,0.0,20
49790,270000,622,196,203,77,130,0.0,0.0,0.0,0.0,16
49791,280000,481,173,206,33,48,0.0,0.0,0.0,0.0,21
49792,290000,544,219,162,69,90,0.0,0.0,0.0,0.0,4
49793,300000,529,110,138,48,220,0.0,0.0,0.0,0.0,13
49794,310000,563,189,163,66,138,0.0,0.0,0.0,0.0,7
49795,320000,606,184,145,122,149,0.0,0.0,0.0,0.0,6
49796,330000,973,274,314,152,217,0.0,0.0,0.0,0.0,16
49797,350000,695,193,253,77,167,0.0,0.0,0.0,0.0,5
49798,360000,760,169,218,117,245,0.0,0.0,0.0,0.0,11
49799,370000,639,206,222,91,106,0.0,0.0,0.0,0.0,14
49800,380000,647,259,196,79,108,0.0,0.0,0.0,0.0,5
49801,400000,545,144,161,54,173,0.0,0.0,0.0,0.0,13
49802,400000,260,71,90,29,64,0.0,0.0,0.0,0.0,6
49803,410000,936,236,249,179,261,0.0,0.0,0.0,0.0,11
49804,420000,649,184,222,91,141,0.0,0.0,0.0,0.0,11
49805,430000,557,203,187,83,76,0.0,0.0,0.0,0.0,8
49806,450000,861,291,239,111,201,0.0,0.0,0.0,0.0,19
49807,460000,721,218,219,124,143,0.0,0.0,0.0,0.0,17
49808,470000,859,267,281,138,154,0.0,0.0,0.0,0.0,19
49809,480000,328,116,117,39,51,0.0,0.0,0.0,0.0,5
49810,500000,635,169,172,89,182,0.0,0.0,0.0,0.0,23
49811,500000,217,90,44,37,38,0.0,0.0,0.0,0.0,8
49812,510000,789,370,174,79,153,0.0,0.0,0.0,0.0,13
49813,520000,946,265,412,116,128,0.0,0.0,0.0,0.0,25
49814,530000,674,322,166,80,101,0.0,0.0,0.0,0.0,5
49815,540000,853,372,251,89,128,0.0,0.0,0.0,0.0,13
49816,550000,617,203,217,89,91,0.0,0.0,0.0,0.0,17
49817,560000,673,206,243,92,118,0.0,0.0,0.0,0.0,14
49818,570000,727,251,229,115,119,0.0,0.0,0.0,0.0,13
49819,580000,566,234,147,55,118,0.0,0.0,0.0,0.0,12
49820,590000,713,221,199,84,198,0.0,0.0,0.0,0.0,11
49821,600000,761,148,187,102,309,0.0,0.0,0.0,0.0,15
49822,600000,819,267,260,131,149,0.0,0.0,0.0,0.0,12
49829,700000,630,119,165,95,238,0.0,0.0,0.0,0.0,13
49830,800000,734,182,199,119,220,0.0,0.0,0.0,0.0,14
49831,900000,726,171,190,108,244,0.0,0.0,0.0,0.0,13
