,Wahlbezirk,Gültig,CDU/CSU,SPD,FDP,GRÜNE,DIE LINKE,AfD,PIRATEN,DIE PARTEI,OTHER
51050,1101,543,96,175,50,197,5,0.0,0.0,0.0,20
51051,1102,535,101,207,33,146,11,0.0,0.0,0.0,37
51052,1103,462,73,122,33,207,19,0.0,0.0,0.0,8
51053,1104,565,111,167,37,209,17,0.0,0.0,0.0,24
51054,1105,389,83,122,50,104,9,0.0,0.0,0.0,21
51055,1106,572,111,152,46,234,17,0.0,0.0,0.0,12
51056,1107,457,86,124,46,165,12,0.0,0.0,0.0,24
51057,1108,619,146,198,63,180,11,0.0,0.0,0.0,21
51058,1109,629,136,184,70,209,11,0.0,0.0,0.0,19
51059,1110,640,132,201,58,201,17,0.0,0.0,0.0,31
51060,1111,684,153,259,67,159,11,0.0,0.0,0.0,35
51061,1112,687,177,237,81,153,14,0.0,0.0,0.0,25
51062,1113,791,209,256,101,185,11,0.0,0.0,0.0,29
51063,1114,592,177,153,89,136,10,0.0,0.0,0.0,27
51064,1115,674,163,194,79,210,14,0.0,0.0,0.0,14
51065,1116,635,198,186,76,127,14,0.0,0.0,0.0,34
51066,1117,784,170,320,52,190,16,0.0,0.0,0.0,36
51067,1118,747,215,328,50,94,18,0.0,0.0,0.0,42
51068,1119,546,99,184,48,181,14,0.0,0.0,0.0,20
51069,1121,628,126,174,76,222,22,0.0,0.0,0.0,8
51070,1122,484,100,145,62,148,8,0.0,0.0,0.0,21
51071,1124,801,244,277,59,166,15,0.0,0.0,0.0,40
51072,1125,769,174,247,55,228,25,0.0,0.0,0.0,40
51073,1126,654,107,226,35,234,24,0.0,0.0,0.0,28
51074,1127,642,171,213,30,178,10,0.0,0.0,0.0,40
51075,1128,763,262,219,24,162,49,0.0,0.0,0.0,47
51076,1129,516,158,167,39,109,8,0.0,0.0,0.0,35
51077,1131,636,160,206,58,171,15,0.0,0.0,0.0,26
51078,1132,629,168,192,80,148,12,0.0,0.0,0.0,29
51079,1133,766,190,262,79,177,11,0.0,0.0,0.0,47
51080,1135,600,165,189,48,149,12,0.0,0.0,0.0,37
51081,1136,632,137,172,81,215,8,0.0,0.0,0.0,19
51082,1137,588,163,198,63,124,5,0.0,0.0,0.0,35
51083,1138,692,209,209,48,175,11,0.0,0.0,0.0,40
51084,1139,722,181,236,88,189,8,0.0,0.0,0.0,20
51085,1140,386,94,148,42,74,10,0.0,0.0,0.0,18
51086,1141,729,154,222,78,242,15,0.0,0.0,0.0,18
51087,1142,612,178,221,54,127,8,0.0,0.0,0.0,24
51088,1143,469,125,168,44,95,7,0.0,0.0,0.0,30
51089,1145,785,145,293,60,217,18,0.0,0.0,0.0,52
51090,1146,732,187,282,49,155,13,0.0,0.0,0.0,46
51091,1147,739,201,247,66,169,14,0.0,0.0,0.0,42
51092,1148,439,124,175,33,75,6,0.0,0.0,0.0,26
51093,11161,178,56,49,24,33,4,0.0,0.0,0.0,12
51094,12173,728,222,241,65,116,8,0.0,0.0,0.0,76
51095,12174,751,191,251,76,166,8,0.0,0.0,0.0,59
51096,13179,746,203,253,81,149,17,0.0,0.0,0.0,43
51097,14171,598,167,216,57,124,4,0.0,0.0,0.0,30
51098,15162,932,304,331,69,156,11,0.0,0.0,0.0,61
51099,16168,640,218,211,58,104,5,0.0,0.0,0.0,44
51100,16169,862,273,307,54,156,5,0.0,0.0,0.0,67
51101,17176,542,168,185,44,90,6,0.0,0.0,0.0,49
51102,17177,640,163,213,76,127,8,0.0,0.0,0.0,53
51103,18165,449,116,164,39,98,4,0.0,0.0,0.0,28
51104,18166,503,110,266,27,58,5,0.0,0.0,0.0,37
