,Wahlbezirk,Gültig,CDU/CSU,SPD,FDP,GRÜNE,DIE LINKE,AfD,PIRATEN,DIE PARTEI,OTHER
86989,011-01,550,92,188,36,209,15,0.0,0.0,0.0,10.0
86990,011-02,515,99,195,30,169,13,0.0,0.0,0.0,9.0
86991,011-03,444,68,131,23,190,26,0.0,0.0,0.0,6.0
86992,011-04,533,112,167,31,195,19,0.0,0.0,0.0,9.0
86993,011-05,417,94,141,30,132,11,0.0,0.0,0.0,9.0
86994,012-01,520,106,160,22,199,22,0.0,0.0,0.0,11.0
86995,012-02,456,85,151,35,164,9,0.0,0.0,0.0,12.0
86996,012-03,570,130,213,26,168,15,0.0,0.0,0.0,18.0
86997,012-04,624,129,192,43,231,20,0.0,0.0,0.0,9.0
86998,012-05,634,137,234,33,193,25,0.0,0.0,0.0,12.0
86999,013-01,559,164,204,43,128,11,0.0,0.0,0.0,9.0
87000,013-02,445,113,161,39,110,16,0.0,0.0,0.0,6.0
87001,013-03,592,184,159,57,172,11,0.0,0.0,0.0,9.0
87002,013-04,636,204,217,48,144,16,0.0,0.0,0.0,7.0
87003,014-01,508,148,152,59,130,7,0.0,0.0,0.0,12.0
87004,014-02,634,156,198,49,201,16,0.0,0.0,0.0,14.0
87005,014-03,587,215,171,50,121,19,0.0,0.0,0.0,11.0
87006,014-04,773,200,304,39,207,16,0.0,0.0,0.0,7.0
87007,014-05,710,233,298,38,99,17,0.0,0.0,0.0,25.0
87008,014-06,501,69,203,38,158,19,0.0,0.0,0.0,14.0
87009,015-01,583,146,175,37,198,19,0.0,0.0,0.0,8.0
87010,015-02,488,121,153,35,157,11,0.0,0.0,0.0,11.0
87011,016-01,640,74,149,34,313,58,0.0,0.0,0.0,12.0
87012,017-01,650,165,210,49,183,24,0.0,0.0,0.0,19.0
87013,017-02,575,149,155,41,199,20,0.0,0.0,0.0,11.0
87014,017-03,635,98,240,32,219,35,0.0,0.0,0.0,11.0
87015,017-04,567,153,190,25,173,17,0.0,0.0,0.0,9.0
87016,017-05,444,201,162,10,33,23,0.0,0.0,0.0,15.0
87017,017-06,486,151,140,34,135,12,0.0,0.0,0.0,14.0
87018,017-07,548,96,216,29,180,18,0.0,0.0,0.0,9.0
87019,018-01,629,185,200,40,180,16,0.0,0.0,0.0,8.0
87020,018-02,536,161,186,46,118,13,0.0,0.0,0.0,12.0
87021,018-03,800,264,242,46,211,15,0.0,0.0,0.0,22.0
87022,018-04,556,177,204,32,109,26,0.0,0.0,0.0,8.0
87023,018-05,606,128,182,47,224,15,0.0,0.0,0.0,10.0
87024,021-01,602,179,225,40,128,13,0.0,0.0,0.0,17.0
87025,021-02,677,238,217,47,136,19,0.0,0.0,0.0,20.0
87026,021-03,744,198,249,61,218,13,0.0,0.0,0.0,5.0
87027,022-01,362,91,134,24,97,6,0.0,0.0,0.0,10.0
87028,022-02,675,139,241,44,229,11,0.0,0.0,0.0,11.0
87029,023-01,589,186,196,49,136,14,0.0,0.0,0.0,8.0
87030,026-01,411,117,127,29,117,7,0.0,0.0,0.0,14.0
87031,031-01,691,178,238,50,190,19,0.0,0.0,0.0,16.0
87032,032-01,647,139,246,29,196,20,0.0,0.0,0.0,17.0
87033,032-02,682,204,238,52,155,16,0.0,0.0,0.0,17.0
87034,033-01,465,145,196,22,89,8,0.0,0.0,0.0,5.0
87035,111-01,169,55,49,16,43,1,0.0,0.0,0.0,5.0
87036,121-01,735,245,250,54,164,1,0.0,0.0,0.0,21.0
87037,121-02,778,220,274,62,196,8,0.0,0.0,0.0,18.0
87038,131-01,709,229,253,55,143,14,0.0,0.0,0.0,15.0
87039,141-01,555,179,197,27,134,10,0.0,0.0,0.0,8.0
87040,151-01,540,220,176,25,93,6,0.0,0.0,0.0,20.0
87041,151-02,443,151,162,16,93,14,0.0,0.0,0.0,7.0
87042,161-01,647,250,236,28,115,10,0.0,0.0,0.0,8.0
87043,161-02,854,320,299,61,147,9,0.0,0.0,0.0,18.0
87044,171-01,556,183,209,41,100,11,0.0,0.0,0.0,12.0
87045,171-02,653,168,234,60,169,8,0.0,0.0,0.0,14.0
87046,181-01,414,140,156,22,83,5,0.0,0.0,0.0,8.0
87047,181-02,514,150,260,15,71,9,0.0,0.0,0.0,9.0
