,Wahlbezirk,Gültig,CDU/CSU,SPD,FDP,GRÜNE,DIE LINKE,AfD,PIRATEN,DIE PARTEI,OTHER
46446,10,489,162,152,53,121,0.0,0.0,0.0,0.0,1
46447,20,562,182,236,52,88,0.0,0.0,0.0,0.0,4
46448,30,412,125,127,40,114,0.0,0.0,0.0,0.0,6
46449,40,463,168,183,30,76,0.0,0.0,0.0,0.0,6
46450,50,586,207,187,63,123,0.0,0.0,0.0,0.0,6
46451,60,521,152,157,61,147,0.0,0.0,0.0,0.0,4
46452,70,480,152,159,52,113,0.0,0.0,0.0,0.0,4
46453,80,508,177,170,63,96,0.0,0.0,0.0,0.0,2
46454,90,639,206,167,92,167,0.0,0.0,0.0,0.0,7
46455,100,438,123,158,54,100,0.0,0.0,0.0,0.0,3
46456,110,650,228,280,74,65,0.0,0.0,0.0,0.0,3
46457,120,771,243,262,129,131,0.0,0.0,0.0,0.0,6
46458,130,592,199,186,104,103,0.0,0.0,0.0,0.0,0
46459,140,570,200,167,119,84,0.0,0.0,0.0,0.0,0
46460,150,510,169,145,88,107,0.0,0.0,0.0,0.0,1
46461,160,747,255,258,117,114,0.0,0.0,0.0,0.0,3
46462,170,857,216,356,93,188,0.0,0.0,0.0,0.0,4
46463,180,804,254,383,59,95,0.0,0.0,0.0,0.0,13
46464,190,312,51,116,46,98,0.0,0.0,0.0,0.0,1
46465,210,626,196,161,116,150,0.0,0.0,0.0,0.0,3
46466,220,541,191,163,92,94,0.0,0.0,0.0,0.0,1
46467,240,733,286,262,65,114,0.0,0.0,0.0,0.0,6
46468,250,577,240,202,43,89,0.0,0.0,0.0,0.0,3
46469,260,775,285,284,60,140,0.0,0.0,0.0,0.0,6
46470,270,651,274,261,51,62,0.0,0.0,0.0,0.0,3
46471,280,567,248,260,30,25,0.0,0.0,0.0,0.0,4
46472,290,583,255,224,46,55,0.0,0.0,0.0,0.0,3
46473,310,600,242,199,60,95,0.0,0.0,0.0,0.0,4
46474,320,607,246,161,92,105,0.0,0.0,0.0,0.0,3
46475,330,814,295,310,82,120,0.0,0.0,0.0,0.0,7
46476,350,695,245,259,60,127,0.0,0.0,0.0,0.0,4
46477,360,591,176,213,87,115,0.0,0.0,0.0,0.0,0
46478,370,645,263,235,67,76,0.0,0.0,0.0,0.0,4
46479,380,618,301,195,60,60,0.0,0.0,0.0,0.0,2
46480,400,264,90,105,28,41,0.0,0.0,0.0,0.0,0
46481,410,752,256,252,134,107,0.0,0.0,0.0,0.0,3
46482,420,589,202,255,57,73,0.0,0.0,0.0,0.0,2
46483,430,551,226,201,52,71,0.0,0.0,0.0,0.0,1
46484,450,715,296,246,86,81,0.0,0.0,0.0,0.0,6
46485,460,664,241,288,53,80,0.0,0.0,0.0,0.0,2
46486,470,838,328,328,77,99,0.0,0.0,0.0,0.0,6
46487,480,327,152,134,12,27,0.0,0.0,0.0,0.0,2
46488,500,192,102,48,28,14,0.0,0.0,0.0,0.0,0
46489,510,689,420,164,42,59,0.0,0.0,0.0,0.0,4
46490,520,930,333,432,65,95,0.0,0.0,0.0,0.0,5
46491,530,665,347,190,53,72,0.0,0.0,0.0,0.0,3
46492,540,776,406,230,52,82,0.0,0.0,0.0,0.0,6
46493,550,585,214,232,68,71,0.0,0.0,0.0,0.0,0
46494,560,659,274,265,46,73,0.0,0.0,0.0,0.0,1
46495,570,680,277,254,64,81,0.0,0.0,0.0,0.0,4
46496,580,550,303,147,49,47,0.0,0.0,0.0,0.0,4
46497,590,612,261,202,46,98,0.0,0.0,0.0,0.0,5
46498,600,775,282,268,104,121,0.0,0.0,0.0,0.0,0
