# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl zum 1. Deutschen Bundestag (14. August 1949)
# Endgültige Ergebnisse der Stimmen nach Wahlkreisen
# 
Wahlkreis;;Land;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;FDP;CSU;KPD;Parteilose;BP;DP;Zentrum;WAV;DKP/DRP;RSF;SSW;EVD;RWVP;;;;;;;;;;;;;;;;;
Nr.;Name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
034;Verden – Rotenburg – Osterholz;NI;140931;106308;2227;104081;31555;12384;0;0;2329;17636;0;34076;588;0;3662;1851;0;0;0
035;Lüneburg – Dannenberg;NI;127233;94147;2231;91916;29111;14469;6889;0;3520;4104;0;29018;424;0;4096;285;0;0;0
036;Harburg – Soltau;NI;120254;91281;1947;89334;26165;13120;6060;0;2656;0;0;26503;813;0;13073;944;0;0;0
037;Fallingbostel – Hoya;NI;138330;102488;1832;100656;27004;10146;4966;0;1727;18587;0;32522;1318;0;3866;520;0;0;0
038;Celle;NI;128894;98985;1957;97028;27030;10570;3568;0;3131;13614;0;26747;504;0;10595;1269;0;0;0
039;Uelzen;NI;116122;91372;1785;89587;32266;8224;3508;0;1945;0;0;28737;620;0;13742;545;0;0;0
040;Stadt Hannover-Nord;NI;170195;124589;1696;122893;54253;19729;15042;0;5375;0;0;16084;685;0;10803;922;0;0;0
041;Stadt Hannover-Süd;NI;133897;103344;1545;101799;56107;14993;8099;0;5463;0;0;9865;347;0;6423;502;0;0;0
042;Hannover-Land;NI;127779;104129;2985;101144;46405;17385;6906;0;4424;0;0;16511;591;0;8148;774;0;0;0
043;Neustadt – Grafschaft Schaumburg;NI;134370;107767;2008;105759;36446;11806;4817;0;2996;15877;0;22806;2173;0;8136;702;0;0;0
044;Nienburg – Schaumburg-Lippe;NI;118876;93403;2117;91286;32607;13965;3950;0;2557;15258;0;15855;1303;0;5494;297;0;0;0
045;Diepholz – Melle – Wittlage;NI;116872;84649;3201;81448;22343;20307;1146;0;1852;0;0;27875;5024;0;2271;630;0;0;0
046;Hameln – Springe;NI;144693;117846;2093;115753;39486;13121;4433;0;3262;19197;0;20002;820;0;14706;726;0;0;0
047;Alfeld – Holzminden;NI;127904;107610;2690;104920;45558;14260;6343;0;3576;12566;0;14268;1309;0;6698;342;0;0;0
048;Hildesheim-Stadt und -Land;NI;131331;108795;1973;106822;33274;23022;2653;0;2483;19595;0;8411;6192;0;10229;963;0;0;0
049;Gandersheim — Salzgitter;NI;131526;104987;2684;102303;36040;16343;11776;0;4145;0;0;15379;1266;0;15805;1549;0;0;0
050;Stadt Braunschweig;NI;159954;117971;1838;116133;46311;19571;6373;0;5471;0;0;20612;1616;0;14306;1873;0;0;0
051;Braunschweig-Land – Helmstedt;NI;125331;103718;2766;100952;31595;16828;3848;0;2406;12787;0;11413;1484;0;18881;1710;0;0;0
052;Wolfenbüttel – Goslar-Land;NI;125041;100411;2305;98106;38748;18268;8062;0;3492;4959;0;14925;1234;0;7777;641;0;0;0
053;Harz;NI;131460;104296;2262;102034;36444;15480;12911;0;3382;8660;0;18698;625;0;4419;1415;0;0;0
054;Peine – Gifhorn;NI;120849;98197;2370;95827;32824;14674;2299;0;3056;0;0;25603;755;0;15934;682;0;0;0
055;Northeim – Einbeck – Duderstadt;NI;127694;106160;2237;103923;31631;18404;13552;0;1817;17314;0;14717;1891;0;3017;1580;0;0;0
056;Göttingen – Münden;NI;129660;94099;2193;91906;29088;8936;19116;0;3012;14907;0;7554;416;0;8560;317;0;0;0
903;Niedersachsen;NI;4425610;3439964;73999;3365965;1125295;593691;252141;0;104132;273296;0;597542;113464;0;273129;33275;0;0;0
;;;;;;;;;;;;;;;;;;;;;
057;Bremen-Ost;HB;124661;104604;1738;102866;30718;20255;18886;0;4875;9051;0;16856;0;0;0;2225;0;0;0
058;Bremen-West;HB;126163;101239;2124;99115;35787;14139;13887;0;8080;9397;0;15308;0;0;0;2517;0;0;0
