,Wahlbezirk,Gültig,CDU/CSU,SPD,FDP,GRÜNE,DIE LINKE,AfD,PIRATEN,DIE PARTEI,OTHER
85891,011-01,528,62,105,43,228,54,0.0,23,0.0,13
85892,011-02,568,98,123,57,187,57,0.0,34,0.0,12
85893,011-03,510,99,120,57,158,55,0.0,17,0.0,4
85894,011-04,488,83,94,56,163,49,0.0,33,0.0,10
85895,011-05,459,97,102,80,107,40,0.0,24,0.0,9
85896,012-01,559,105,119,69,163,65,0.0,34,0.0,4
85897,012-02,524,95,105,90,155,45,0.0,26,0.0,8
85898,012-03,570,128,124,72,135,70,0.0,22,0.0,19
85899,012-04,596,139,129,70,158,58,0.0,20,0.0,22
85900,012-05,587,143,131,76,149,57,0.0,22,0.0,9
85901,013-01,508,122,128,69,113,48,0.0,20,0.0,8
85902,013-02,418,99,88,67,108,38,0.0,6,0.0,12
85903,013-03,554,146,146,97,124,20,0.0,12,0.0,9
85904,013-04,578,145,133,73,133,63,0.0,23,0.0,8
85905,014-01,476,123,99,98,113,24,0.0,17,0.0,2
85906,014-02,570,118,133,95,158,40,0.0,15,0.0,11
85907,014-03,661,161,137,124,148,47,0.0,30,0.0,14
85908,014-04,566,133,135,72,148,49,0.0,21,0.0,8
85909,014-05,531,121,135,61,100,77,0.0,21,0.0,16
85910,014-06,595,111,123,58,152,75,0.0,50,0.0,26
85911,015-01,637,152,142,98,156,64,0.0,16,0.0,9
85912,015-02,420,84,89,60,131,32,0.0,16,0.0,8
85913,016-01,734,44,148,57,333,108,0.0,31,0.0,13
85914,017-01,638,114,154,74,189,74,0.0,18,0.0,15
85915,017-02,625,129,113,52,248,62,0.0,11,0.0,10
85916,017-03,573,77,124,56,182,71,0.0,41,0.0,22
85917,017-04,530,111,113,41,167,64,0.0,19,0.0,15
85918,017-05,559,115,111,43,153,98,0.0,21,0.0,18
85919,017-06,460,101,105,41,140,60,0.0,12,0.0,1
85920,017-07,710,87,170,49,282,75,0.0,25,0.0,22
85921,018-01,706,156,163,106,195,59,0.0,18,0.0,9
85922,018-02,535,111,121,79,139,40,0.0,29,0.0,16
85923,018-03,699,175,136,111,185,61,0.0,22,0.0,9
85924,018-04,546,105,118,75,134,75,0.0,25,0.0,14
85925,018-05,648,136,123,87,219,48,0.0,27,0.0,8
85926,021-01,679,144,154,100,203,48,0.0,19,0.0,11
85927,021-02,725,169,143,110,184,72,0.0,27,0.0,20
85928,021-03,731,169,176,134,188,37,0.0,18,0.0,9
85929,022-01,322,61,78,37,95,35,0.0,10,0.0,6
85930,022-02,688,154,146,89,219,49,0.0,22,0.0,9
85931,023-01,600,141,147,87,141,57,0.0,17,0.0,10
85932,026-01,411,85,113,64,95,32,0.0,13,0.0,9
85933,031-01,617,157,121,58,177,55,0.0,23,0.0,26
85934,032-01,619,122,141,66,188,62,0.0,21,0.0,19
85935,032-02,636,167,127,76,160,65,0.0,21,0.0,20
85936,033-01,650,137,148,85,195,60,0.0,12,0.0,13
85937,111-01,160,55,22,30,35,12,0.0,4,0.0,2
85938,121-01,699,196,142,99,173,53,0.0,17,0.0,19
85939,121-02,769,171,170,145,201,43,0.0,22,0.0,17
85940,131-01,683,191,158,109,160,49,0.0,10,0.0,6
85941,141-01,587,184,120,72,161,29,0.0,10,0.0,11
85942,151-01,509,147,94,74,82,58,0.0,27,0.0,27
85943,151-02,430,125,104,63,89,30,0.0,4,0.0,15
85944,161-01,614,182,128,107,120,42,0.0,18,0.0,17
85945,161-02,766,246,160,112,156,54,0.0,22,0.0,16
85946,171-01,539,158,93,70,140,39,0.0,20,0.0,19
85947,171-02,608,157,154,73,138,45,0.0,13,0.0,28
85948,181-01,370,95,96,47,80,33,0.0,7,0.0,12
85949,181-02,499,141,148,73,72,45,0.0,8,0.0,12
