,Wahlbezirk,Gültig,CDU/CSU,SPD,FDP,GRÜNE,DIE LINKE,AfD,PIRATEN,DIE PARTEI,OTHER
85915,011-01,598,114,141,61,214,55,0.0,0.0,0,13
85916,011-02,505,96,182,43,146,25,0.0,0.0,0,13
85917,011-03,427,55,113,20,201,32,0.0,0.0,0,6
85918,011-04,544,104,159,54,183,36,0.0,0.0,0,8
85919,011-05,386,79,133,44,97,29,0.0,0.0,0,4
85920,012-01,536,90,158,54,185,38,0.0,0.0,0,11
85921,012-02,457,92,141,52,143,23,0.0,0.0,0,6
85922,012-03,563,131,163,52,168,33,0.0,0.0,0,16
85923,012-04,573,123,165,67,179,31,0.0,0.0,0,8
85924,012-05,624,142,197,66,166,48,0.0,0.0,0,5
85925,013-01,522,120,189,61,112,28,0.0,0.0,0,12
85926,013-02,433,111,136,44,110,21,0.0,0.0,0,11
85927,013-03,558,173,161,71,136,12,0.0,0.0,0,5
85928,013-04,612,174,172,76,151,34,0.0,0.0,0,5
85929,014-01,474,123,138,83,108,19,0.0,0.0,0,3
85930,014-02,644,154,163,89,197,31,0.0,0.0,0,10
85931,014-03,587,169,174,86,130,21,0.0,0.0,0,7
85932,014-04,667,161,225,63,168,42,0.0,0.0,0,8
85933,014-05,645,164,226,79,117,45,0.0,0.0,0,14
85934,014-06,572,116,190,55,160,39,0.0,0.0,0,12
85935,015-01,624,143,171,76,198,34,0.0,0.0,0,2
85936,015-02,478,96,130,46,173,23,0.0,0.0,0,10
85937,016-01,689,57,178,42,320,82,0.0,0.0,0,10
85938,017-01,680,138,216,54,199,52,0.0,0.0,0,21
85939,017-02,604,111,183,48,212,40,0.0,0.0,0,10
85940,017-03,590,99,185,40,204,48,0.0,0.0,0,14
85941,017-04,551,116,181,28,171,39,0.0,0.0,0,16
85942,017-05,581,158,179,33,123,65,0.0,0.0,0,23
85943,017-06,541,137,139,51,166,34,0.0,0.0,0,14
85944,017-07,645,83,195,40,263,51,0.0,0.0,0,13
85945,018-01,634,160,165,73,189,40,0.0,0.0,0,7
85946,018-02,537,128,160,63,145,32,0.0,0.0,0,9
85947,018-03,748,209,210,76,203,36,0.0,0.0,0,14
85948,018-04,545,142,168,53,137,30,0.0,0.0,0,15
85949,018-05,632,138,176,78,192,42,0.0,0.0,0,6
85950,021-01,629,160,208,71,147,26,0.0,0.0,0,17
85951,021-02,681,186,187,93,170,33,0.0,0.0,0,12
85952,021-03,792,201,246,118,195,21,0.0,0.0,0,11
85953,022-01,351,78,111,32,97,22,0.0,0.0,0,11
85954,022-02,685,142,198,77,232,29,0.0,0.0,0,7
85955,023-01,573,152,197,55,131,30,0.0,0.0,0,8
85956,026-01,425,110,107,53,109,27,0.0,0.0,0,19
85957,031-01,656,162,189,53,181,35,0.0,0.0,0,36
85958,032-01,609,113,198,55,181,46,0.0,0.0,0,16
85959,032-02,666,174,201,58,174,41,0.0,0.0,0,18
85960,033-01,417,115,153,42,75,19,0.0,0.0,0,13
85961,111-01,163,55,50,22,30,4,0.0,0.0,0,2
85962,121-01,744,223,202,89,180,31,0.0,0.0,0,19
85963,121-02,782,192,241,109,185,35,0.0,0.0,0,20
85964,131-01,661,204,205,78,125,29,0.0,0.0,0,20
85965,141-01,590,154,210,54,143,18,0.0,0.0,0,11
85966,151-01,542,183,149,50,99,32,0.0,0.0,0,29
85967,151-02,453,149,140,39,84,22,0.0,0.0,0,19
85968,161-01,648,221,208,55,126,22,0.0,0.0,0,16
85969,161-02,845,309,225,87,172,36,0.0,0.0,0,16
85970,171-01,525,168,164,48,102,14,0.0,0.0,0,29
85971,171-02,661,176,210,70,151,34,0.0,0.0,0,20
85972,181-01,390,105,144,40,76,17,0.0,0.0,0,8
85973,181-02,478,136,213,38,64,13,0.0,0.0,0,14
