,Wahlbezirk,Gültig,CDU/CSU,SPD,FDP,GRÜNE,DIE LINKE,AfD,PIRATEN,DIE PARTEI,OTHER
85263,011-01,516,94,121,21,151,75,16,23,0,15
85264,011-02,567,129,159,19,133,73,22,23,0,9
85265,011-03,563,137,163,29,128,58,17,23,0,8
85266,011-04,530,124,127,25,137,62,17,23,0,15
85267,011-05,466,118,118,34,106,45,25,13,0,7
85268,012-01,594,143,136,29,153,70,20,25,0,18
85269,012-02,552,141,145,26,121,53,27,31,0,8
85270,012-03,568,174,120,30,111,79,10,20,0,24
85271,012-04,615,188,156,32,140,49,19,17,0,14
85272,012-05,605,178,160,36,119,53,27,21,0,11
85273,013-01,565,167,144,39,110,44,25,30,0,6
85274,013-02,622,196,153,35,125,47,30,24,0,12
85275,013-03,623,263,156,42,96,34,19,5,0,8
85276,013-04,543,161,128,37,112,51,29,14,0,11
85277,014-02,728,224,182,64,144,47,38,19,0,10
85278,014-03,633,219,150,38,115,53,25,17,0,16
85279,014-04,561,165,138,27,127,66,19,13,0,6
85280,014-05,543,164,179,22,68,67,13,19,0,11
85281,014-06,700,163,164,34,158,74,37,54,0,16
85282,015-01,637,199,128,44,141,64,40,13,0,8
85283,015-02,500,147,130,28,104,44,26,10,0,11
85284,016-01,708,82,153,16,264,126,21,30,0,16
85285,017-01,678,156,175,19,152,109,20,23,0,24
85286,017-02,678,145,143,35,219,90,12,22,0,12
85287,017-03,559,124,133,28,129,64,11,47,0,23
85288,017-04,567,132,151,11,152,76,13,19,0,13
85289,017-05,576,140,136,21,128,93,21,22,0,15
85290,017-06,554,134,127,17,135,101,12,18,0,10
85291,017-07,716,151,159,29,213,91,24,23,0,26
85292,018-01,774,238,209,49,155,68,20,22,0,13
85293,018-02,630,205,138,44,130,70,19,17,0,7
85294,018-03,675,231,139,37,159,49,30,18,0,12
85295,018-04,556,164,131,34,92,66,22,31,0,16
85296,018-05,676,167,164,35,179,77,22,25,0,7
85297,021-01,795,230,225,28,170,81,19,21,0,21
85298,021-02,646,194,156,50,129,47,23,31,0,16
85299,021-03,737,231,183,55,159,39,31,22,0,17
85300,022-01,319,79,83,20,78,24,18,10,0,7
85301,022-02,674,175,187,43,163,53,21,16,0,16
85302,023-01,594,209,152,23,105,45,35,16,0,9
85303,026-01,428,126,113,18,84,41,8,23,0,15
85304,031-01,668,211,147,22,140,77,24,26,0,21
85305,032-01,701,169,191,32,186,74,18,23,0,8
85306,032-02,639,209,156,25,125,64,20,13,0,27
85307,033-01,689,219,178,15,173,60,13,21,0,10
85308,111-01,133,58,27,10,18,6,10,1,0,3
85309,121-01,725,251,167,34,153,56,22,22,0,20
85310,121-02,774,290,180,58,130,32,39,25,0,20
85311,131-01,662,249,122,48,134,55,24,12,0,18
85312,141-01,607,230,151,28,121,48,12,8,0,9
85313,151-01,532,214,107,30,69,58,24,12,0,18
85314,151-02,408,148,115,24,60,30,18,6,0,7
85315,161-01,610,287,111,20,100,32,25,18,0,17
85316,161-02,755,326,154,27,127,48,32,21,0,20
85317,171-01,557,210,116,33,84,44,32,22,0,16
85318,171-02,597,199,121,34,118,53,30,19,0,23
85319,181-01,378,169,85,16,76,11,12,3,0,6
85320,181-02,479,174,151,15,62,32,18,15,0,12
