,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Ungültige:2,Gültige,Gültige:2,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
2,001,Flensburg,113128,93965,2278,1078,91687,92887,40883,0,40673,0,42775,0,43239,0,4313,0,4378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3716,0,4597,0
3,002,Schleswig  Eckernförde,128959,109398,1297,1314,108101,108084,56917,0,53118,0,43369,0,44183,0,3516,0,5427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299,0,5356,0
4,003,Husum,142181,117498,1883,1535,115615,115963,61470,0,60677,0,42612,0,42123,0,6514,0,7071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5019,0,6092,0
5,004,Steinburg  Süderdithmarschen,136989,118939,2640,1408,116299,117531,59088,0,58177,0,45458,0,46049,0,5958,0,6085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5795,0,7220,0
6,005,Rendsburg  Neumünster,166243,142357,2396,1802,139961,140555,69093,0,67963,0,60058,0,58969,0,5151,0,6848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5659,0,6775,0
7,006,Kiel,174890,148747,2715,1301,146032,147446,55222,0,56151,0,79748,0,76846,0,5075,0,7429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5987,0,7020,0
8,007,Plön,134144,116584,2173,1375,114411,115209,53358,0,53903,0,52038,0,49794,0,3718,0,5129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5297,0,6383,0
9,008,Segeberg  Eutin,140359,121279,1879,1595,119400,119684,61231,0,60508,0,46940,0,45813,0,5592,0,6713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5637,0,6650,0
10,009,Pinneberg,177946,157002,3294,1609,153708,155393,70389,0,68785,0,71092,0,70840,0,6738,0,9167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5489,0,6601,0
11,010,Stormarn  Herzogtum Lauenburg,221470,194847,3714,2055,191133,192792,90656,0,88003,0,84413,0,84164,0,7830,0,10944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8234,0,9681,0
