,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Ungültige:2,Gültige,Gültige:2,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
2,001,FLENSBURG  SCHLESWIG,206948,172404,1713,1444,170691,170960,78516,0,70586,0,74575,0,70183,0,6233,0,14583,0,9937,0,14229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,0,1379,0
3,002,NORDFRIESLAND  DITHMARSCHEN-NORD,168591,139788,1536,1272,138252,138516,65092,0,60484,0,54786,0,52218,0,8038,0,13933,0,9268,0,10656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,0,1225,0
4,003,STEINBURG  DITHMARSCHEN-SUED,158693,134142,1705,1292,132437,132850,62836,0,57929,0,56911,0,53039,0,4752,0,11468,0,6717,0,9105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,0,1309,0
5,004,RENDSBURG-ECKERNFOERDE,192774,165584,1766,1397,163818,164187,79753,0,69329,0,70227,0,65485,0,5070,0,15510,0,8133,0,12614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,1249,0
6,005,KIEL,186471,153425,1501,1246,151924,152179,55064,0,51131,0,80505,0,71939,0,5316,0,11934,0,10034,0,16017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,0,1158,0
7,006,PLOEN  NEUMUENSTER,157667,134158,1883,1185,132275,132973,57939,0,54776,0,60547,0,56363,0,5070,0,10762,0,7515,0,10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,0,1064,0
8,007,PINNEBERG,205455,176762,2302,1349,174460,175413,80026,0,74545,0,72180,0,66502,0,8636,0,18520,0,11202,0,14488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2416,0,1358,0
9,008,SEGEBERG  STORMARN-NORD,220451,187030,1889,1439,185141,185591,92102,0,82339,0,71308,0,66154,0,9443,0,20798,0,10444,0,14724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1844,0,1576,0
10,009,OSTHOLSTEIN,148617,126846,1385,1193,125461,125653,60800,0,55748,0,52910,0,49867,0,4514,0,10842,0,6190,0,8094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,0,1102,0
11,010,HERZOGTUM LAUENBURG  STORMARN-SUED,222242,192012,1827,1393,190185,190619,92655,0,83512,0,73696,0,68012,0,10476,0,21782,0,12273,0,15663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,0,1650,0
12,011,LUEBECK,171429,138666,1593,1400,137073,137266,59416,0,55367,0,63432,0,59467,0,4987,0,10729,0,7893,0,10453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345,0,1250,0
13,901,SCHLESWIG-HOLSTEIN,2039338,1720817,19100,14610,1701717,1706207,784199,0,715746,0,731077,0,679229,0,72535,0,160861,0,99606,0,136051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14300,0,14320,0
15,012,HAMBURG-MITTE,168617,131968,1125,789,130843,131179,47995,0,44881,0,61587,0,58089,0,5424,0,9697,0,14281,0,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1556,0,1012,0
16,013,HAMBURG-ALTONA,174686,145467,951,763,144516,144704,60715,0,54790,0,59108,0,54708,0,8431,0,15971,0,14231,0,18211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2031,0,1024,0
17,014,HAMBURG-EIMSBUETTEL,182238,151922,1296,1051,150626,150871,59440,0,54844,0,62531,0,57591,0,8405,0,15299,0,18138,0,22201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112,0,936,0
18,015,HAMBURG-NORD,202881,175708,1234,975,174474,174733,74645,0,67207,0,70911,0,63090,0,8872,0,21277,0,17877,0,22193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2169,0,966,0
19,016,HAMBURG-WANDSBEK,197250,166368,1275,859,165093,165509,70676,0,64259,0,72024,0,69293,0,8420,0,16663,0,12531,0,14129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442,0,1165,0
20,017,HAMBURG-BERGEDORF,187480,152840,1237,1010,151603,151830,61930,0,58187,0,71614,0,68484,0,6104,0,12181,0,10108,0,11658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1847,0,1320,0
21,018,HAMBURG-HARBURG,145168,120097,1081,812,119016,119285,47971,0,44349,0,60279,0,56617,0,4156,0,8658,0,5930,0,8616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,1045,0
22,902,HAMBURG,1258320,1044370,8199,6259,1036171,1038111,423372,0,388517,0,458054,0,427872,0,49812,0,99746,0,93096,0,114508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11837,0,7468,0
24,019,AURICH  EMDEN,170010,143328,1984,1578,141344,141750,43758,0,40546,0,82973,0,80730,0,3977,0,9116,0,9590,0,10549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,0,809,0
25,020,UNTEREMS,190307,160570,1977,1584,158593,158986,81387,0,74823,0,63055,0,63268,0,4717,0,10729,0,8220,0,9166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,0,1000,0
26,021,FRIESLAND  WILHELMSHAVEN,155533,126306,1369,1149,124937,125157,49839,0,45981,0,60118,0,58282,0,5004,0,10403,0,8455,0,9364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,0,1127,0
27,022,OLDENBURG  AMMERLAND,216970,177986,1858,1317,176128,176669,62566,0,58344,0,79351,0,77447,0,15785,0,20737,0,15543,0,18850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2883,0,1291,0
28,023,DELMENHORST  WESERMARSCH  OLDENBURG-LAND,204736,169718,1674,1277,168044,168441,61110,0,57930,0,81948,0,77608,0,11569,0,17882,0,12047,0,13819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,0,1202,0
29,024,CUXHAVEN,152177,127581,1158,970,126423,126611,58508,0,52203,0,53151,0,52519,0,4551,0,11126,0,8897,0,9846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,0,917,0
30,025,STADE  ROTENBURG I,188735,158342,1414,1198,156928,157144,76183,0,69254,0,63821,0,60033,0,5812,0,14960,0,9461,0,11570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1651,0,1327,0
31,026,MITTELEMS,193027,168496,1419,1199,167077,167297,91618,0,88309,0,59345,0,54679,0,5693,0,13866,0,8757,0,9565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664,0,878,0
32,027,CLOPPENBURG  VECHTA,159622,138266,1824,1350,136442,136916,95519,0,90355,0,28447,0,28282,0,4904,0,10695,0,6673,0,6888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,0,696,0
33,028,DIEPHOLZ,147321,123339,1015,842,122324,122497,54212,0,49071,0,49902,0,47396,0,8555,0,15556,0,8743,0,9588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,0,886,0
34,029,VERDEN  OSTERHOLZ,163810,140171,1101,867,139070,139304,55966,0,51809,0,64474,0,58686,0,6150,0,13304,0,10658,0,14564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1822,0,941,0
35,030,SOLTAU-FALLINGBOSTEL  ROTENBURG II,146058,122482,1158,862,121324,121620,59731,0,56003,0,46203,0,43816,0,5798,0,11389,0,8049,0,8898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1543,0,1514,0
