,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Ungültige:2,Gültige,Gültige:2,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
2,001,Husum  Südtondern  Eiderstedt,90003,75510,2005,3659,73505,71851,36889,0,35050,0,16303,0,15918,0,3820,0,3919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4496,0,4869,0,11997,0,12095,0
3,002,Flensburg,111291,98656,2813,4262,95843,94394,44033,0,39082,0,17558,0,18488,0,3633,0,4365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5379,0,8152,0,25240,0,24307,0
4,003,Schleswig  Eckernförde,93091,81206,2012,3073,79194,78133,42045,0,39813,0,18163,0,17872,0,4037,0,4221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6617,0,7294,0,8332,0,8933,0
5,004,Norder- und Süderdithmarschen,88642,77095,1631,3517,75464,73578,41439,0,38449,0,19850,0,19369,0,3725,0,4048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5557,0,6112,0,4893,0,5600,0
6,005,Rendsburg,120936,106502,2047,3891,104455,102611,55738,0,52278,0,30568,0,29928,0,5700,0,6424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7828,0,8564,0,4621,0,5417,0
7,006,Kiel,160869,141574,2282,4176,139292,137398,69612,0,66303,0,57664,0,56095,0,5863,0,6939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3263,0,4177,0,2890,0,3884,0
8,007,Plön  Eutin/Nord,93947,84777,2086,2649,82691,82128,42797,0,40357,0,27090,0,26695,0,3197,0,3787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7391,0,8185,0,2216,0,3104,0
9,008,Oldenburg  Eutin/Süd,87801,78466,2171,2960,76295,75506,36833,0,35438,0,23745,0,23404,0,3006,0,3325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10002,0,10215,0,2709,0,3124,0
10,009,Lübeck,126154,111918,2801,5699,109117,106219,57016,0,54110,0,36739,0,35370,0,6041,0,6080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6975,0,7937,0,2346,0,2722,0
11,010,Segeberg  Neumünster,111965,99193,2736,4938,96457,94255,51081,0,48647,0,28906,0,28162,0,5479,0,5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8555,0,9045,0,2436,0,2645,0
12,011,Steinburg,100432,89026,2078,3249,86948,85777,40515,0,38031,0,28302,0,27922,0,4082,0,4645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7141,0,7708,0,6908,0,7471,0
13,012,Pinneberg,134921,119844,2794,4531,117050,115313,53644,0,50496,0,43942,0,43117,0,7565,0,8210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7812,0,8427,0,4087,0,5063,0
14,013,Stormarn,113497,101352,2601,4155,98751,97197,46968,0,44501,0,33663,0,32901,0,6703,0,7025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8261,0,8921,0,3156,0,3849,0
15,014,Herzogtum Lauenburg,115412,102106,2520,4421,99586,97685,51589,0,48592,0,30068,0,29354,0,4313,0,4912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9234,0,9904,0,4382,0,4923,0
16,901,Schleswig-Holstein,1548961,1367225,32577,55180,1334648,1312045,670199,0,631147,0,412561,0,404595,0,67164,0,73656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98511,0,109510,0,86213,0,93137,0
18,015,Hamburg I,153447,130201,2299,3878,127902,126323,49299,0,47562,0,60085,0,58935,0,10587,0,11085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,0,1370,0,6707,0,7371,0
19,016,Hamburg II,149968,134329,1897,3182,132432,131147,54520,0,52464,0,56879,0,55870,0,12474,0,12904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,0,1645,0,7146,0,8264,0
20,017,Hamburg III,148498,132429,2183,3702,130246,128727,48448,0,47094,0,61991,0,60675,0,11287,0,11684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,0,1667,0,7040,0,7607,0
21,018,Hamburg IV,139348,123720,1783,2920,121937,120800,51481,0,49946,0,49670,0,48696,0,12360,0,12767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522,0,1681,0,6904,0,7710,0
22,019,Hamburg V,175956,158246,2719,3994,155527,154252,57907,0,56329,0,71998,0,70693,0,14783,0,15196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2184,0,2514,0,8655,0,9520,0
23,020,Hamburg VI,208992,188562,3160,4987,185402,183575,70513,0,68575,0,86334,0,84769,0,15960,0,16468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2861,0,3107,0,9734,0,10656,0
