,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Ungültige:2,Gültige,Gültige:2,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
1,001,Flensburg - Schleswig,212186,168760,1673,1590,167087,167170,76171,0,67461,0,74308,0,70416,0,3720,0,11575,0,9841,0,13061,0,0,0,1614,0,0,0,0,0,0,0,0,0,0,0,0,0,3047,0,3043,0
2,002,Nordfriesland - Dithmarschen-Nord,169258,133381,1304,1256,132077,132125,63877,0,57572,0,53466,0,50937,0,4083,0,10965,0,8998,0,9551,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,1653,0,2144,0
3,003,Steinburg - Dithmarschen-Süd,162142,130369,1416,1361,128953,129008,61111,0,55602,0,54829,0,51848,0,3392,0,9138,0,7912,0,9098,0,0,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,1709,0,2269,0
4,004,Rendsburg-Eckernförde,200647,165099,1621,1452,163478,163647,76592,0,68775,0,69822,0,64463,0,4749,0,13035,0,9708,0,12837,0,0,0,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,2607,0,3043,0
5,005,Kiel,190268,149583,1662,1304,147921,148279,51525,0,49244,0,78002,0,66012,0,4197,0,9166,0,12303,0,17715,0,0,0,2952,0,0,0,0,0,0,0,0,0,0,0,0,0,1894,0,3190,0
6,006,Plön - Neumünster,160140,128964,1756,1286,127208,127678,57319,0,52721,0,56064,0,53722,0,3745,0,8310,0,8607,0,9061,0,0,0,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,1473,0,2473,0
7,007,Pinneberg,216646,181288,1985,1367,179303,179921,80206,0,74188,0,74875,0,68310,0,6700,0,15097,0,14595,0,16229,0,0,0,2221,0,0,0,0,0,347,0,0,0,0,0,0,0,2580,0,3876,0
8,008,Segeberg - Stormarn-Nord,241055,196675,2427,1563,194248,195112,95539,0,85813,0,74426,0,71339,0,7101,0,15921,0,15025,0,15501,0,0,0,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,2157,0,4358,0
9,009,Ostholstein,154611,124768,1369,1237,123399,123531,60627,0,54939,0,50908,0,48253,0,3119,0,8846,0,7083,0,8055,0,0,0,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,1662,0,2373,0
10,010,Herzogtum Lauenburg - Stormarn-Süd,235117,197389,1931,1607,195458,195782,93851,0,85004,0,76199,0,69168,0,6720,0,16534,0,15560,0,18071,0,0,0,2252,0,0,0,0,0,0,0,0,0,0,0,0,0,3128,0,4753,0
11,011,Lübeck,171209,132575,2123,1671,130452,130904,55414,0,51048,0,59552,0,56323,0,3775,0,7449,0,10178,0,11174,0,0,0,1811,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,0,3099,0
