,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Ungültige:2,Gültige,Gültige:2,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
2,001,Flensburg  Schleswig,209303,160261,1596,1377,158665,158884,74945,0,68503,0,67074,0,64493,0,8150,0,15865,0,6107,0,6208,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,2389,0,3369,0
3,002,Nordfriesland  Dithmarschen-Nord,168535,127975,1382,1189,126593,126786,62110,0,58763,0,49866,0,47251,0,8316,0,13608,0,4858,0,4580,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,1443,0,2349,0
4,003,Steinburg  Dithmarschen-Süd,161057,125800,1639,1503,124161,124297,59992,0,56562,0,51460,0,48425,0,6877,0,12384,0,4223,0,4260,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,1609,0,2414,0
5,004,Rendsburg-Eckernförde,196856,157194,1680,1380,155514,155814,73743,0,69706,0,63416,0,59243,0,10641,0,17493,0,5820,0,5954,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,1894,0,3003,0
6,005,Kiel,192930,146889,1698,1235,145191,145654,52841,0,50934,0,74108,0,66317,0,9024,0,15441,0,6978,0,8814,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,2240,0,3232,0
7,006,Plön  Neumünster,160016,126067,1598,1236,124469,124831,55370,0,53607,0,54487,0,50775,0,8133,0,13036,0,4777,0,4463,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,1702,0,2517,0
8,007,Pinneberg,211947,172925,2301,1258,170624,171667,74943,0,72541,0,69159,0,64387,0,14746,0,22799,0,8254,0,7143,0,0,0,751,0,0,0,0,0,0,0,0,0,0,0,0,0,3522,0,4046,0
9,008,Segeberg  Stormarn-Nord,230925,183903,1667,1347,182236,182556,89752,0,83337,0,66843,0,63618,0,13412,0,23965,0,7533,0,6833,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,4696,0,4283,0
10,009,Ostholstein,152354,120593,1328,1203,119265,119390,59621,0,55708,0,46539,0,44303,0,7178,0,12537,0,4242,0,3931,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,1685,0,2648,0
11,010,Herzogtum Lauenburg  Stormarn-Süd,229520,188489,1523,1456,186966,187033,88587,0,83460,0,70078,0,65224,0,15286,0,25399,0,7643,0,7408,0,0,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,5372,0,4883,0
