,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Ungültige:2,Gültige,Gültige:2,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
1,1,Flensburg - Schleswig,213986,173484,2363,2366,171121,171118,72516,0,60513,0,85820,0,80745,0,3094,0,11250,0,5526,0,10861,0,1750,0,2269,0,0,0,0,0,0,0,0,0,0,0,0,0,2415,0,5480,0
2,2,Nordfriesland - Dithmarschen-Nord,171687,138967,2609,2374,136358,136593,62087,0,53565,0,62935,0,59235,0,3994,0,10679,0,5103,0,7518,0,1437,0,1524,0,0,0,0,0,0,0,0,0,0,0,0,0,802,0,4072,0
3,3,Steinburg - Dithmarschen-Süd,164311,135219,2340,2166,132879,133053,58856,0,50058,0,64816,0,60547,0,3354,0,9794,0,4245,0,6770,0,1608,0,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4341,0
4,4,Rendsburg-Eckernförde,206958,173074,2250,2210,170824,170864,72379,0,62640,0,83317,0,76020,0,4822,0,13976,0,5731,0,10717,0,1629,0,2187,0,0,0,0,0,0,0,0,0,0,0,0,0,2946,0,5324,0
5,5,Kiel,181661,144804,1925,1870,142879,142934,46022,0,40038,0,78512,0,70313,0,5064,0,9821,0,8572,0,14674,0,2440,0,3440,0,0,0,0,0,0,0,0,0,0,0,0,0,2269,0,4648,0
6,6,Plön - Neumünster,161772,133368,2305,1840,131063,131528,52527,0,46064,0,67049,0,62719,0,3424,0,8805,0,5012,0,7613,0,0,0,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,3051,0,4393,0
7,7,Pinneberg,219335,185688,2972,1917,182716,183771,76822,0,65095,0,87477,0,82539,0,6136,0,15198,0,8635,0,12138,0,2195,0,2709,0,0,0,0,0,323,0,0,0,0,0,0,0,1128,0,6092,0
8,8,Segeberg - Stormarn-Nord,236834,197410,2456,2394,194954,195016,86052,0,72638,0,91101,0,85023,0,5729,0,16575,0,6730,0,11637,0,2283,0,2902,0,0,0,0,0,0,0,0,0,0,0,0,0,3059,0,6241,0
9,9,Ostholstein,170600,141180,2891,1954,138289,139226,62557,0,52773,0,66382,0,62520,0,3710,0,10378,0,4829,0,7101,0,0,0,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,811,0,4820,0
10,10,Herzogtum Lauenburg - Stormarn-Süd,242213,206530,2178,2405,204352,204125,87455,0,75247,0,96165,0,87433,0,5701,0,17035,0,7695,0,13665,0,2100,0,2979,0,0,0,0,0,0,0,0,0,0,0,0,0,5236,0,7766,0
