,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Ungültige:2,Gültige,Gültige:2,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
2,1.0,Flensburg - Schleswig,226944,162749,2223,2113,160526,160636,68235,51068,61347,0,59718,52139,52396,41793,3039,15292,8065,24187,12491,16399,15734,21967,7436,11918,9084,13481,5234,0,6563,0,0,0,0,0,0,0,0,0,4373,1671,7447,6652
3,2.0,Nordfriesland - Dithmarschen Nord,186177,131527,1648,1483,129879,130044,64678,47947,56383,0,41714,36642,38590,32239,3172,15184,8321,22605,8465,12840,10547,14927,4653,8208,5733,8836,3973,0,4994,0,0,0,0,0,0,0,0,0,3224,1664,5476,4899
4,3.0,Steinburg - Dithmarschen Süd,176731,126409,1523,1451,124886,124958,56669,43480,52408,0,42476,37277,37502,31282,6324,16037,7689,21970,6386,10665,9485,12899,4909,8896,6286,9808,4468,0,5492,0,0,0,0,0,0,0,0,0,3654,2318,6096,5851
5,4.0,Rendsburg-Eckernförde,198903,149583,1743,1616,147840,147967,66775,49789,60349,0,54397,47610,46658,39253,2754,14317,8126,23442,10306,14790,13707,18751,4902,8729,6447,9821,5084,0,6500,0,0,0,0,0,0,0,0,0,3622,2292,6180,5936
6,5.0,Kiel,205243,146452,1674,1483,144778,144969,47925,36397,43893,0,62271,54398,50262,42369,3069,12188,7708,19156,14435,18699,20394,24659,7622,11817,10023,13430,4040,0,5379,0,0,0,0,0,0,0,0,0,5416,2206,7310,7209
7,6.0,Plön - Neumünster,174746,127093,1681,1520,125412,125573,54833,40110,48683,0,47085,41683,41094,35557,2322,12515,6722,19772,7979,12187,11577,15701,4708,7871,5987,8936,4837,0,5901,0,0,0,0,0,0,0,0,0,3648,2287,5609,4864
8,7.0,Pinneberg,235610,179055,1703,1682,177352,177373,80483,57203,72006,0,64006,54950,55371,45540,3303,17018,9863,28640,11324,16143,15291,20978,6985,11794,8910,13412,6766,0,8479,0,0,0,0,0,0,0,0,0,4485,2441,7453,7222
9,8.0,Segeberg - Stormarn-Mitte,244240,183250,1735,1660,181515,181590,82471,58225,74161,0,63998,54065,54691,44445,3722,20084,10449,31407,11141,16633,15695,21245,7003,12527,9112,14280,6879,0,9034,0,0,0,0,0,0,0,0,0,6301,3022,8448,7390
10,9.0,Ostholstein - Stormarn-Nord,180022,131939,1551,1452,130388,130487,59783,42193,53705,0,48349,43765,41134,36329,2962,14397,8036,22701,7145,10411,10490,13651,4469,8235,5663,9342,4897,0,6471,0,0,0,0,0,0,0,0,0,2783,1703,4988,4607
11,10.0,Herzogtum Lauenburg - Stormarn-Süd,241257,182982,1708,1560,181274,181422,81954,59075,73603,0,62749,53073,53944,45354,3901,19742,10878,30714,12774,18761,16579,22240,6834,12351,8962,13855,8351,0,10210,0,0,0,0,0,0,0,0,0,4711,2883,7246,7071
12,11.0,Lübeck,181923,124711,1563,1440,123148,123271,44896,32970,42218,0,50119,44393,42083,36578,2958,13296,5857,17173,9475,14098,13638,16764,6662,10973,7970,12002,4152,0,5323,0,0,0,0,0,0,0,0,0,4886,1595,6182,5853
13,901.0,Schleswig-Holstein,2251796,1645750,18752,17460,1626998,1628290,708702,518457,638756,0,596882,519995,513725,430739,37526,170070,91714,261767,111921,161626,153137,203782,66183,113319,84177,127203,58681,0,74346,0,0,0,0,0,0,0,0,0,47103,24082,72435,67554
14,18.0,Hamburg-Mitte,256862,168465,2445,2252,166020,166213,46753,38459,44947,0,64997,56125,55721,45904,2878,12700,6458,18915,19943,26261,22645,26984,15693,21173,18124,22111,5525,0,7186,0,0,0,0,0,0,0,0,0,10231,2341,11132,10160
