,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Ungültige:2,Gültige,Gültige:2,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
2,2,NORDFRIESLAND - DITHMARSCHEN-NORD,161775,140172,1557,1138,138615,139034,61095,0,59043,0,62208,0,60055,0,14911,0,17465,0,0,0,2059,0,0,0,0,0,0,0,0,0,269,0,112,0,0,0,0,0,132,0,300,0
3,3,STEINBURG - DITHMARSCHEN-SUED,152841,136079,1654,1257,134425,134822,57716,0,55511,0,64677,0,62425,0,8586,0,14658,0,2276,0,1714,0,0,0,0,0,0,0,0,0,223,0,167,0,0,0,0,0,947,0,347,0
4,4,RENDSBURG-ECKERNFOERDE,180189,161481,1555,1115,159926,160366,67609,0,64721,0,79655,0,73306,0,10267,0,19791,0,2047,0,2130,0,0,0,0,0,0,0,0,0,186,0,149,0,0,0,0,0,162,0,269,0
5,5,KIEL,183474,161614,1482,887,160132,160727,53672,0,51817,0,93279,0,86724,0,10015,0,18925,0,2338,0,2415,0,0,0,0,0,0,0,0,0,366,0,318,0,0,0,0,0,462,0,528,0
6,6,PLOEN - NEUMUENSTER,149934,134612,1862,1032,132750,133580,53128,0,51419,0,68249,0,65030,0,8882,0,14865,0,2118,0,1770,0,0,0,0,0,0,0,0,0,233,0,215,0,0,0,0,0,140,0,281,0
7,7,PINNEBERG,191079,173117,2458,1356,170659,171761,67496,0,65222,0,82887,0,77543,0,16513,0,25572,0,3065,0,2610,0,0,0,0,0,0,0,0,0,566,0,468,0,0,0,0,0,132,0,346,0
8,8,SEGEBERG - STORMARN-NORD,198580,177974,1703,1168,176271,176806,76276,0,71435,0,80830,0,75846,0,15663,0,26575,0,3143,0,2385,0,0,0,0,0,0,0,0,0,286,0,227,0,0,0,0,0,73,0,338,0
9,9,OSTHOLSTEIN,138094,123838,1316,959,122522,122879,53313,0,50690,0,59750,0,56641,0,9233,0,13839,0,0,0,1364,0,0,0,0,0,0,0,0,0,161,0,125,0,0,0,0,0,65,0,220,0
10,10,HERZOGTUM LAUENBURG - STORMARN-SUED,205065,185685,2526,1361,183159,184324,78031,0,74051,0,85353,0,80010,0,15744,0,26732,0,3609,0,2924,0,0,0,0,0,0,0,0,0,349,0,261,0,0,0,0,0,73,0,346,0
11,11,LUEBECK,171462,149908,2240,1103,147668,148805,53336,0,52787,0,82252,0,76909,0,9766,0,16878,0,1816,0,1576,0,0,0,0,0,0,0,0,0,345,0,276,0,0,0,0,0,153,0,379,0
12,901,SCHLESWIG-HOLSTEIN,1928108,1716553,19708,12636,1696845,1703917,691043,0,662791,0,843976,0,794900,0,132832,0,216552,0,23314,0,23520,0,0,0,0,0,0,0,0,0,3182,0,2474,0,0,0,0,0,2498,0,3680,0
13,12,HAMBURG-MITTE,176223,150935,1585,1092,149350,149843,43692,0,42609,0,85916,0,84507,0,14096,0,17651,0,4329,0,3727,0,0,0,0,0,0,0,0,0,1060,0,914,0,0,0,0,0,257,0,435,0
14,13,HAMBURG-ALTONA,176236,155962,1575,1176,154387,154786,54120,0,51857,0,77769,0,75075,0,15958,0,22543,0,5370,0,4089,0,0,0,0,0,0,0,0,0,947,0,780,0,0,0,0,0,223,0,442,0
15,14,HAMBURG-EIMSBUETTEL,178963,158367,1301,914,157066,157453,51380,0,49116,0,82526,0,78606,0,15422,0,23522,0,6197,0,4758,0,0,0,0,0,0,0,0,0,1284,0,1052,0,0,0,0,0,257,0,399,0
16,15,HAMBURG-NORD,196466,177797,1326,928,176471,176869,63145,0,60888,0,87631,0,81026,0,18787,0,29144,0,5483,0,4476,0,0,0,0,0,0,0,0,0,1267,0,967,0,0,0,0,0,158,0,368,0
17,16,HAMBURG-WANDSBEK,196460,176867,1894,868,174973,175999,57943,0,55107,0,95403,0,89946,0,19982,0,26560,0,0,0,3320,0,0,0,0,0,0,0,0,0,1058,0,665,0,0,0,0,0,587,0,401,0
18,17,HAMBURG-BERGEDORF,182082,162193,1143,950,161050,161243,48160,0,48057,0,98804,0,87990,0,9904,0,21308,0,3329,0,2878,0,0,0,0,0,0,0,0,0,717,0,633,0,0,0,0,0,136,0,377,0
19,18,HAMBURG-HARBURG,146905,131078,1094,803,129984,130275,38820,0,37371,0,77013,0,75007,0,10878,0,14973,0,2453,0,2030,0,0,0,0,0,0,0,0,0,578,0,477,0,0,0,0,0,242,0,417,0
20,902,HAMBURG,1253335,1113199,9918,6731,1103281,1106468,357260,0,345005,0,605062,0,572157,0,105027,0,155701,0,27161,0,25278,0,0,0,0,0,0,0,0,0,6911,0,5488,0,0,0,0,0,1860,0,2839,0
21,19,AURICH - EMDEN,159733,140045,1719,1579,138326,138466,41112,0,39448,0,86252,0,83431,0,7062,0,12743,0,3165,0,2241,0,0,0,0,0,0,0,0,0,507,0,313,0,0,0,0,0,228,0,290,0
22,20,UNTEREMS,174641,153359,1556,1412,151803,151947,77436,0,74675,0,63696,0,63232,0,6759,0,11341,0,3474,0,2277,0,0,0,0,0,0,0,0,0,360,0,212,0,0,0,0,0,78,0,210,0
23,21,FRIESLAND - WILHELMSHAVEN,149505,128324,1334,1090,126990,127234,44085,0,42330,0,69291,0,67181,0,9298,0,15009,0,3818,0,2200,0,0,0,0,0,0,0,0,0,214,0,160,0,0,0,0,0,284,0,354,0
24,22,OLDENBURG - AMMERLAND,199241,171508,1675,1268,169833,170240,56586,0,55173,0,82879,0,83001,0,23422,0,27701,0,5633,0,3196,0,0,0,0,0,0,0,0,0,1219,0,659,0,0,0,0,0,94,0,510,0
25,23,DELMENHORST - WESERMARSCH,192248,167872,1698,1257,166174,166615,57473,0,54888,0,85375,0,83861,0,18368,0,24535,0,4033,0,2629,0,0,0,0,0,0,0,0,0,435,0,277,0,0,0,0,0,490,0,425,0
26,24,CUXHAVEN,145750,127510,1447,965,126063,126545,53293,0,48856,0,64213,0,61054,0,8050,0,13645,0,0,0,2511,0,0,0,0,0,0,0,0,0,376,0,173,0,0,0,0,0,131,0,306,0
27,25,STADE,175341,154887,1837,1351,153050,153536,65866,0,63152,0,71135,0,69563,0,12038,0,17500,0,3642,0,2667,0,0,0,0,0,0,0,0,0,230,0,178,0,0,0,0,0,139,0,476,0
28,26,MITTELEMS,176064,159952,1227,1091,158725,158861,86403,0,83825,0,61450,0,58499,0,7108,0,13874,0,3370,0,2182,0,0,0,0,0,0,0,0,0,319,0,180,0,0,0,0,0,75,0,301,0
29,27,CLOPPENBURG - VECHTA,143191,130427,1506,1247,128921,129180,92177,0,89132,0,28570,0,29755,0,4892,0,7881,0,3077,0,2188,0,0,0,0,0,0,0,0,0,125,0,82,0,0,0,0,0,80,0,142,0
30,28,DIEPHOLZ,138933,121968,1004,853,120964,121115,50671,0,48614,0,55684,0,51647,0,11710,0,18518,0,2639,0,1929,0,0,0,0,0,0,0,0,0,213,0,140,0,0,0,0,0,47,0,267,0
31,29,VERDEN,151109,135363,1186,986,134177,134377,52452,0,49503,0,67877,0,63555,0,9674,0,17735,0,3773,0,3006,0,0,0,0,0,0,0,0,0,301,0,201,0,0,0,0,0,100,0,377,0
32,30,SOLTAU - ROTENBURG,137735,122365,1522,936,120843,121429,56797,0,54163,0,54419,0,51219,0,9232,0,13481,0,0,0,2087,0,0,0,0,0,0,0,0,0,263,0,142,0,0,0,0,0,132,0,337,0
33,31,LUENEBURG - LUECHOW-DANNENBERG,137004,120204,1193,951,119011,119253,52230,0,49862,0,51811,0,50346,0,8939,0,14613,0,5770,0,3931,0,0,0,0,0,0,0,0,0,203,0,159,0,0,0,0,0,58,0,342,0
34,32,OSNABRUECK-LAND,151928,137716,1377,1159,136339,136557,64221,0,61903,0,59768,0,57097,0,8951,0,15068,0,3090,0,2148,0,0,0,0,0,0,0,0,0,225,0,134,0,0,0,0,0,84,0,207,0
35,33,OSNABRUECK,172622,155485,1714,1074,153771,154411,66868,0,63226,0,75965,0,71422,0,10300,0,16895,0,0,0,2297,0,0,0,0,0,0,0,0,0,421,0,198,0,0,0,0,0,217,0,373,0
36,34,NIENBURG - SCHAUMBURG,203471,182158,1556,1240,180602,180918,71198,0,69494,0,94514,0,89393,0,11393,0,19027,0,3162,0,2460,0,0,0,0,0,0,0,0,0,227,0,168,0,0,0,0,0,108,0,376,0
37,35,HARBURG,134056,122054,959,702,121095,121352,53557,0,50952,0,51406,0,48716,0,12937,0,19099,0,2859,0,2158,0,0,0,0,0,0,0,0,0,227,0,155,0,0,0,0,0,109,0,272,0
38,36,STADT HANNOVER I,191218,169497,1703,1175,167794,168322,58711,0,57283,0,90120,0,86785,0,13728,0,20565,0,4512,0,2927,0,0,0,0,0,0,0,0,0,548,0,410,0,0,0,0,0,175,0,352,0
39,37,STADT HANNOVER II,195854,173952,1683,1212,172269,172740,60376,0,58503,0,91734,0,89006,0,15033,0,21282,0,4304,0,3055,0,0,0,0,0,0,0,0,0,669,0,548,0,0,0,0,0,153,0,346,0
40,38,HANNOVER-LAND I,209008,188078,2459,1489,185619,186589,74622,0,70452,0,92813,0,89081,0,14727,0,23857,0,3105,0,2682,0,0,0,0,0,0,0,0,0,301,0,218,0,0,0,0,0,51,0,299,0
