,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Ungültige:2,Gültige,Gültige:2,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
2,001,Husum  Südtondern  Eiderstedt,99548,85026,2033,2529,82993,82497,38730,0,39384,0,14173,0,14043,0,2630,0,3065,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,415,0,8385,0,8543,0,18661,0,17047,0
3,002,Flensburg,115592,102415,3259,2705,99156,99710,59099,0,40026,0,13783,0,13655,0,0,0,2566,0,0,0,0,0,0,0,0,0,0,0,0,0,656,0,656,0,0,0,14023,0,25618,0,28784,0
4,003,Schleswig  Eckernförde,101513,88795,2197,2286,86598,86509,44478,0,42529,0,16023,0,15700,0,3237,0,3706,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,629,0,12546,0,12521,0,9675,0,11424,0
5,004,Norder- und Süderdithmarschen,95275,83265,2094,2473,81171,80792,43147,0,41566,0,19428,0,19205,0,2779,0,3266,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,467,0,9551,0,9565,0,5791,0,6723,0
6,005,Rendsburg,122832,109113,2657,2955,106456,106158,58626,0,56362,0,25052,0,24678,0,3941,0,4774,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,0,1218,0,12025,0,12016,0,5608,0,7110,0
7,006,Kiel,156211,136721,2099,2378,134622,134343,74869,0,70885,0,47459,0,46463,0,3893,0,5118,0,0,0,0,0,0,0,0,0,0,0,0,0,2905,0,2967,0,3474,0,4285,0,2022,0,4625,0
8,007,Plön  Eutin/Nord,96939,88119,2174,2148,85945,85971,47047,0,44997,0,24653,0,24428,0,1681,0,2305,0,0,0,0,0,0,0,0,0,0,0,0,0,651,0,690,0,10218,0,10393,0,1695,0,3158,0
9,008,Oldenburg  Eutin/Süd,94687,84646,3066,2829,81580,81817,38343,0,36215,0,22148,0,23145,0,0,0,3138,0,0,0,0,0,0,0,0,0,0,0,0,0,788,0,768,0,14602,0,13523,0,5699,0,5028,0
10,009,Lübeck,122982,108427,3077,3160,105350,105267,44521,0,49401,0,32807,0,32344,0,4066,0,4134,0,0,0,0,0,0,0,0,0,0,0,0,0,1597,0,1635,0,10342,0,10030,0,12017,0,7723,0
11,010,Segeberg  Neumünster,112869,100520,2530,3073,97990,97447,50695,0,49551,0,25549,0,25376,0,4101,0,4511,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,1184,0,12500,0,12499,0,4048,0,4326,0
12,011,Steinburg,106153,93549,3281,3079,90268,90470,34683,0,34939,0,28800,0,28483,0,8040,0,7960,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,0,1232,0,10193,0,9994,0,7376,0,7862,0
13,012,Pinneberg,125630,111264,3538,3660,107726,107604,41895,0,41400,0,36309,0,36099,0,7011,0,7169,0,0,0,0,0,0,0,0,0,0,0,0,0,2319,0,2311,0,13001,0,12541,0,7191,0,8084,0
14,013,Stormarn,110165,98759,3040,3184,95719,95575,43054,0,42428,0,28344,0,27865,0,7349,0,6218,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,0,1331,0,13966,0,13104,0,1690,0,4629,0
15,014,Herzogtum Lauenburg,113084,101149,2545,3247,98604,97902,47288,0,46887,0,26736,0,26314,0,2956,0,3556,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,0,1307,0,15049,0,14063,0,5402,0,5775,0
16,901,Schleswig-Holstein,1573480,1391768,37590,39706,1354178,1352062,666475,0,636570,0,361264,0,357798,0,51684,0,61486,0,0,0,0,0,0,0,0,0,0,0,0,0,16410,0,16810,0,145852,0,157100,0,112493,0,122298,0
18,015,Hamburg I,163592,136490,3453,3157,133037,133333,70396,0,51062,0,47855,0,46986,0,0,0,13584,0,0,0,0,0,0,0,0,0,0,0,0,0,7151,0,6945,0,3200,0,2902,0,4435,0,11854,0
19,016,Hamburg II,148744,130633,2762,2654,127871,127979,71128,0,51144,0,45332,0,44496,0,0,0,13252,0,0,0,0,0,0,0,0,0,0,0,0,0,3871,0,3808,0,3422,0,3299,0,4118,0,11980,0
20,017,Hamburg III,141043,122882,5571,2991,117311,119891,0,0,42436,0,48890,0,46713,0,0,0,11588,0,0,0,0,0,0,0,0,0,0,0,0,0,5209,0,5071,0,3592,0,2694,0,59620,0,11389,0
21,018,Hamburg IV,138579,121170,4439,2432,116731,118738,0,0,47701,0,40799,0,39185,0,64093,0,14921,0,0,0,0,0,0,0,0,0,0,0,0,0,3590,0,3532,0,3828,0,2989,0,4421,0,10410,0
22,019,Hamburg V,161190,143041,6524,3663,136517,139378,0,0,49753,0,56659,0,54118,0,0,0,13716,0,0,0,0,0,0,0,0,0,0,0,0,0,5138,0,5032,0,4690,0,3346,0,70030,0,13413,0
23,020,Hamburg VI,175033,153762,3759,3813,150003,149949,73852,0,55054,0,61960,0,60689,0,0,0,12981,0,0,0,0,0,0,0,0,0,0,0,0,0,5175,0,5075,0,4091,0,3961,0,4925,0,12189,0
24,021,Hamburg VII,151566,134174,6173,3969,128001,130205,0,0,39290,0,62680,0,60443,0,50533,0,10639,0,0,0,0,0,0,0,0,0,0,0,0,0,6353,0,6220,0,4433,0,3383,0,4002,0,10230,0
25,022,Hamburg VIII,162133,143127,4920,2617,138207,140510,0,0,52895,0,52690,0,50780,0,72068,0,18041,0,0,0,0,0,0,0,0,0,0,0,0,0,4621,0,4595,0,4092,0,3559,0,4736,0,10640,0
26,902,Hamburg,1241880,1085279,37601,25296,1047678,1059983,215376,0,389335,0,416865,0,403410,0,186694,0,108722,0,0,0,0,0,0,0,0,0,0,0,0,0,41108,0,40278,0,31348,0,26133,0,156287,0,92105,0
28,023,Aurich  Emden,124610,102742,6850,4052,95892,98690,0,0,27709,0,41239,0,39766,0,34606,0,11544,0,0,0,0,0,0,0,0,0,0,0,0,0,2807,0,2771,0,6292,0,5258,0,10948,0,11642,0
29,024,Leer,115722,93420,2947,3034,90473,90386,50974,0,39115,0,26422,0,26189,0,0,0,8686,0,0,0,0,0,0,0,0,0,0,0,0,0,825,0,817,0,5482,0,5791,0,6770,0,9788,0
30,025,Wilhelmshaven  Friesland,123514,106403,2732,3132,103671,103271,39218,0,34446,0,35602,0,35176,0,13436,0,15657,0,0,0,0,0,0,0,0,0,0,0,0,0,1438,0,1481,0,4951,0,5309,0,9026,0,11202,0
31,026,Emsland,118449,104487,2659,2808,101828,101679,68337,0,69314,0,14244,0,14292,0,4503,0,3974,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,670,0,6047,0,5995,0,7990,0,7434,0
32,027,Bersenbrück  Lingen,108470,99843,1912,1978,97931,97865,63748,0,63603,0,19451,0,19153,0,2548,0,2818,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,399,0,7782,0,7661,0,4005,0,4231,0
33,028,Osnabrück-Stadt und -Land,159580,142880,3987,3792,138893,139088,72344,0,71822,0,37231,0,36780,0,7335,0,7295,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,0,1285,0,9699,0,9825,0,10980,0,12081,0
34,029,Delmenhorst  Wesermarsch,132783,114653,6658,4855,107995,109798,58127,0,34814,0,34790,0,33350,0,0,0,18090,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,0,1320,0,12648,0,12728,0,1068,0,9496,0
35,030,Oldenburg  Ammerland,141020,120398,7975,4138,112423,116260,0,0,36426,0,21997,0,21185,0,63551,0,31076,0,0,0,0,0,0,0,0,0,0,0,0,0,1426,0,1369,0,17008,0,14108,0,8441,0,12096,0
36,031,Vechta  Cloppenburg,100684,93776,3974,3044,89802,90732,69734,0,70639,0,8154,0,8087,0,1373,0,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,303,0,8665,0,8280,0,1545,0,2127,0
37,032,Cuxhaven  Hadeln  Wesermünde,126466,108636,7853,4100,100783,104536,0,0,25313,0,31629,0,29651,0,0,0,6046,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,0,1030,0,14210,0,11872,0,53803,0,30624,0
38,033,Stade  Bremervörde,135581,119182,7788,4206,111394,114976,0,0,21875,0,31464,0,30271,0,0,0,3543,0,0,0,0,0,0,0,0,0,0,0,0,0,781,0,707,0,16913,0,14421,0,62236,0,44159,0
39,034,Verden  Rotenburg  Osterholz,133914,118090,7665,4101,110425,113989,0,0,33089,0,33972,0,32017,0,0,0,2214,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0,999,0,15739,0,14100,0,59686,0,31570,0
40,035,Lüneburg  Dannenberg,120195,106129,2457,2594,103672,103535,26483,0,31944,0,23331,0,22996,0,4636,0,4889,0,0,0,0,0,0,0,0,0,0,0,0,0,925,0,955,0,16579,0,15891,0,31718,0,26860,0
41,036,Harburg  Soltau,114858,101804,9176,3289,92628,98515,0,0,26284,0,23517,0,21844,0,0,0,3229,0,0,0,0,0,0,0,0,0,0,0,0,0,822,0,784,0,15119,0,13027,0,53170,0,33347,0
42,037,Fallingbostel  Hoya,128603,114028,6342,3876,107686,110152,0,0,30909,0,27603,0,26009,0,0,0,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,618,0,19404,0,16410,0,60030,0,33744,0
43,038,Celle,123576,109895,3260,3603,106635,106292,26201,0,32769,0,27220,0,26555,0,4882,0,5499,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,0,1228,0,16812,0,16436,0,30315,0,23805,0
44,039,Uelzen,108852,98949,2378,2585,96571,96364,22772,0,27936,0,20802,0,20223,0,5210,0,5345,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,499,0,17817,0,17376,0,29481,0,24985,0
