,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Ungültige:2,Gültige,Gültige:2,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
2,001,Husum  Südtondern  Eiderstedt,94331,79279,1565,3426,77714,75853,36407,0,34580,0,20882,0,20283,0,11563,0,11973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8862,0,9017,0
3,002,Flensburg,117510,102061,2782,5135,99279,96926,40474,0,37978,0,27159,0,26549,0,12071,0,12482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19575,0,19917,0
4,003,Schleswig  Eckernförde,95359,83335,1783,3582,81552,79753,39912,0,37367,0,23597,0,23102,0,8961,0,9918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9082,0,9366,0
5,004,Norder- und Süderdithmarschen,89960,78538,1745,4529,76793,74009,38933,0,35768,0,23184,0,22548,0,10640,0,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4036,0,4193,0
6,005,Rendsburg,128577,112845,2107,4838,110738,108007,52799,0,48903,0,38293,0,37300,0,13190,0,14997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6456,0,6807,0
7,006,Kiel,168757,148319,2422,6612,145897,141707,57413,0,52809,0,68511,0,65416,0,14562,0,17306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5411,0,6176,0
8,007,Plön  Eutin/Nord,98772,88334,2055,3459,86279,84875,37490,0,34962,0,33310,0,32587,0,8988,0,10448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6491,0,6878,0
9,008,Oldenburg  Eutin/Süd,91413,80838,2544,3648,78294,77190,33989,0,32720,0,28704,0,28196,0,8509,0,9206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7092,0,7068,0
10,009,Lübeck,130899,114904,2685,7807,112219,107097,48854,0,45067,0,45100,0,43198,0,11781,0,12172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6484,0,6660,0
11,010,Segeberg  Neumünster,118776,105237,2368,5844,102869,99393,43386,0,40658,0,36911,0,35714,0,16956,0,17127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5616,0,5894,0
12,011,Steinburg,103342,91488,2302,3426,89186,88062,36836,0,34808,0,31985,0,31621,0,14615,0,15439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5750,0,6194,0
13,012,Pinneberg,151027,134738,2844,5734,131894,129004,54605,0,51245,0,53739,0,52336,0,16993,0,18379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6557,0,7044,0
14,013,Stormarn,121225,107976,2554,4921,105422,103055,42491,0,40164,0,41319,0,40229,0,14784,0,15468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6828,0,7194,0
