,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Ungültige:2,Gültige,Gültige:2,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
2,001,Flensburg,114222,93928,3374,2280,90554,91648,44415,0,43090,0,36074,0,36586,0,7123,0,8559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2942,0,3413,0
3,002,Schleswig  Eckernförde,128275,108247,2881,2323,105366,105924,57166,0,53707,0,38357,0,38417,0,6968,0,10336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2875,0,3464,0
4,003,Husum,140338,115183,3514,2596,111669,112587,63672,0,61417,0,34560,0,34722,0,9859,0,12356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3578,0,4092,0
5,004,Steinburg  Süderdithmarschen,139425,120702,4408,2601,116294,118101,60686,0,58846,0,41304,0,42225,0,10777,0,12809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3527,0,4221,0
6,005,Rendsburg  Neumünster,167994,144316,3289,3724,141027,140592,74904,0,70542,0,53425,0,52986,0,8913,0,12948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3785,0,4116,0
7,006,Kiel,179450,154780,3493,1965,151287,152815,65699,0,63075,0,74171,0,71759,0,7122,0,12374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4295,0,5607,0
8,007,Plön,132265,114729,3637,2597,111092,112132,56041,0,53944,0,44659,0,44667,0,6734,0,9193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3658,0,4328,0
9,008,Segeberg  Eutin,135466,117375,2879,2827,114496,114548,61340,0,58738,0,39749,0,39299,0,9964,0,12441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3443,0,4070,0
10,009,Pinneberg,164967,144819,5296,2640,139523,142179,69692,0,67359,0,56916,0,56901,0,8996,0,13243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3919,0,4676,0
11,010,Stormarn  Herzogtum Lauenburg,207361,181683,4606,4350,177077,177333,90033,0,84755,0,67760,0,67856,0,13018,0,17681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6266,0,7041,0
12,011,Lübeck,177503,153232,3681,4349,149551,148883,71410,0,67153,0,64792,0,64483,0,7762,0,10821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5587,0,6426,0
13,901,Schleswig-Holstein,1687266,1448994,41058,32252,1407936,1416742,715058,0,682626,0,551767,0,549901,0,97236,0,132761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43875,0,51454,0
15,012,Hamburg-Mitte,166730,137884,3428,2015,134456,135869,47166,0,46633,0,72394,0,71734,0,8907,0,10827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5989,0,6675,0
16,013,Altona,171605,148666,2612,1849,146054,146817,60390,0,57538,0,68166,0,67143,0,11460,0,15139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6038,0,6997,0
17,014,Eimsbüttel,202053,172792,3257,2110,169535,170682,68242,0,67366,0,79840,0,77725,0,14031,0,17192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7422,0,8399,0
18,015,Hamburg-Nord I,179038,154165,3042,1987,151123,152178,61081,0,60570,0,69730,0,67673,0,13622,0,16505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6690,0,7430,0
19,016,Hamburg-Nord II,132899,115932,2321,1550,113611,114382,42372,0,41992,0,57848,0,56703,0,8654,0,10276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4737,0,5411,0
20,017,Wandsbek,226967,198765,3327,2314,195438,196451,76247,0,74834,0,94163,0,91775,0,16406,0,20385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8622,0,9457,0
21,018,Bergedorf,168775,147227,3228,2186,143999,145041,53355,0,53289,0,75802,0,74090,0,9572,0,11671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5270,0,5991,0
22,019,Harburg,144927,127503,2586,1844,124917,125659,43263,0,43911,0,66617,0,66016,0,9861,0,10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5176,0,5680,0
23,902,Hamburg,1392994,1202934,23801,15855,1179133,1187079,452116,0,446133,0,584560,0,572859,0,92513,0,112047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49944,0,56040,0
25,020,Emden  Leer,170729,143739,4412,4322,139327,139417,61787,0,60713,0,64125,0,61954,0,9433,0,12024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3982,0,4726,0
26,021,Wilhelmshaven,183983,149613,5479,3705,144134,145908,64068,0,62735,0,60198,0,59980,0,15439,0,17926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4429,0,5267,0
27,022,Oldenburg,173375,144639,3763,3483,140876,141156,53880,0,58625,0,48753,0,49365,0,31411,0,25717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6832,0,7449,0
28,023,Delmenhorst   Wesermarsch,140888,120875,4196,2878,116679,117997,49692,0,49076,0,49365,0,48749,0,13217,0,15362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4405,0,4810,0
