,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Ungültige:2,Gültige,Gültige:2,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
73,064,RHEIN-SIEG-KREIS I,200393,185572,1212,1058,184360,184514,102537,0,102447,0,66230,0,63136,0,14486,0,17933,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,448,0,0,0,0,0,512,0,550,0
74,065,OBERBERGISCHER KREIS  RHEIN-SIEG-KREIS II,211958,194483,1380,938,193103,193545,99902,0,95858,0,78780,0,78878,0,13213,0,17620,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,450,0,0,0,0,0,686,0,739,0
75,066,RHEINISCH-BERGISCHER KREIS,206118,189430,1224,920,188206,188510,92814,0,92478,0,80531,0,74624,0,13512,0,20122,0,0,0,0,0,0,0,0,0,0,0,0,0,794,0,602,0,0,0,0,0,555,0,684,0
76,067,LEVERKUSEN  OPLADEN,200080,181918,2704,1375,179214,180543,74755,0,75361,0,89722,0,85252,0,13227,0,18591,0,0,0,0,0,0,0,0,0,0,0,0,0,748,0,671,0,0,0,0,0,762,0,668,0
77,068,REMSCHEID,141831,127893,1002,638,126891,127255,58420,0,57440,0,58248,0,56481,0,9081,0,12298,0,0,0,0,0,0,0,0,0,0,0,0,0,782,0,605,0,0,0,0,0,360,0,431,0
78,069,WUPPERTAL I,144126,130206,727,590,129479,129616,52253,0,53883,0,55152,0,57858,0,20861,0,16666,0,0,0,0,0,0,0,0,0,0,0,0,0,848,0,694,0,0,0,0,0,365,0,515,0
79,070,WUPPERTAL II,141592,127710,756,522,126954,127188,51288,0,51403,0,61615,0,59464,0,12758,0,15187,0,0,0,0,0,0,0,0,0,0,0,0,0,907,0,704,0,0,0,0,0,386,0,430,0
80,071,SOLINGEN,120642,108841,752,596,108089,108245,46294,0,46025,0,51415,0,50076,0,9008,0,10982,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,826,0,0,0,0,0,428,0,336,0
81,072,DUESSELDORF  METTMANN I,147709,135413,2735,1877,132678,133536,60435,0,59508,0,61638,0,59425,0,9649,0,13604,0,0,0,0,0,0,0,0,0,0,0,0,0,678,0,554,0,0,0,0,0,278,0,445,0
82,073,DUESSELDORF  METTMANN II,152348,139799,3297,2121,136502,137678,60532,0,60752,0,66166,0,61653,0,8703,0,14095,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0,646,0,0,0,0,0,385,0,532,0
83,074,DUESSELDORF I,136546,123820,1926,1848,121894,121972,59303,0,58353,0,50587,0,48763,0,10512,0,13692,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,667,0,0,0,0,0,839,0,497,0
84,075,DUESSELDORF II,140402,124302,2590,2520,121712,121782,48276,0,48240,0,63767,0,61901,0,8300,0,10343,0,0,0,0,0,0,0,0,0,0,0,0,0,869,0,792,0,0,0,0,0,500,0,506,0
85,076,DUESSELDORF III,156389,138010,3185,2715,134825,135295,59127,0,58825,0,64977,0,63116,0,9396,0,12034,0,0,0,0,0,0,0,0,0,0,0,0,0,946,0,810,0,0,0,0,0,379,0,510,0
86,077,NEUSS  GREVENBROICH I,212770,194069,1103,906,192966,193163,99241,0,99008,0,78797,0,74963,0,13522,0,17868,0,0,0,0,0,0,0,0,0,0,0,0,0,712,0,597,0,0,0,0,0,694,0,727,0
87,078,RHEYDT  GREVENBROICH II,139468,124475,1230,741,123245,123734,61041,0,61201,0,53033,0,52696,0,8440,0,9104,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,341,0,0,0,0,0,311,0,392,0
88,079,MOENCHENGLADBACH,164380,145326,1491,870,143835,144456,78110,0,78110,0,55616,0,55558,0,8961,0,9836,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,450,0,0,0,0,0,513,0,502,0
89,080,KREFELD,159783,141836,1140,826,140696,141010,67391,0,63371,0,61743,0,63539,0,10389,0,12985,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,499,0,0,0,0,0,612,0,616,0
90,081,KEMPEN  KREFELD,126811,115521,910,688,114611,114833,61818,0,61741,0,45007,0,43576,0,6960,0,8845,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,253,0,0,0,0,0,475,0,418,0
91,082,MOERS,208413,190740,1013,819,189727,189921,59348,0,60040,0,117146,0,114804,0,11511,0,13613,0,0,0,0,0,0,0,0,0,0,0,0,0,822,0,684,0,0,0,0,0,900,0,780,0
92,083,KLEVE,177017,163971,1239,1139,162732,162832,98186,0,97704,0,55942,0,55252,0,7884,0,9162,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,276,0,0,0,0,0,317,0,438,0
93,084,DINSLAKEN,190480,174361,1069,916,173292,173445,65451,0,65868,0,96767,0,92593,0,9973,0,13918,0,0,0,0,0,0,0,0,0,0,0,0,0,755,0,582,0,0,0,0,0,346,0,484,0
94,085,OBERHAUSEN,173586,157823,996,813,156827,157010,55131,0,54563,0,92245,0,91590,0,8065,0,9713,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,690,0,0,0,0,0,362,0,454,0
