Bundestagswahl am 19. September 1965 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;AUD;;DFU;;FSU;;NPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

283;Schwelmer Str. 134;831;685;18;667;294;44,1;306;45,9;51;7,7;0;0,0;15;2,2;0;0,0;1;0,1;
284;Schwelmer Str. 92;1.002;785;19;766;372;48,6;319;41,6;58;7,6;0;0,0;10;1,3;2;0,3;5;0,7;
285;Ehrenberger Str. 122;485;376;13;363;170;46,8;153;42,1;37;10,2;1;0,3;2;0,6;0;0,0;0;0,0;
286;Hessische Str. 11;936;750;19;731;314;43,0;335;45,8;69;9,4;0;0,0;7;1,0;0;0,0;6;0,8;
287;Windhorststr. 7;1.106;894;14;880;446;50,7;345;39,2;65;7,4;1;0,1;8;0,9;9;1,0;6;0,7;
288;Hebbecker Str. 14;650;485;5;480;261;54,4;178;37,1;31;6,5;0;0,0;5;1,0;3;0,6;2;0,4;
289;Holthauser Str. 29;884;676;18;658;294;44,7;290;44,1;56;8,5;0;0,0;17;2,6;1;0,1;0;0,0;
290;Elias-Eller-Str. 48;1.078;866;12;854;408;47,8;346;40,5;66;7,7;0;0,0;27;3,2;0;0,0;7;0,8;
291;Elias-Eller-Str. 48;943;769;16;753;351;46,6;292;38,8;93;12,3;0;0,0;12;1,6;0;0,0;5;0,7;
292;Scheidtstr. 36;948;795;16;779;359;46,1;330;42,4;70;9,0;1;0,1;14;1,8;1;0,1;4;0,5;
293;Scheidtstr. 36;776;614;14;600;282;47,0;223;37,2;73;12,2;3;0,5;15;2,5;0;0,0;4;0,7;
294;Lilienstr. 32;854;705;18;687;312;45,4;288;41,9;63;9,2;2;0,3;12;1,8;1;0,1;9;1,3;
295;Echoer Str. 46;950;795;9;786;424;53,9;267;34,0;78;9,9;1;0,1;10;1,3;1;0,1;5;0,6;
296;Remscheider Str. 50;884;707;13;694;288;41,5;315;45,4;51;7,3;2;0,3;34;4,9;0;0,0;4;0,6;
297;Remscheider Str. 50;1.280;1.023;22;1.001;454;45,4;414;41,4;80;8,0;1;0,1;42;4,2;3;0,3;7;0,7;
298;Geranienstr. 30 a;953;787;22;765;330;43,1;327;42,8;78;10,2;0;0,0;16;2,1;7;0,9;7;0,9;
299;Geranienstr. 30 a;974;790;15;775;302;39,0;381;49,2;62;8,0;0;0,0;24;3,1;0;0,0;6;0,8;
300;Geranienstr. 30 a;877;745;10;735;362;49,2;269;36,6;80;10,9;2;0,3;13;1,8;2;0,3;7;0,9;
301;Geranienstr. 30 a;751;617;7;610;294;48,2;229;37,5;69;11,3;0;0,0;13;2,1;0;0,0;5;0,8;
302;Erbschlöer Str. 91;775;588;6;582;256;44,0;240;41,2;55;9,4;1;0,2;27;4,6;0;0,0;3;0,5;
