Bundestagswahl am 19. September 1965 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;AUD;;DFU;;FSU;;NPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

83;Moritzstr. 21;1.075;815;10;805;284;35,3;469;58,3;32;4,0;0;0,0;14;1,7;1;0,1;5;0,6;
84;Simonsstr. 34;987;718;10;708;311;43,9;319;45,1;60;8,5;0;0,0;13;1,8;0;0,0;5;0,7;
85;Bundesallee 30;893;651;9;642;247;38,5;319;49,7;59;9,2;2;0,3;10;1,6;2;0,3;3;0,5;
86;Ernststr. 15;936;675;17;658;271;41,2;326;49,5;47;7,1;0;0,0;8;1,2;3;0,5;3;0,5;
87;Viktoriastr. 17;1.118;786;8;778;431;55,4;236;30,3;89;11,4;0;0,0;8;1,0;1;0,1;13;1,7;
88;Bismarckstr. 90;1.036;733;2;731;419;57,3;196;26,8;99;13,5;0;0,0;8;1,1;1;0,1;8;1,1;
89;Funckstr. 37;886;636;8;628;349;55,6;156;24,8;104;16,6;0;0,0;6;1,0;0;0,0;13;2,1;
90;Bayreuther Str. 35;984;711;9;702;332;47,3;285;40,6;62;8,8;1;0,1;12;1,7;2;0,3;8;1,1;
91;Bayreuther Str. 35;935;700;4;696;324;46,5;262;37,6;88;12,6;2;0,3;8;1,1;0;0,0;12;1,7;
92;Nüller Str. 98;1.135;884;12;872;434;49,8;320;36,7;84;9,6;0;0,0;23;2,6;2;0,2;9;1,0;
93;Katernberger Schulweg 50;1.199;896;13;883;412;46,7;342;38,7;94;10,7;0;0,0;19;2,1;4;0,5;12;1,4;
94;Katernberger Schulweg 50;1.258;961;15;946;461;48,7;332;35,1;105;11,1;4;0,4;23;2,4;3;0,3;18;1,9;
95;In der Beek 163;635;497;9;488;252;51,6;141;28,9;70;14,3;0;0,0;10;2,0;5;1,0;10;2,0;
96;Nevigeser Str. 412;1.039;779;11;768;320;41,7;326;42,5;91;11,8;1;0,1;19;2,5;6;0,8;5;0,7;
97;Nevigeser Str. 306;1.167;925;19;906;382;42,2;410;45,2;73;8,1;2;0,2;18;2,0;5;0,6;16;1,8;
98;Wilhelm-Raabe-Weg 35;1.087;858;5;853;381;44,7;351;41,1;98;11,5;1;0,1;7;0,8;3;0,3;12;1,4;
99;Malerstr. 11;926;627;6;621;337;54,3;218;35,1;48;7,7;1;0,2;8;1,3;1;0,2;8;1,3;
100;Eschenbeeker Str. 1;1.033;767;10;757;394;52,0;268;35,4;79;10,4;1;0,1;7;0,9;2;0,3;6;0,8;
101;Kohlstr. 10;871;628;9;619;284;45,9;254;41,0;66;10,7;2;0,3;6;1,0;2;0,3;5;0,8;
102;Vogelsangstr. 52;1.005;750;17;733;379;51,7;279;38,1;57;7,8;0;0,0;10;1,4;1;0,1;7;0,9;
103;Leipziger Str. 1;1.072;843;13;830;368;44,3;369;44,5;62;7,5;0;0,0;19;2,3;1;0,1;11;1,3;
104;Leipziger Str. 1;913;702;8;694;233;33,6;402;57,9;46;6,6;0;0,0;3;0,4;1;0,1;9;1,3;
105;Kohlstr. 10;845;695;9;686;193;28,1;420;61,2;38;5,5;0;0,0;21;3,1;4;0,6;10;1,5;
106;Westfalenweg 277;797;641;10;631;322;51,0;211;33,4;77;12,2;1;0,2;12;1,9;1;0,2;7;1,1;
107;Dönberger Str. 92;829;672;3;669;353;52,8;223;33,3;80;12,0;2;0,3;4;0,6;0;0,0;7;1,1;
108;Hatzfelder Str. 105;625;520;6;514;231;44,9;205;39,9;58;11,3;2;0,4;13;2,5;0;0,0;5;1,0;
109;Uellendahler Str. 400;982;770;11;759;286;37,7;369;48,6;72;9,5;1;0,1;22;2,9;0;0,0;9;1,2;
110;Uellendahler Str. 400;827;673;8;665;310;46,6;290;43,6;42;6,3;0;0,0;16;2,4;0;0,0;7;1,1;
111;Uellendahler Str. 400;1.066;746;13;733;300;40,9;344;46,9;66;9,0;0;0,0;13;1,8;1;0,1;9;1,2;
112;Kohlstr. 10;837;621;11;610;255;41,8;298;48,9;50;8,2;0;0,0;5;0,8;0;0,0;2;0,3;
113;Opphofer Str. 47;837;640;7;633;175;27,6;393;62,1;45;7,1;2;0,3;15;2,4;1;0,2;2;0,3;
114;Kolpingstr. 8;1.147;804;17;787;213;27,1;516;65,6;24;3,0;1;0,1;30;3,8;2;0,2;1;0,1;
115;Hombüchel 80;1.167;922;15;907;352;38,8;443;48,8;78;8,6;3;0,3;21;2,3;2;0,2;8;0,9;
116;Hombüchel 80;1.124;854;3;851;369;43,4;399;46,9;58;6,8;2;0,2;18;2,1;1;0,1;4;0,5;
117;Hochstr. 43;1.062;783;12;771;276;35,8;420;54,5;49;6,4;0;0,0;15;1,9;0;0,0;11;1,4;
118;Gertrudenstr. 20;1.074;732;8;724;248;34,2;415;57,3;42;5,8;3;0,4;4;0,6;1;0,1;11;1,5;
119;Schusterstr. 24;1.143;889;13;876;383;43,7;407;46,5;61;7,0;2;0,2;16;1,8;0;0,0;7;0,8;
120;Marienstr. 64;927;721;9;712;321;45,1;339;47,6;33;4,6;0;0,0;13;1,8;5;0,7;1;0,1;
121;Marienstr. 64;985;766;14;752;223;29,6;475;63,2;28;3,7;1;0,1;17;2,3;3;0,4;5;0,7;
122;Schmiedestr. 5;1.083;858;16;842;255;30,3;521;61,9;37;4,4;0;0,0;26;3,1;2;0,2;1;0,1;
123;Schmiedestr. 5;1.191;949;8;941;302;32,1;568;60,4;35;3,7;0;0,0;29;3,1;1;0,1;6;0,6;
124;Marienstr. 64;1.165;922;16;906;329;36,3;513;56,6;50;5,5;0;0,0;7;0,8;1;0,1;6;0,7;
125;Malerstr. 11;933;710;6;704;302;42,9;337;47,9;43;6,1;1;0,1;10;1,4;0;0,0;11;1,6;
126;Markomannenstr. 39;1.249;966;22;944;343;36,3;521;55,2;40;4,2;7;0,7;25;2,6;1;0,1;7;0,7;
127;Helmholtzstr. 40;1.133;855;18;837;317;37,9;450;53,8;55;6,6;2;0,2;7;0,8;1;0,1;5;0,6;
128;Helmholtzstr. 40;1.048;800;8;792;323;40,8;376;47,5;68;8,6;0;0,0;15;1,9;0;0,0;10;1,3;
129;Wiesenstr. 17;916;710;9;701;271;38,7;355;50,6;60;8,6;2;0,3;6;0,9;3;0,4;4;0,6;
130;Markomannenstr. 39;1.200;903;8;895;368;41,1;461;51,5;42;4,7;1;0,1;15;1,7;1;0,1;7;0,8;
131;Brüderstr. 24;1.150;894;8;886;340;38,4;473;53,4;40;4,5;2;0,2;24;2,7;2;0,2;5;0,6;
132;Neue Friedrichstr. 19;880;682;18;664;253;38,1;354;53,3;41;6,2;2;0,3;5;0,8;0;0,0;9;1,4;
133;Neue Friedrichstr. 19;844;601;6;595;245;41,2;278;46,7;56;9,4;0;0,0;15;2,5;0;0,0;1;0,2;
134;Friedrichschulstr. 15;968;759;17;742;295;39,8;369;49,7;64;8,6;1;0,1;7;0,9;1;0,1;5;0,7;
135;Südstr. 8;1.073;880;10;870;350;40,2;382;43,9;107;12,3;1;0,1;19;2,2;0;0,0;11;1,3;
136;Bundesallee 30;1.182;898;14;884;410;46,4;339;38,4;100;11,3;2;0,2;8;0,9;3;0,3;22;2,5;
137;Bundesallee 30;1.155;829;22;807;353;43,7;383;47,5;45;5,6;3;0,4;14;1,7;3;0,4;6;0,7;
138;Kolpingstr. 8;1.087;823;6;817;399;48,8;338;41,4;64;7,8;0;0,0;12;1,5;2;0,2;2;0,2;
139;Schloßbleiche 34;1.060;740;15;725;355;49,0;264;36,4;89;12,3;0;0,0;10;1,4;0;0,0;7;1,0;
140;Klotzbahn, Ecke Neumarkt;998;747;12;735;343;46,7;300;40,8;65;8,8;0;0,0;9;1,2;2;0,3;16;2,2;
141;Bundesallee 222;1.095;872;11;861;419;48,7;326;37,9;96;11,2;3;0,3;10;1,2;2;0,2;5;0,6;
142;Gartenstr. 45;1.088;778;14;764;370;48,4;293;38,4;81;10,6;0;0,0;10;1,3;1;0,1;9;1,2;
143;Sportstr. 1;1.008;795;10;785;387;49,3;313;39,9;70;8,9;0;0,0;9;1,1;2;0,2;4;0,5;
144;Platz der Republik 41;969;671;10;661;274;41,5;303;45,8;60;9,1;1;0,1;11;1,7;0;0,0;12;1,8;
145;Platz der Republik 41;979;774;10;764;242;31,7;462;60,5;31;4,1;3;0,4;20;2,6;0;0,0;6;0,8;
146;Deweethstr. 2;1.012;783;22;761;255;33,5;450;59,1;33;4,3;0;0,0;14;1,8;0;0,0;9;1,2;
147;Schleswiger Str. 12;1.365;1.059;17;1.042;389;37,3;581;55,8;40;3,8;3;0,3;21;2,0;0;0,0;8;0,8;
148;Am Mirker Bach 1;626;477;6;471;225;47,8;205;43,5;31;6,6;0;0,0;6;1,3;0;0,0;4;0,8;
149;Opphofer Str. 47;1.211;930;24;906;297;32,8;534;58,9;49;5,4;0;0,0;19;2,1;0;0,0;7;0,8;
150;Deweethstr. 2;991;781;10;771;260;33,7;439;56,9;52;6,7;2;0,3;16;2,1;0;0,0;2;0,3;
151;Wörther Str. 11;720;554;14;540;195;36,1;291;53,9;39;7,2;0;0,0;8;1,5;0;0,0;7;1,3;
152;Am Engelnberg 16;1.103;842;15;827;301;36,4;463;56,0;39;4,7;5;0,6;13;1,6;0;0,0;6;0,7;
153;Opphofer Str. 47;944;740;12;728;274;37,6;390;53,6;47;6,5;0;0,0;13;1,8;1;0,1;3;0,4;
154;Am Engelnberg 16;1.118;886;10;876;389;44,4;388;44,3;71;8,1;0;0,0;9;1,0;10;1,1;9;1,0;
155;Am Engelnberg 16;1.058;798;23;775;331;42,7;369;47,6;62;8,0;0;0,0;6;0,8;1;0,1;6;0,8;
156;Konsumstr. 45;895;697;17;680;230;33,8;390;57,4;39;5,7;2;0,3;15;2,2;2;0,3;2;0,3;
157;Rudolfstr. 120;606;466;8;458;175;38,2;240;52,4;25;5,5;1;0,2;9;2,0;4;0,9;4;0,9;
158;Rudolfstr. 120;905;682;13;669;284;42,5;283;42,3;82;12,3;0;0,0;10;1,5;0;0,0;10;1,5;
159;Gronaustr. 12;985;757;9;748;309;41,3;340;45,5;81;10,8;1;0,1;11;1,5;1;0,1;5;0,7;
160;Gronaustr. 12;1.025;741;21;720;304;42,2;336;46,7;64;8,9;1;0,1;10;1,4;0;0,0;5;0,7;
161;Hünefeldstr. 79;827;633;24;609;289;47,5;269;44,2;37;6,1;1;0,2;6;1,0;0;0,0;7;1,1;
162;Friedrich-Engels-Allee 184;983;704;9;695;289;41,6;334;48,1;54;7,8;1;0,1;10;1,4;1;0,1;6;0,9;
163;Wittensteinstr. 64;875;703;20;683;245;35,9;370;54,2;50;7,3;2;0,3;11;1,6;0;0,0;5;0,7;
164;Friedrich-Engels-Allee 76;945;769;14;755;314;41,6;334;44,2;79;10,5;1;0,1;9;1,2;1;0,1;17;2,2;
165;Loher Str. 29;1.161;913;12;901;429;47,6;403;44,7;54;6,0;3;0,3;6;0,7;4;0,4;2;0,2;
166;Friedrich-Engels-Allee 342;1.023;794;17;777;354;45,6;322;41,4;89;11,4;1;0,1;4;0,5;0;0,0;7;0,9;
167;Hohenstein 123;1.007;774;11;763;337;44,2;347;45,5;60;7,9;1;0,1;5;0,7;0;0,0;13;1,7;
168;Hohenstein 123;1.023;814;11;803;337;42,0;393;48,9;49;6,1;4;0,5;16;2,0;2;0,2;2;0,2;
169;Hohenstein 123;1.215;962;24;938;333;35,5;509;54,3;72;7,7;4;0,4;14;1,5;2;0,2;4;0,4;
170;Hohenstein 123;841;663;15;648;265;40,9;328;50,6;32;4,9;2;0,3;17;2,6;0;0,0;4;0,6;
171;Eichenstr. 59;1.070;837;21;816;358;43,9;359;44,0;72;8,8;3;0,4;18;2,2;0;0,0;6;0,7;
172;Eichenstr. 59;1.170;947;16;931;429;46,1;421;45,2;62;6,7;5;0,5;9;1,0;0;0,0;5;0,5;
173;Eichenstr. 3;1.166;901;20;881;329;37,3;490;55,6;44;5,0;2;0,2;6;0,7;4;0,5;6;0,7;
174;Eichenstr. 3;1.331;1.022;27;995;362;36,4;552;55,5;61;6,1;1;0,1;15;1,5;0;0,0;4;0,4;
175;Konsumstr. 45;724;506;6;500;276;55,2;166;33,2;51;10,2;0;0,0;6;1,2;0;0,0;1;0,2;
176;Heusnerstr. 40;895;657;9;648;323;49,9;230;35,5;84;13,0;0;0,0;6;0,9;0;0,0;5;0,8;
177;Thorner Str. 15;1.037;769;16;753;337;44,8;324;43,0;78;10,4;2;0,3;10;1,3;0;0,0;2;0,3;
178;Thorner Str. 15;1.077;848;16;832;316;38,0;441;53,0;53;6,4;0;0,0;16;1,9;1;0,1;5;0,6;
179;Thorner Str. 15;1.082;832;19;813;282;34,7;465;57,2;46;5,7;0;0,0;18;2,2;0;0,0;2;0,2;
180;Thorner Str. 15;1.090;793;19;774;337;43,5;364;47,0;54;7,0;1;0,1;14;1,8;0;0,0;4;0,5;
181;Carnaper Str. 13;951;740;17;723;348;48,1;317;43,9;38;5,3;0;0,0;13;1,8;2;0,3;5;0,7;
182;Schönebecker Str. 149;1.336;1.041;15;1.026;452;44,0;451;44,0;98;9,6;2;0,2;12;1,2;6;0,6;5;0,5;
183;Hatzfelder Str. 105;554;429;4;425;191;44,9;159;37,4;57;13,4;1;0,2;11;2,6;0;0,0;6;1,4;
184;Hatzfelder Str. 133;1.318;1.010;18;992;381;38,4;467;47,1;102;10,3;1;0,1;29;2,9;0;0,0;12;1,2;
185;Hatzfelder Str. 217;683;531;13;518;235;45,4;214;41,3;51;9,8;3;0,6;8;1,5;1;0,2;6;1,2;
186;Einern 40;1.028;783;14;769;377;49,0;290;37,7;89;11,6;2;0,3;2;0,3;1;0,1;8;1,0;
187;Gennebrecker Str. 156;826;631;8;623;282;45,3;244;39,2;75;12,0;0;0,0;13;2,1;0;0,0;9;1,4;
188;Gennebrecker Str. 162;857;674;14;660;315;47,7;240;36,4;80;12,1;1;0,1;10;1,5;3;0,5;11;1,7;
189;Leimbacher Str. 4;1.280;1.014;40;974;388;39,8;514;52,8;46;4,7;0;0,0;22;2,3;0;0,0;4;0,4;
190;Sedanstr. 61;1.064;821;20;801;354;44,2;363;45,3;65;8,1;1;0,1;5;0,6;3;0,4;10;1,2;
