Bundestagswahl am 18. September 2005 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;Die Linke.;;NPD;;MLPD;;Die PARTEI;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

216;Remscheider Str. 50;1.154;726;16;710;325;45,8;274;38,6;29;4,1;38;5,3;34;4,8;10;1,4;0;0,0;0;0,0;
217;Schenkstr. 133;1.227;757;17;740;302;40,8;334;45,1;39;5,3;37;5,0;20;2,7;7;0,9;1;0,1;0;0,0;
218;Am Stadtbahnhof 30;1.162;735;16;719;317;44,1;286;39,8;27;3,8;37;5,2;34;4,7;15;2,1;3;0,4;0;0,0;
219;Echoer Str. 46;1.196;770;9;761;303;39,8;323;42,4;51;6,7;44;5,8;30;3,9;10;1,3;0;0,0;0;0,0;
220;Echoer Str. 46;954;669;3;666;292;43,8;275;41,3;42;6,3;34;5,1;15;2,2;7;1,1;1;0,1;0;0,0;
221;An der Blutfinke 70;1.140;768;9;759;314;41,4;326;43,0;40;5,3;48;6,3;22;2,9;8;1,1;1;0,1;0;0,0;
222;Herbringhausen 73;255;193;3;190;59;31,1;106;55,8;11;5,8;5;2,6;7;3,7;1;0,5;0;0,0;1;0,5;
40101;BW-Bezirk Elberfeld-Mitte;x;1.122;14;1.108;516;46,6;384;34,7;62;5,6;52;4,7;74;6,7;11;1,0;0;0,0;9;0,8;
40202;BW-Bezirk Hombüchel;x;840;11;829;363;43,8;256;30,9;27;3,3;100;12,1;57;6,9;3;0,4;0;0,0;23;2,8;
40303;BW-Bezirk Höchsten;x;638;5;633;291;46,0;187;29,5;18;2,8;75;11,8;41;6,5;8;1,3;0;0,0;13;2,0;
40404;BW-Bezirk Ostersbaum;x;839;7;832;419;50,4;246;29,6;32;3,9;53;6,4;60;7,2;7;0,8;0;0,0;15;1,8;
40505;BW-Bezirk Grifflenberg 1;x;929;7;922;298;32,3;479;52,0;74;8,0;34;3,7;27;2,9;2;0,2;0;0,0;8;0,9;
40605;BW-Bezirk Grifflenberg 2;x;956;12;944;350;37,1;415;44,0;54;5,7;65;6,9;48;5,1;7;0,7;0;0,0;5;0,5;
40706;BW-Bezirk Friedrichsberg;x;1.318;4;1.314;594;45,2;483;36,8;65;5,0;57;4,3;86;6,5;16;1,2;0;0,0;13;1,0;
40811;BW-Bezirk Brill-Arrenberg;x;1.189;4;1.185;435;36,7;537;45,3;69;5,8;77;6,5;48;4,0;4;0,3;0;0,0;15;1,3;
40912;BW-Bezirk Nützenberg-Zoo;x;905;8;897;382;42,6;387;43,1;37;4,1;44;4,9;35;3,9;6;0,7;0;0,0;6;0,7;
41013;BW-Bezirk Sonnborn-Varresbeck;x;1.328;15;1.313;557;42,4;566;43,1;80;6,1;39;3,0;54;4,1;6;0,5;0;0,0;11;0,8;
41121;BW-Bezirk Uellendahl-Ost 1;x;1.181;11;1.170;407;34,8;624;53,3;58;5,0;38;3,2;33;2,8;10;0,8;0;0,0;0;0,0;
41221;BW-Bezirk Uellendahl-Ost 2;x;852;6;846;342;40,4;387;45,7;43;5,1;34;4,0;27;3,2;7;0,8;0;0,0;6;0,7;
41322;BW-Bezirk Uellendahl-West 1;x;859;13;846;363;42,9;347;41,0;43;5,1;24;2,8;55;6,5;11;1,3;0;0,0;3;0,3;
41422;BW-Bezirk Uellendahl-West 2;x;1.029;6;1.023;425;41,5;453;44,3;52;5,1;44;4,3;38;3,7;7;0,7;0;0,0;4;0,4;
41523;BW-Bezirk Katernberg 1;x;1.261;5;1.256;409;32,6;672;53,5;90;7,2;42;3,3;34;2,7;3;0,2;0;0,0;6;0,5;
41623;BW-Bezirk Katernberg 2;x;1.260;13;1.247;438;35,1;632;50,7;69;5,5;47;3,8;52;4,2;2;0,2;0;0,0;7;0,6;
41731;BW-Bezirk Vohwinkel-Ost;x;1.117;16;1.101;479;43,5;444;40,3;36;3,3;61;5,5;61;5,5;7;0,6;0;0,0;13;1,2;
41832;BW-Bezirk Vohwinkel-West;x;814;20;794;353;44,5;330;41,6;32;4,0;30;3,8;36;4,5;11;1,4;0;0,0;2;0,2;
41933;BW-Bezirk Vohwinkel-Nord;x;1.148;12;1.136;532;46,8;425;37,4;50;4,4;50;4,4;61;5,4;10;0,9;0;0,0;8;0,7;
42041;BW-Bezirk Cronenberg-Süd 1;x;772;8;764;268;35,1;367;48,0;36;4,7;45;5,9;41;5,4;7;0,9;0;0,0;0;0,0;
42141;BW-Bezirk Cronenberg-Süd 2;x;842;2;840;305;36,3;417;49,6;34;4,0;47;5,6;33;3,9;3;0,4;1;0,1;0;0,0;
42242;BW-Bezirk Cronenberg-Nord;x;1.324;90;1.234;430;34,9;606;49,1;62;5,0;68;5,5;56;4,5;11;0,9;1;0,1;0;0,0;
42351;BW-Bezirk Barmen-Mitte;x;1.224;20;1.204;537;44,6;478;39,7;42;3,5;50;4,2;79;6,6;9;0,8;0;0,0;9;0,8;
42452;BW-Bezirk Sedansberg;x;727;7;720;357;49,6;238;33,1;24;3,3;34;4,7;50;6,9;10;1,4;0;0,0;7;1,0;
42553;BW-Bezirk Loh;x;1.215;15;1.200;542;45,2;437;36,4;49;4,1;66;5,5;85;7,1;10;0,8;0;0,0;11;0,9;
42654;BW-Bezirk Unterbarmen-Clausen;x;1.130;7;1.123;502;44,7;407;36,2;46;4,1;91;8,1;59;5,2;9;0,8;0;0,0;9;0,8;
42755;BW-Bezirk Hatzfeld;x;1.202;17;1.185;512;43,2;467;39,4;77;6,5;57;4,8;58;4,9;9;0,8;0;0,0;5;0,4;
42856;BW-Bezirk Kothen-Lichtenplatz 1;x;787;4;783;274;35,0;395;50,5;36;4,6;39;5,0;29;3,7;6;0,8;0;0,0;4;0,5;
42956;BW-Bezirk Kothen-Lichtenplatz 2;x;745;7;738;264;35,8;338;45,8;38;5,2;39;5,3;45;6,1;10;1,4;0;0,0;4;0,5;
43061;BW-Bezirk Oberbarmen;x;702;8;694;337;48,6;267;38,5;19;2,7;18;2,6;36;5,2;14;2,0;0;0,0;3;0,4;
43162;BW-Bezirk Wichlinghausen-Süd;x;834;17;817;373;45,6;295;36,1;36;4,4;31;3,8;56;6,8;16;2,0;0;0,0;10;1,2;
43263;BW-Bezirk Wichlinghausen-Nord;x;1.067;12;1.055;475;45,0;422;40,0;49;4,6;42;4,0;53;5,0;7;0,7;0;0,0;7;0,7;
43364;BW-Bezirk Nächstebreck 1;x;787;7;780;306;39,2;359;46,0;43;5,5;26;3,3;34;4,4;10;1,3;0;0,0;2;0,3;
43464;BW-Bezirk Nächstebreck 2;x;777;11;766;300;39,2;359;46,9;36;4,7;23;3,0;42;5,5;2;0,3;0;0,0;4;0,5;
43571;BW-Bezirk Heckinghausen-West 1;x;861;9;852;345;40,5;366;43,0;40;4,7;28;3,3;61;7,2;5;0,6;0;0,0;7;0,8;
43671;BW-Bezirk Heckinghausen-West 2;x;750;6;744;281;37,8;358;48,1;42;5,7;30;4,0;22;3,0;5;0,7;0;0,0;6;0,8;
43772;BW-Bezirk Heckinghausen-Ost;x;1.009;10;999;504;50,5;349;34,9;35;3,5;37;3,7;58;5,8;15;1,5;0;0,0;1;0,1;
43881;BW-Bezirk Langerfeld-Nord;x;990;14;976;473;48,5;368;37,7;33;3,4;24;2,5;68;7,0;4;0,4;0;0,0;6;0,6;
43982;BW-Bezirk Langerfeld-Süd/Beyenburg 1;x;828;8;820;323;39,4;384;46,8;32;3,9;35;4,3;38;4,6;3;0,4;0;0,0;5;0,6;
44082;BW-Bezirk Langerfeld-Süd/Beyenburg 2;x;1.084;11;1.073;451;42,0;471;43,9;47;4,4;38;3,5;56;5,2;7;0,7;0;0,0;3;0,3;
44191;BW-Bezirk Ronsdorf-Ost;x;1.221;15;1.206;455;37,7;536;44,4;60;5,0;59;4,9;84;7,0;10;0,8;2;0,2;0;0,0;
44292;BW-Bezirk Ronsdorf-West 1;x;873;15;858;312;36,4;406;47,3;40;4,7;51;5,9;43;5,0;4;0,5;2;0,2;0;0,0;
44392;BW-Bezirk Ronsdorf-West 2;x;767;10;757;289;38,2;355;46,9;38;5,0;32;4,2;38;5,0;4;0,5;1;0,1;0;0,0;
Ingesamt;;254.780;194.293;2.980;191.313;90.178;47,1;69.512;36,3;8.342;4,4;9.241;4,8;10.666;5,6;2.393;1,2;38;0,0;943;0,5;
