Bundestagswahl am 18. September 2005 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;Die Linke.;;NPD;;MLPD;;Die PARTEI;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

119;Zeughausstr. 26;1.314;745;13;732;341;46,6;271;37,0;32;4,4;29;4,0;43;5,9;12;1,6;0;0,0;4;0,6;
120;Alarichstr. 44;1.067;649;20;629;349;55,5;164;26,1;19;3,0;27;4,3;54;8,6;15;2,4;0;0,0;1;0,2;
121;St-Martins-Weg 1;1.156;615;9;606;345;56,9;143;23,6;19;3,1;21;3,5;61;10,1;15;2,5;0;0,0;2;0,3;
122;Leimbacher Str. 4;1.009;543;8;535;276;51,6;162;30,3;22;4,1;25;4,7;35;6,5;15;2,8;0;0,0;0;0,0;
123;Carnaper Str. 13;1.259;679;10;669;358;53,5;196;29,3;23;3,4;28;4,2;49;7,3;11;1,6;0;0,0;4;0,6;
124;Thorner Str. 15;1.278;716;16;700;382;54,6;182;26,0;27;3,9;41;5,9;40;5,7;21;3,0;0;0,0;7;1,0;
125;Eichenstr. 59;1.017;590;15;575;287;49,9;199;34,6;30;5,2;24;4,2;29;5,0;4;0,7;0;0,0;2;0,3;
126;Eichenstr. 59;1.215;678;14;664;392;59,0;157;23,6;29;4,4;21;3,2;57;8,6;8;1,2;0;0,0;0;0,0;
127;Eichenstr. 5;1.382;776;10;766;394;51,4;215;28,1;37;4,8;31;4,0;67;8,8;17;2,2;0;0,0;5;0,7;
128;Unterdörnen 1;1.145;577;11;566;291;51,4;167;29,5;20;3,5;24;4,2;50;8,8;8;1,4;0;0,0;6;1,1;
129;Martin-Luther-Str. 6;1.294;737;10;727;346;47,6;224;30,8;27;3,7;52;7,2;55;7,6;18;2,5;0;0,0;5;0,7;
130;Siegesstr. 134;1.384;814;14;800;431;53,9;179;22,4;30;3,8;62;7,8;82;10,2;10;1,2;0;0,0;6;0,8;
131;Heusnerstr. 40;1.214;673;11;662;328;49,5;213;32,2;30;4,5;45;6,8;27;4,1;19;2,9;0;0,0;0;0,0;
132;Thorner Str. 15;1.339;719;13;706;341;48,3;236;33,4;25;3,5;37;5,2;53;7,5;13;1,8;0;0,0;1;0,1;
133;Rudolfstr. 120;840;512;6;506;270;53,4;153;30,2;21;4,2;28;5,5;23;4,5;7;1,4;0;0,0;4;0,8;
134;Rudolfstr. 120;917;510;5;505;238;47,1;167;33,1;20;4,0;21;4,2;44;8,7;14;2,8;0;0,0;1;0,2;
135;Hünefeldstr. 3;1.027;622;6;616;334;54,2;149;24,2;18;2,9;57;9,2;43;7,0;9;1,5;0;0,0;6;1,0;
136;Wittensteinstr. 80;1.313;756;18;738;397;53,8;208;28,2;24;3,2;44;6,0;53;7,2;5;0,7;0;0,0;7;0,9;
137;Hatzfelder Str. 261;474;292;4;288;104;36,1;141;49,0;13;4,5;14;4,9;11;3,8;4;1,4;0;0,0;1;0,3;
138;Friedhofstr. 11;1.594;796;25;771;403;52,3;258;33,5;30;3,9;30;3,9;42;5,5;6;0,8;0;0,0;2;0,3;
139;Klingelholl 80;1.338;814;15;799;456;57,1;227;28,4;21;2,6;45;5,6;40;5,0;9;1,1;0;0,0;1;0,1;
140;Schützenstr. 34;1.193;639;9;630;358;56,8;155;24,6;32;5,1;22;3,5;49;7,8;8;1,3;0;0,0;6;0,9;
141;Wilkhausstr. 133;1.276;782;12;770;387;50,3;283;36,8;33;4,3;35;4,5;23;3,0;9;1,2;0;0,0;0;0,0;
142;Wilkhausstr. 133;1.307;838;6;832;381;45,8;325;39,1;39;4,7;32;3,9;36;4,3;17;2,0;0;0,0;2;0,2;
143;Meckelstr. 106;1.298;764;15;749;368;49,1;260;34,7;37;4,9;52;6,9;26;3,5;4;0,5;0;0,0;2;0,3;
144;Schloßstr. 64;1.266;800;18;782;388;49,6;234;29,9;27;3,5;69;8,8;55;7,0;5;0,6;0;0,0;4;0,5;
145;Marper Schulweg 6;1.117;713;7;706;203;28,8;420;59,5;29;4,1;32;4,5;17;2,4;3;0,4;0;0,0;2;0,3;
146;Marper Schulweg 6;1.329;857;9;848;397;46,8;335;39,5;43;5,1;31;3,7;34;4,0;5;0,6;0;0,0;3;0,3;
147;Bundeshöhe 6;659;458;5;453;176;38,9;196;43,3;32;7,1;22;4,9;23;5,1;3;0,7;0;0,0;1;0,2;
