Bundestagswahl am 24. September 2017 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;GRÜNE;;DIE LINKE;;FDP;;AfD;;PIRATEN;;Die PARTEI;;MLPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

1;Bundesallee 265;1.108;549;8;541;136;25,1;185;34,2;43;8,0;74;13,7;36;6,7;50;9,2;6;1,1;11;2,0;0;0,0;
2;Wupperstr. 14;1.181;603;10;593;128;21,6;222;37,4;53;8,9;70;11,8;36;6,1;65;11,0;7;1,2;12;2,0;0;0,0;
3;Distelbeck 9;1.275;595;7;588;111;18,9;195;33,2;55;9,3;80;13,6;41;7,0;85;14,5;5;0,8;14;2,4;2;0,3;
4;Distelbeck 9;1.037;507;8;499;130;26,1;165;33,1;39;7,8;62;12,4;41;8,2;53;10,6;3;0,6;6;1,2;0;0,0;
5;Distelbeck 9;1.220;603;8;595;136;22,9;222;37,3;34;5,7;63;10,6;50;8,4;66;11,1;8;1,3;15;2,5;1;0,2;
6;Bundesallee 30;984;486;8;478;90;18,8;197;41,2;37;7,7;55;11,5;26;5,4;51;10,7;6;1,3;15;3,1;1;0,2;
7;Auer Schulstr. 20;763;386;3;383;89;23,2;119;31,1;39;10,2;62;16,2;29;7,6;34;8,9;3;0,8;8;2,1;0;0,0;
8;Hombüchel 80;1.334;725;8;717;88;12,3;240;33,5;107;14,9;161;22,4;21;2,9;30;4,2;22;3,1;46;6,4;2;0,3;
9;Hombüchel 80;1.234;653;17;636;110;17,3;235;37,0;58;9,1;112;17,6;42;6,6;44;6,9;17;2,7;13;2,0;5;0,8;
10;Schusterstr. 15;1.056;499;12;487;102;20,9;183;37,6;46;9,4;72;14,8;30;6,2;31;6,4;5;1,0;18;3,7;0;0,0;
11;Kolpingstr. 8;1.364;738;6;732;155;21,2;239;32,6;94;12,8;128;17,5;43;5,9;37;5,0;7;1,0;29;4,0;0;0,0;
12;Marienstr. 64;1.400;885;12;873;112;12,8;286;32,8;159;18,2;192;22,0;31;3,5;35;4,0;12;1,4;44;5,0;2;0,2;
13;Helmholtzstr. 40;1.198;664;17;647;106;16,4;239;36,9;75;11,6;133;20,6;25;3,9;33;5,1;11;1,7;18;2,8;7;1,1;
14;Schleswiger Str. 12;1.203;630;8;622;88;14,2;232;37,3;65;10,4;115;18,5;30;4,8;38;6,1;19;3,0;30;4,8;5;0,8;
15;Friedrichschulstr. 15;1.070;542;7;535;126;23,6;183;34,2;35;6,5;84;15,7;32;6,0;54;10,1;10;1,9;8;1,5;3;0,6;
16;Gathe 6;1.194;587;16;571;87;15,2;202;35,4;66;11,6;115;20,1;27;4,7;41;7,2;9;1,6;18;3,1;6;1,1;
17;Alemannenstr. 42 a;921;527;11;516;53;10,3;203;39,3;56;10,8;110;21,3;19;3,7;34;6,6;6;1,2;35;6,8;0;0,0;
18;Opphofer Str. 47;1.266;624;7;617;117;19,0;239;38,7;34;5,5;73;11,8;33;5,3;89;14,4;9;1,5;21;3,4;2;0,3;
19;Am Engelnberg 16;1.066;517;13;504;84;16,7;193;38,3;34;6,8;84;16,7;24;4,8;63;12,5;6;1,2;15;3,0;1;0,2;
20;Am Engelnberg 16;991;573;5;568;123;21,6;211;37,1;46;8,1;52;9,2;39;6,9;76;13,4;8;1,4;11;1,9;2;0,3;
21;Friedrich-Storck-Weg 22;1.083;574;11;563;136;24,2;198;35,2;43;7,6;61;10,8;46;8,2;53;9,4;6;1,1;15;2,7;5;0,9;
22;Else-Lasker-Schüler-Str. 30;1.042;477;7;470;111;23,6;143;30,4;39;8,3;64;13,6;31;6,6;68;14,5;3;0,6;9;1,9;2;0,4;
23;Else-Lasker-Schüler-Str. 30;990;505;6;499;84;16,8;183;36,7;37;7,4;75;15,0;30;6,0;56;11,2;11;2,2;21;4,2;2;0,4;
24;Blankstr. 5;986;518;10;508;175;34,5;159;31,3;40;7,9;42;8,3;39;7,7;36;7,1;7;1,4;7;1,4;3;0,6;
25;Gaußstr. 51;1.226;632;6;626;202;32,3;211;33,7;54;8,6;50;8,0;48;7,7;50;8,0;2;0,3;9;1,4;0;0,0;
26;Rainer-Gruenter Str. 21;1.261;703;4;699;240;34,3;190;27,2;58;8,3;40;5,7;89;12,7;72;10,3;1;0,1;9;1,3;0;0,0;
27;Cronenberger Str. 375;1.233;740;9;731;233;31,9;226;30,9;39;5,3;62;8,5;68;9,3;90;12,3;2;0,3;11;1,5;0;0,0;
28;Im Ostersiepen 25;1.311;583;11;572;134;23,4;195;34,1;59;10,3;67;11,7;44;7,7;46;8,0;5;0,9;19;3,3;3;0,5;
29;Cronenberger Str. 375;1.295;714;10;704;232;33,0;216;30,7;56;8,0;55;7,8;64;9,1;68;9,7;3;0,4;9;1,3;1;0,1;
30;Augustastr. 2;1.069;582;9;573;137;23,9;190;33,2;57;9,9;69;12,0;38;6,6;65;11,3;4;0,7;12;2,1;1;0,2;
31;Auf dem Johannisberg 1;1.001;506;9;497;119;23,9;183;36,8;29;5,8;59;11,9;32;6,4;55;11,1;8;1,6;12;2,4;0;0,0;
32;Kölner Str. 4;1.148;601;11;590;152;25,8;220;37,3;30;5,1;76;12,9;36;6,1;53;9,0;10;1,7;13;2,2;0;0,0;
33;Reichsgrafenstr. 38;1.352;679;13;666;150;22,5;242;36,3;48;7,2;72;10,8;50;7,5;82;12,3;5;0,8;16;2,4;1;0,1;
34;Reichsgrafenstr. 38;1.160;550;10;540;116;21,5;210;38,9;39;7,2;50;9,3;32;5,9;71;13,2;6;1,1;16;3,0;0;0,0;
35;Jung-Stilling-Weg 45;1.445;795;8;787;217;27,6;250;31,8;56;7,1;74;9,4;70;8,9;101;12,8;9;1,1;9;1,1;1;0,1;
36;Neviandtstr. 87;1.044;522;18;504;140;27,8;175;34,7;31;6,2;46;9,1;39;7,7;52;10,3;8;1,6;10;2,0;3;0,6;
37;Bayreuther Str. 35;1.261;768;3;765;244;31,9;232;30,3;69;9,0;74;9,7;81;10,6;43;5,6;4;0,5;16;2,1;2;0,3;
38;Bayreuther Str. 35;1.303;735;11;724;215;29,7;229;31,6;89;12,3;55;7,6;74;10,2;42;5,8;3;0,4;17;2,4;0;0,0;
39;Viktoriastr. 21;1.142;645;4;641;184;28,7;199;31,1;83;12,9;61;9,5;55;8,6;52;8,1;0;0,0;6;0,9;1;0,2;
40;Bundesallee 30;1.396;673;8;665;119;17,9;238;35,8;71;10,7;110;16,5;34;5,1;62;9,3;7;1,1;22;3,3;2;0,3;
41;Arrenberger Str. 71 b;1.039;479;7;472;69;14,6;181;38,4;51;10,8;69;14,6;29;6,1;47;10,0;12;2,5;14;3,0;0;0,0;
42;Kyffhäuser Str. 86;1.284;746;6;740;201;27,2;301;40,7;55;7,4;42;5,7;54;7,3;79;10,7;4;0,5;3;0,4;1;0,1;
43;Stockmannsmühle 23;691;392;5;387;136;35,1;120;31,0;21;5,4;27;7,0;37;9,6;40;10,3;4;1,0;2;0,5;0;0,0;
44;Nützenberger Str. 242;1.136;561;13;548;132;24,1;172;31,4;43;7,8;68;12,4;37;6,8;70;12,8;11;2,0;15;2,7;0;0,0;
45;Donarstr. 2;1.128;631;4;627;155;24,7;190;30,3;66;10,5;62;9,9;44;7,0;91;14,5;5;0,8;14;2,2;0;0,0;
46;Donarstr. 2;1.238;722;8;714;231;32,4;215;30,1;80;11,2;60;8,4;66;9,2;49;6,9;3;0,4;10;1,4;0;0,0;
47;Lüntenbecker Weg 42-44;1.215;680;9;671;228;34,0;179;26,7;31;4,6;54;8,1;86;12,8;81;12,1;5;0,8;6;0,9;1;0,1;
48;Krummacher Str. 25;1.286;758;11;747;213;28,5;241;32,3;43;5,8;56;7,5;74;9,9;104;13,9;4;0,5;11;1,5;1;0,1;
49;Deutscher Ring 11;1.164;587;5;582;164;28,2;206;35,4;40;6,9;51;8,8;49;8,4;61;10,5;1;0,2;10;1,7;0;0,0;
50;Sillerstr. 13;1.301;686;7;679;162;23,9;242;35,6;26;3,8;62;9,1;51;7,5;106;15,6;12;1,8;18;2,6;0;0,0;
51;Garterlaie 29;1.136;601;8;593;178;30,0;186;31,4;32;5,4;55;9,3;49;8,3;83;14,0;3;0,5;5;0,8;2;0,3;
52;Unten Vorm Steeg 1;989;554;5;549;222;40,4;143;26,1;31;5,7;40;7,3;54;9,8;47;8,6;3;0,6;9;1,6;0;0,0;
53;Am Dönberg 46;1.436;892;8;884;385;43,5;220;24,9;65;7,3;40;4,5;98;11,1;64;7,2;2;0,2;10;1,1;0;0,0;
54;Höhenstr. 25;1.285;797;9;788;308;39,1;233;29,6;56;7,1;54;6,8;71;9,0;56;7,1;1;0,1;9;1,1;0;0,0;
55;Höhenstr. 56;1.356;873;9;864;369;42,7;210;24,3;59;6,8;46;5,3;119;13,8;52;6,0;3;0,3;6;0,7;0;0,0;
56;Kurt-Schumacher-Str. 130;882;536;6;530;186;35,1;140;26,4;36;6,8;23;4,3;65;12,3;70;13,2;7;1,3;2;0,4;1;0,2;
57;Kurt-Schumacher-Str. 130;884;442;10;432;153;35,4;120;27,8;25;5,8;26;6,0;45;10,4;54;12,5;4;0,9;5;1,2;0;0,0;
58;Gustav-Heinemann-Str. 10 a;1.026;542;5;537;195;36,3;142;26,4;30;5,6;49;9,1;44;8,2;64;11,9;8;1,5;2;0,4;3;0,6;
59;Röttgen 110;953;533;18;515;149;28,9;156;30,3;31;6,0;51;9,9;33;6,4;87;16,9;2;0,4;4;0,8;2;0,4;
60;Röttgen 110;654;348;5;343;116;33,8;105;30,6;31;9,0;12;3,5;40;11,7;32;9,3;2;0,6;4;1,2;1;0,3;
61;Röttgen 110;1.229;613;1;612;250;40,9;153;25,0;28;4,6;39;6,4;66;10,8;69;11,3;2;0,3;5;0,8;0;0,0;
62;Röttgen 102 a;775;411;6;405;99;24,4;142;35,1;13;3,2;51;12,6;35;8,6;56;13,8;4;1,0;3;0,7;2;0,5;
63;Kohlstr. 150;1.372;828;14;814;250;30,7;262;32,2;25;3,1;63;7,7;92;11,3;104;12,8;10;1,2;7;0,9;1;0,1;
64;Leipziger Str. 1;1.268;738;9;729;205;28,1;228;31,3;70;9,6;59;8,1;58;8,0;95;13,0;6;0,8;8;1,1;0;0,0;
65;Kohlstr. 11;1.041;572;10;562;132;23,5;186;33,1;36;6,4;52;9,2;49;8,7;88;15,7;11;2,0;7;1,2;1;0,2;
66;Am Mirker Bach 1;837;454;8;446;111;24,9;165;37,0;33;7,4;51;11,4;33;7,4;38;8,5;5;1,1;8;1,8;2;0,5;
67;Vogelsangstr. 50;1.179;627;12;615;190;30,9;203;33,0;55;8,9;48;7,8;46;7,5;58;9,4;5;0,8;9;1,5;1;0,2;
68;Hainstr. 192;1.353;867;8;859;310;36,1;259;30,1;75;8,7;43;5,0;84;9,8;67;7,8;8;0,9;13;1,5;0;0,0;
69;Kruppstr. 145;1.309;667;9;658;201;30,6;199;30,2;41;6,2;68;10,3;68;10,3;68;10,3;4;0,6;6;0,9;3;0,5;
70;Birkenhöhe 60-62;1.239;710;4;706;272;38,5;190;26,9;54;7,7;38;5,4;85;12,0;53;7,5;8;1,1;5;0,7;1;0,1;
71;Hainstr. 192;1.232;755;13;742;268;36,1;202;27,2;53;7,1;31;4,2;96;12,9;78;10,5;5;0,7;9;1,2;0;0,0;
72;Birkenhöhe 60-62;1.012;614;4;610;215;35,2;175;28,7;39;6,4;41;6,7;74;12,1;59;9,7;3;0,5;4;0,7;0;0,0;
73;In den Birken 56;1.154;644;7;637;241;37,8;188;29,5;35;5,5;29;4,5;69;10,8;58;9,1;5;0,8;11;1,7;1;0,2;
74;Kruppstr. 145;718;477;1;476;157;33,0;142;29,8;41;8,6;34;7,1;42;8,8;46;9,7;4;0,8;9;1,9;1;0,2;
75;Kruppstr. 145;791;421;2;419;161;38,4;110;26,2;29;6,9;20;4,8;59;14,1;32;7,6;1;0,2;6;1,4;1;0,2;
76;Bayreuther Str. 35;966;533;3;530;191;36,0;142;26,8;50;9,4;38;7,2;70;13,2;34;6,4;3;0,6;2;0,4;0;0,0;
77;Pahlkestr. 250;906;600;3;597;278;46,6;130;21,8;46;7,7;21;3,5;75;12,6;37;6,2;4;0,7;6;1,0;0;0,0;
78;Birkenhöhe 60-62;1.196;704;12;692;248;35,8;210;30,4;55;8,0;31;4,5;86;12,4;52;7,5;6;0,9;4;0,6;0;0,0;
79;Birkenhöhe 60-62;1.035;550;7;543;173;31,9;173;31,9;33;6,1;44;8,1;60;11,1;56;10,3;1;0,2;3;0,6;0;0,0;
80;Blücherstr. 19;1.281;646;12;634;149;23,5;224;35,3;55;8,7;47;7,4;43;6,8;105;16,6;3;0,5;7;1,1;1;0,2;
81;Florian-Geyer-Str. 9;1.221;599;7;592;190;32,1;159;26,9;60;10,1;45;7,6;68;11,5;55;9,3;6;1,0;9;1,5;0;0,0;
82;Elfenhang 4;1.176;608;11;597;165;27,6;199;33,3;23;3,9;65;10,9;37;6,2;86;14,4;6;1,0;14;2,4;2;0,3;
83;Edith-Stein-Str. 19;1.276;677;6;671;189;28,2;211;31,4;45;6,7;57;8,5;71;10,6;75;11,2;7;1,0;16;2,4;0;0,0;
84;Edith-Stein-Str. 19;978;513;10;503;107;21,3;197;39,2;34;6,8;54;10,7;31;6,2;61;12,1;18;3,6;0;0,0;1;0,2;
85;Blücherstr. 19;1.224;587;15;572;136;23,8;198;34,6;32;5,6;61;10,7;36;6,3;89;15,6;7;1,2;12;2,1;1;0,2;
