Bundestagswahl am 24. September 2017 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;GRÜNE;;DIE LINKE;;FDP;;AfD;;PIRATEN;;Die PARTEI;;MLPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

183;Meyerstr. 32;1.074;545;12;533;112;21,0;198;37,1;29;5,4;41;7,7;43;8,1;90;16,9;8;1,5;12;2,2;0;0,0;
184;Heckinghauser Str. 195;985;471;3;468;96;20,5;180;38,5;22;4,7;47;10,0;26;5,6;77;16,4;5;1,1;14;3,0;1;0,2;
185;Auf der Bleiche 53;1.308;635;6;629;162;25,8;230;36,6;23;3,7;61;9,7;46;7,3;97;15,4;6;0,9;3;0,5;1;0,2;
186;Gosenburg 62;1.314;738;9;729;184;25,2;226;31,0;49;6,7;74;10,2;75;10,3;96;13,2;10;1,4;13;1,8;2;0,3;
187;Hammesberger Weg 26;977;551;6;545;156;28,6;202;37,1;37;6,8;32;5,9;42;7,7;69;12,7;2;0,4;5;0,9;0;0,0;
188;Schwelmer Str. 133;1.106;533;8;525;130;24,8;187;35,6;23;4,4;40;7,6;40;7,6;88;16,8;5;0,9;12;2,3;0;0,0;
189;Spitzenstr. 20;1.268;647;10;637;146;22,9;222;34,9;26;4,1;50;7,8;56;8,8;121;19,0;5;0,8;7;1,1;4;0,6;
190;Spitzenstr.  20;821;394;5;389;100;25,7;136;35,0;20;5,1;37;9,5;24;6,2;56;14,4;5;1,3;9;2,3;2;0,5;
191;Heinrich-Böll-Str. 240;1.233;648;8;640;187;29,2;193;30,2;20;3,1;61;9,5;49;7,7;114;17,8;3;0,5;13;2,0;0;0,0;
192;Grundstr. 62;725;359;6;353;95;26,9;132;37,4;14;4,0;44;12,5;16;4,5;40;11,3;7;2,0;5;1,4;0;0,0;
193;Mercklinghausstr. 11;1.362;752;13;739;197;26,7;252;34,1;23;3,1;66;8,9;53;7,2;131;17,7;9;1,2;8;1,1;0;0,0;
194;Heinrich-Böll-Str. 240;1.079;567;11;556;152;27,3;185;33,3;22;4,0;50;9,0;35;6,3;103;18,5;4;0,7;3;0,5;2;0,4;
195;Flexstr. 5;1.298;707;5;702;225;32,0;214;30,5;37;5,3;53;7,5;66;9,4;94;13,4;4;0,6;9;1,3;0;0,0;
196;Dieckerhoffstr. 20;1.264;789;13;776;242;31,2;256;33,0;65;8,4;42;5,4;65;8,4;89;11,5;4;0,5;12;1,6;1;0,1;
197;Hölkesöhde 22 a;658;345;6;339;131;38,6;87;25,7;19;5,6;27;8,0;33;9,7;39;11,5;1;0,3;2;0,6;0;0,0;
198;Dieckerhoffstr. 20;1.275;566;7;559;127;22,7;231;41,3;24;4,3;51;9,1;27;4,8;80;14,3;6;1,1;11;2,0;2;0,4;
199;Badische Str. 76;1.104;617;3;614;185;30,1;195;31,8;30;4,9;53;8,6;56;9,1;84;13,7;3;0,5;7;1,1;1;0,2;
200;Zu den Erbhöfen 53;862;465;6;459;167;36,4;125;27,2;24;5,2;34;7,4;37;8,1;68;14,8;2;0,4;2;0,4;0;0,0;
201;Steinhauser Str. 12;568;350;3;347;121;34,9;98;28,2;32;9,2;29;8,4;32;9,2;28;8,1;1;0,3;6;1,7;0;0,0;
202;Beyenburger Freiheit 49;393;269;2;267;127;47,6;65;24,3;19;7,1;17;6,4;22;8,2;14;5,2;2;0,8;1;0,4;0;0,0;
203;Siegelberg 40;995;635;8;627;277;44,2;169;26,9;36;5,7;37;5,9;65;10,4;37;5,9;3;0,5;2;0,3;1;0,2;
204;Sondern 41;727;473;7;466;157;33,7;138;29,6;50;10,7;26;5,6;40;8,6;38;8,2;7;1,5;10;2,1;0;0,0;
205;Spieckern 39;622;406;5;401;166;41,4;106;26,4;39;9,7;16;4,0;33;8,2;33;8,2;0;0,0;8;2,0;0;0,0;
