Bundestagswahl am 22. September 2002 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;PDS;;GRAUE;;PBC;;Schill;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

174;Haselrain 38;1.327;840;15;825;383;46,4;345;41,8;46;5,6;22;2,7;16;1,9;4;0,5;5;0,6;4;0,5;
175;Gewerbeschulstr. 109;1.316;740;13;727;392;53,9;227;31,2;46;6,3;27;3,7;16;2,2;5;0,7;2;0,3;12;1,6;
176;Gewerbeschulstr. 109;1.101;625;8;617;364;59,0;161;26,1;41;6,7;28;4,5;10;1,6;5;0,8;2;0,3;6;1,0;
177;Obere Sehlhofstr. 47;1.196;790;8;782;394;50,4;271;34,6;48;6,1;44;5,6;12;1,5;4;0,5;3;0,4;6;0,8;
178;Obere Sehlhofstr. 47;1.258;738;10;728;374;51,4;231;31,7;44;6,0;54;7,4;14;1,9;3;0,4;4;0,6;4;0,6;
179;Schubertstr. 41;1.326;794;3;791;298;37,7;379;47,9;58;7,3;37;4,7;5;0,6;6;0,8;2;0,2;6;0,8;
180;Berg-Mark-Str. 5;1.024;629;3;626;317;50,6;198;31,6;45;7,2;44;7,0;10;1,6;3;0,5;2;0,3;7;1,1;
181;Gewerbeschulstr. 34;1.025;566;8;558;305;54,7;162;29,0;35;6,3;31;5,6;16;2,9;3;0,5;0;0,0;6;1,1;
182;Meyerstr. 32;1.248;712;9;703;396;56,3;199;28,3;47;6,7;31;4,4;22;3,1;2;0,3;4;0,6;2;0,3;
183;Meyerstr. 32;1.272;779;14;765;429;56,1;221;28,9;46;6,0;39;5,1;18;2,4;4;0,5;3;0,4;5;0,7;
184;Heckinghauser Str. 195;1.273;771;11;760;447;58,8;190;25,0;60;7,9;31;4,1;18;2,4;8;1,1;2;0,3;4;0,5;
185;Auf der Bleiche 53;1.377;868;11;857;491;57,3;255;29,8;63;7,3;27;3,1;15;1,8;2;0,2;3;0,3;1;0,1;
186;Gosenburg 62;1.413;958;12;946;505;53,4;293;31,0;65;6,9;57;6,0;12;1,3;6;0,6;3;0,3;5;0,5;
187;Hammesberger Weg 26;962;610;1;609;327;53,7;186;30,5;47;7,7;35;5,8;7;1,1;2;0,3;4;0,7;1;0,2;
188;In der Fleute 129;1.272;785;14;771;422;54,7;235;30,5;72;9,3;20;2,6;13;1,7;6;0,8;1;0,1;2;0,3;
189;Spitzenstr. 20;1.432;864;11;853;467;54,8;258;30,2;66;7,7;40;4,7;8;0,9;2;0,2;3;0,3;9;1,1;
190;Leibuschstr. 37;828;489;11;478;259;54,2;164;34,3;23;4,8;15;3,1;13;2,7;0;0,0;3;0,6;1;0,2;
191;Heinrich-Böll-Straße 240;1.242;768;14;754;384;50,9;301;39,9;33;4,4;18;2,4;6;0,8;3;0,4;4;0,5;5;0,7;
192;Grundstr. 62;873;510;8;502;283;56,4;153;30,5;34;6,8;17;3,4;9;1,8;2;0,4;2;0,4;2;0,4;
193;Meininger Str. 71;1.399;878;9;869;495;57,0;275;31,6;51;5,9;22;2,5;12;1,4;4;0,5;5;0,6;5;0,6;
194;Heinrich-Böll-Straße 240;1.291;793;19;774;391;50,5;296;38,2;44;5,7;21;2,7;15;1,9;2;0,3;0;0,0;5;0,7;
195;Flexstr. 5;1.369;901;8;893;407;45,6;336;37,6;79;8,8;46;5,2;9;1,0;2;0,2;10;1,1;4;0,5;
196;Dieckerhoffstr. 6;1.415;958;9;949;462;48,7;354;37,3;67;7,1;45;4,7;12;1,3;3;0,3;3;0,3;3;0,3;
197;Hölkesöhde 22a;694;396;5;391;159;40,7;172;44,0;34;8,7;15;3,8;6;1,5;2;0,5;2;0,5;1;0,3;
198;Leibuschstr. 37;1.428;804;18;786;438;55,7;228;29,0;54;6,9;40;5,1;16;2,0;4;0,5;0;0,0;6;0,8;
199;Badische Str. 72;1.224;800;7;793;383;48,3;292;36,8;65;8,2;39;4,9;9;1,1;4;0,5;0;0,0;1;0,1;
200;Zu den Erbhöfen 45;1.011;692;5;687;347;50,5;237;34,5;46;6,7;35;5,1;8;1,2;1;0,1;9;1,3;4;0,6;
201;Steinhauser Str. 12;592;431;4;427;208;48,7;136;31,9;35;8,2;34;8,0;8;1,9;3;0,7;0;0,0;3;0,7;
202;Beyenburger Freiheit 49;433;285;0;285;117;41,0;139;48,8;9;3,2;11;3,9;2;0,7;3;1,1;2;0,7;2;0,7;
203;Siegelberg 40;1.099;781;10;771;323;41,9;329;42,7;57;7,4;42;5,5;10;1,3;4;0,5;2;0,3;4;0,5;
204;Sondern 21;777;530;5;525;250;47,6;195;37,1;35;6,7;25;4,8;10;1,9;3;0,6;0;0,0;7;1,3;
205;Frielinghausen 34;717;536;2;534;217;40,6;219;41,0;48;9,0;34;6,4;7;1,3;3;0,6;3;0,6;3;0,6;
206;Engelbert-Wüster-Weg 29;1.301;909;10;899;421;46,8;322;35,8;70;7,8;58;6,5;13;1,4;7;0,8;3;0,3;5;0,6;
207;Linde 26;733;536;1;535;226;42,2;231;43,2;42;7,8;29;5,4;3;0,6;3;0,6;1;0,2;0;0,0;
208;Kratzkopfstr. 23;1.305;827;9;818;397;48,5;299;36,5;49;6,0;51;6,2;12;1,5;0;0,0;4;0,5;6;0,7;
209;Mohrhennsfeld 19;700;475;7;468;176;37,6;240;51,3;21;4,5;6;1,3;11;2,4;4;0,8;6;1,3;4;0,8;
210;Mohrhennsfeld 39;874;563;13;550;246;44,7;254;46,2;20;3,6;9;1,6;15;2,7;4;0,7;1;0,2;1;0,2;
211;Kratzkopfstr. 23;1.257;831;11;820;442;53,9;253;30,9;55;6,7;41;5,0;16;1,9;4;0,5;1;0,1;8;1,0;
212;Marktstr. 21;933;632;4;628;304;48,4;226;36,0;46;7,3;34;5,4;10;1,6;0;0,0;3;0,5;5;0,8;
213;Scheidtstr. 36;1.063;708;3;705;311;44,1;255;36,2;54;7,7;59;8,4;13;1,8;5;0,7;5;0,7;3;0,4;
214;An der Blutfinke 70;1.085;742;6;736;341;46,3;258;35,0;61;8,3;58;7,9;6;0,8;1;0,1;6;0,8;5;0,7;
215;Kurfürstenstr. 13;1.071;736;5;731;371;50,8;253;34,6;48;6,6;38;5,2;12;1,6;3;0,4;0;0,0;6;0,8;
216;Remscheider Str. 50;1.192;808;10;798;345;43,2;322;40,4;55;6,9;44;5,5;16;2,0;6;0,8;0;0,0;10;1,2;
217;Schenkstr. 133;1.206;789;12;777;358;46,1;304;39,1;56;7,2;34;4,4;6;0,8;4;0,5;8;1,0;7;0,9;
218;Schenkstr. 135;1.168;812;9;803;373;46,5;284;35,4;67;8,3;55;6,8;13;1,6;5;0,6;2;0,2;4;0,5;
219;Echoer Str. 46;1.176;788;7;781;314;40,2;350;44,8;52;6,7;38;4,9;9;1,1;8;1,0;7;0,9;3;0,4;
220;Echoer Str. 46;980;694;12;682;305;44,7;261;38,3;62;9,1;41;6,0;5;0,7;0;0,0;2;0,3;6;0,9;
221;An der Blutfinke 70;1.173;788;10;778;337;43,3;297;38,2;51;6,6;72;9,2;16;2,1;2;0,3;3;0,4;0;0,0;
40101;BW-Bezirk Elberfeld-Mitte;x;1.239;1;1.238;588;47,5;435;35,1;95;7,7;78;6,3;22;1,8;16;1,3;1;0,1;3;0,2;
40202;BW-Bezirk Hombüchel;x;853;8;845;404;47,8;235;27,8;38;4,5;129;15,3;32;3,8;3;0,4;1;0,1;3;0,4;
40303;BW-Bezirk Höchsten;x;634;3;631;301;47,7;183;29,0;34;5,4;85;13,5;19;3,0;2;0,3;0;0,0;7;1,1;
40404;BW-Bezirk Ostersbaum;x;893;11;882;457;51,8;267;30,3;55;6,2;71;8,1;19;2,1;9;1,0;0;0,0;4;0,5;
40505;BW-Bezirk Grifflenberg 1;x;802;7;795;268;33,7;392;49,3;74;9,3;44;5,5;10;1,3;1;0,1;4;0,5;2;0,2;
