Bundestagswahl am 22. September 2002 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;PDS;;GRAUE;;PBC;;Schill;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

9;Hombüchel 80;1.307;774;13;761;432;56,8;190;25,0;41;5,4;60;7,9;19;2,5;6;0,8;4;0,5;9;1,2;
10;Schusterstr. 15;1.153;530;13;517;284;54,9;123;23,8;31;6,0;54;10,4;23;4,5;2;0,4;0;0,0;0;0,0;
11;Kolpingstr. 8;1.320;745;9;736;364;49,5;191;25,9;48;6,5;107;14,5;18;2,5;3;0,4;0;0,0;5;0,7;
12;Marienstr. 64;1.364;902;12;890;505;56,7;131;14,7;34;3,8;161;18,1;49;5,5;6;0,7;2;0,2;2;0,2;
13;Helmholtzstr. 40;1.194;783;16;767;454;59,2;148;19,3;35;4,6;81;10,6;36;4,7;3;0,4;3;0,4;7;0,9;
14;Schleswiger Str. 12;1.190;762;3;759;411;54,1;153;20,2;34;4,5;124;16,3;25;3,3;6;0,8;2;0,3;4;0,5;
15;Friedrichschulstr. 15;1.266;696;9;687;354;51,5;214;31,1;45;6,5;49;7,1;21;3,1;2;0,3;1;0,1;1;0,1;
16;Markomannenstr. 39;1.155;683;15;668;370;55,4;171;25,6;36;5,4;57;8,5;21;3,1;6;0,9;3;0,5;4;0,6;
17;Wiesenstr. 105;942;570;16;554;327;59,0;115;20,8;26;4,7;58;10,5;24;4,3;1;0,2;0;0,0;3;0,5;
18;Opphofer Str. 47;1.358;806;14;792;521;65,8;163;20,6;41;5,2;46;5,8;16;2,0;3;0,4;1;0,1;1;0,1;
19;Am Engelnberg 16;1.178;708;10;698;395;56,6;149;21,4;45;6,5;60;8,6;27;3,9;8;1,1;5;0,7;9;1,3;
20;Am Engelnberg 16;1.087;658;15;643;337;52,4;175;27,2;49;7,6;49;7,6;17;2,6;6;0,9;4;0,6;6;0,9;
21;Friedrich-Storck-Weg 22;1.145;656;7;649;354;54,5;174;26,8;45;6,9;43;6,6;16;2,5;7;1,1;3;0,5;7;1,1;
22;Else-Lasker-Schüler-Str. 30;1.251;709;9;700;353;50,4;220;31,4;42;6,0;51;7,3;22;3,1;3;0,4;5;0,7;4;0,6;
23;Platz der Republik 41;1.032;612;7;605;362;59,8;122;20,2;34;5,6;58;9,6;19;3,1;4;0,7;1;0,2;5;0,8;
24;Blankstr. 5;1.322;742;11;731;391;53,5;261;35,7;40;5,5;26;3,6;6;0,8;3;0,4;3;0,4;1;0,1;
25;Pfalzgrafenstr. 14;1.176;739;6;733;317;43,2;260;35,5;73;10,0;63;8,6;13;1,8;1;0,1;4;0,6;2;0,3;
26;Rainer-Grünter - Str. 21;1.235;785;8;777;310;39,9;325;41,8;54;7,0;67;8,6;13;1,7;2;0,3;3;0,4;3;0,4;
27;Cronenberger Str. 375;1.332;849;7;842;375;44,5;323;38,4;72;8,6;48;5,7;12;1,4;2;0,2;9;1,1;1;0,1;
28;Im Ostersiepen 25;929;488;6;482;238;49,4;134;27,8;47;9,8;49;10,2;9;1,9;1;0,2;1;0,2;3;0,6;
29;Cronenberger Str. 375;1.289;826;4;822;351;42,7;327;39,8;76;9,2;49;6,0;9;1,1;5;0,6;4;0,5;1;0,1;
30;Augustastr. 2;1.155;676;6;670;320;47,8;234;34,9;43;6,4;41;6,1;18;2,7;2;0,3;5;0,8;7;1,0;
31;Johannisberg 20;1.195;715;8;707;395;55,9;216;30,6;46;6,5;26;3,7;15;2,1;5;0,7;0;0,0;4;0,6;
32;Kölner Str. 4;1.256;793;17;776;431;55,5;229;29,5;48;6,2;40;5,2;23;3,0;1;0,1;1;0,1;3;0,4;
33;Reichsgrafenstr. 38;1.428;863;15;848;470;55,4;241;28,4;57;6,7;47;5,5;17;2,0;7;0,8;3;0,3;6;0,7;
34;Pfalzgrafenstr. 14;1.224;663;16;647;363;56,1;178;27,5;43;6,7;37;5,7;13;2,0;4;0,6;1;0,1;8;1,2;
35;Jung-Stilling-Weg 45;1.356;850;8;842;380;45,1;309;36,7;60;7,1;65;7,7;11;1,3;5;0,6;7;0,8;5;0,6;
36;Neviandtstr. 87;1.123;665;15;650;337;51,9;203;31,2;50;7,7;31;4,8;18;2,8;5;0,8;4;0,6;2;0,3;
37;Bayreuther Str. 35;1.269;843;9;834;367;44,0;298;35,7;69;8,3;80;9,6;11;1,3;6;0,7;3;0,4;0;0,0;
38;Briller Str. 117;1.369;824;7;817;365;44,7;285;34,9;85;10,4;67;8,2;8;1,0;6;0,7;0;0,0;1;0,1;
39;Viktoriastr. 21;1.207;779;6;773;331;42,8;246;31,8;78;10,1;88;11,4;22;2,9;5;0,7;1;0,1;2;0,3;
40;Bundesallee 30;1.066;601;11;590;326;55,2;148;25,1;36;6,1;55;9,3;15;2,5;6;1,0;0;0,0;4;0,7;
41;Simonsstr. 34;1.247;739;20;719;404;56,2;154;21,4;44;6,1;60;8,3;45;6,3;9;1,2;1;0,1;2;0,3;
42;Kyffhäuser Str. 98;1.419;966;5;961;588;61,2;263;27,4;56;5,8;30;3,1;13;1,4;6;0,6;2;0,2;3;0,3;
43;Stockmannsmühle 23;741;455;3;452;219;48,5;168;37,2;29;6,4;22;4,9;12;2,6;1;0,2;0;0,0;1;0,2;
44;Nützenberger Str. 242;1.309;726;12;714;382;53,5;194;27,2;50;7,0;51;7,1;24;3,4;5;0,7;3;0,4;5;0,7;
45;Donarstr. 2;1.291;862;8;854;472;55,3;248;29,0;50;5,8;59;6,9;13;1,5;4;0,5;2;0,2;6;0,7;
46;Donarstr. 2;1.302;838;8;830;402;48,4;286;34,5;65;7,8;58;7,0;9;1,1;5;0,6;1;0,1;4;0,5;
47;Lüntenbecker Weg 44;1.296;857;9;848;379;44,7;353;41,6;79;9,3;29;3,4;3;0,3;1;0,1;1;0,1;3;0,3;
48;Krummacherstr. 10;1.334;864;8;856;450;52,6;288;33,6;54;6,3;44;5,1;13;1,5;1;0,1;0;0,0;6;0,7;
49;Varresbecker Str. 83;1.233;699;9;690;358;51,9;223;32,3;52;7,5;38;5,5;10;1,4;5;0,7;2;0,3;2;0,3;
50;Sillerstr. 13;1.440;947;14;933;555;59,5;263;28,2;61;6,5;25;2,7;12;1,3;8;0,9;1;0,1;8;0,9;
51;Garterlaie 29;1.230;675;18;657;341;51,9;210;32,0;46;7,0;33;5,0;13;2,0;3;0,5;3;0,5;8;1,2;
52;Unten Vorm Steeg 1;1.068;726;4;722;309;42,8;314;43,5;50;6,9;35;4,8;8;1,1;4;0,6;1;0,1;1;0,1;
53;Am Dönberg 46;1.419;1.067;6;1.061;457;43,1;447;42,1;87;8,2;54;5,1;6;0,6;3;0,3;5;0,5;2;0,2;
54;Höhenstr. 25;1.371;934;8;926;362;39,1;415;44,8;59;6,4;67;7,2;9;1,0;7;0,8;3;0,3;4;0,4;
55;Höhenstr. 56;1.346;943;10;933;377;40,4;420;45,0;78;8,4;40;4,3;7;0,8;3;0,3;1;0,1;7;0,8;
56;Kurt-Schumacher-Str. 130;895;571;8;563;233;41,4;249;44,2;44;7,8;24;4,3;6;1,1;3;0,5;1;0,2;3;0,5;
57;Kurt-Schumacher-Str. 130;1.045;636;11;625;273;43,7;259;41,4;45;7,2;29;4,6;9;1,4;2;0,3;0;0,0;8;1,3;
58;Uellendahler Str. 540;1.127;720;6;714;334;46,8;268;37,5;62;8,7;21;2,9;16;2,2;6;0,8;3;0,4;4;0,6;
59;Röttgen 110;1.098;692;7;685;338;49,3;255;37,2;53;7,7;15;2,2;18;2,6;3;0,4;0;0,0;3;0,4;
60;Röttgen 110;697;441;6;435;190;43,7;183;42,1;24;5,5;22;5,1;3;0,7;5;1,1;3;0,7;5;1,1;
61;Röttgen 110;1.305;736;10;726;321;44,2;281;38,7;75;10,3;34;4,7;8;1,1;2;0,3;1;0,1;4;0,6;
62;Uellendahler Str. 400;898;597;6;591;319;54,0;190;32,1;45;7,6;20;3,4;7;1,2;3;0,5;2;0,3;5;0,8;
63;Kohlstr. 122;1.428;887;20;867;479;55,2;278;32,1;60;6,9;28;3,2;9;1,0;6;0,7;1;0,1;6;0,7;
64;Leipziger Str. 1;1.362;876;13;863;423;49,0;322;37,3;50;5,8;40;4,6;11;1,3;9;1,0;3;0,3;5;0,6;
65;Kohlstr. 11;1.139;615;8;607;336;55,4;161;26,5;46;7,6;40;6,6;8;1,3;11;1,8;1;0,2;4;0,7;
66;Am Mirker Bach 1;951;563;6;557;277;49,7;193;34,6;35;6,3;35;6,3;11;2,0;0;0,0;0;0,0;6;1,1;
67;Vogelsangstr. 50;1.249;772;16;756;392;51,9;221;29,2;63;8,3;56;7,4;14;1,9;4;0,5;0;0,0;6;0,8;
68;Hainstr. 192;1.324;944;16;928;403;43,4;364;39,2;89;9,6;42;4,5;16;1,7;8;0,9;0;0,0;6;0,7;
69;Kruppstr. 139;1.286;768;14;754;343;45,5;278;36,9;56;7,4;48;6,4;21;2,8;4;0,5;1;0,1;3;0,4;
70;Birkenhöhe 60;1.169;752;4;748;292;39,0;315;42,1;75;10,0;54;7,2;7;0,9;1;0,1;4;0,5;0;0,0;
71;Hainstr. 192;1.296;860;11;849;361;42,5;332;39,1;89;10,5;56;6,6;3;0,3;4;0,5;2;0,2;2;0,2;
72;Birkenhöhe 60;1.112;759;5;754;355;47,1;281;37,3;61;8,1;46;6,1;6;0,8;1;0,1;0;0,0;4;0,5;
73;In den Birken 56;1.187;702;10;692;262;37,9;310;44,8;79;11,4;31;4,5;5;0,7;4;0,6;1;0,1;0;0,0;
74;Kruppstr. 139;840;584;11;573;247;43,1;196;34,2;75;13,1;36;6,3;10;1,8;4;0,7;3;0,5;2;0,3;
75;Kruppstr. 139;938;561;9;552;249;45,1;201;36,4;34;6,2;40;7,2;15;2,7;3;0,5;5;0,9;5;0,9;
76;Bayreuther Str. 35;1.014;690;5;685;309;45,1;236;34,5;72;10,5;51;7,5;10;1,5;2;0,3;1;0,1;4;0,6;
77;Pahlkestr. 250;928;644;1;643;203;31,6;343;53,3;63;9,8;27;4,2;2;0,3;2;0,3;2;0,3;1;0,2;
78;Birkenhöhe 60;1.257;874;4;870;367;42,2;352;40,5;77;8,8;58;6,7;9;1,0;4;0,5;1;0,1;2;0,2;
79;Birkenhöhe 60;1.149;744;12;732;376;51,4;230;31,4;67;9,2;37;5,0;11;1,5;4;0,6;3;0,4;4;0,6;
80;Lessingstr. 18;1.275;863;18;845;489;57,9;246;29,1;48;5,7;34;4,0;17;2,0;6;0,7;1;0,1;4;0,5;
81;Yorckstr. 28;1.391;851;6;845;400;47,3;292;34,6;65;7,7;58;6,9;17;2,0;11;1,3;0;0,0;2;0,2;
82;Ehrenhainstr. 119;1.313;869;9;860;432;50,2;314;36,5;46;5,3;40;4,7;15;1,7;9;1,1;2;0,2;2;0,2;
83;Brucher Str. 10;1.287;808;9;799;396;49,6;253;31,7;66;8,3;58;7,3;15;1,9;2;0,2;2;0,2;7;0,9;
84;Brucher Str. 10;1.084;723;17;706;414;58,6;182;25,8;55;7,8;33;4,7;9;1,3;4;0,6;5;0,7;4;0,6;
85;Blücherstr. 19;1.375;815;15;800;451;56,4;235;29,4;50;6,2;41;5,1;12;1,5;5;0,6;2;0,2;4;0,5;
86;Gebhardtstr. 16;1.023;690;8;682;337;49,4;221;32,4;50;7,3;52;7,6;8;1,2;5;0,7;2;0,3;7;1,0;
87;Schlüssel 2;1.353;920;7;913;450;49,3;351;38,4;55;6,0;36;3,9;10;1,1;6;0,7;2;0,2;3;0,3;
88;Ehrenhainstr. 119;1.186;782;13;769;363;47,2;323;42,0;28;3,6;34;4,4;14;1,8;3;0,4;2;0,3;2;0,3;
89;Elfenhang 4;1.435;894;17;877;417;47,5;319;36,4;59;6,7;45;5,1;20;2,3;6;0,7;4;0,5;7;0,8;
90;Ludgerweg 15;1.372;940;11;929;463;49,8;341;36,7;62;6,7;47;5,1;10;1,1;3;0,3;2;0,2;1;0,1;
91;Radenberg 12;1.191;917;8;909;433;47,6;354;38,9;70;7,7;33;3,6;12;1,3;4;0,4;1;0,1;2;0,2;
92;Heuweg 20;825;614;8;606;350;57,8;157;25,9;42;6,9;42;6,9;8;1,3;5;0,8;0;0,0;2;0,3;
