Bundestagswahl am 3. Oktober 1976 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;AVP;;DKP;;NPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

420;BW-Bezirk Wahlkreis 70-Teilergebnis 2;x;694;3;691;231;33,4;365;52,8;89;12,9;0;0,0;3;0,4;3;0,4;
421;BW-Bezirk Wahlkreis 70-Teilergebnis 3;x;676;2;674;297;44,1;312;46,3;58;8,6;0;0,0;5;0,7;2;0,3;
422;BW-Bezirk Wahlkreis 70-Teilergebnis 4;x;744;4;740;300;40,5;392;53,0;45;6,1;0;0,0;1;0,1;2;0,3;
423;BW-Bezirk Wahlkreis 70-Teilergebnis 5;x;672;0;672;227;33,8;367;54,6;64;9,5;0;0,0;12;1,8;2;0,3;
424;BW-Bezirk Wahlkreis 70-Teilergebnis 6;x;677;4;673;312;46,4;304;45,2;50;7,4;0;0,0;7;1,0;0;0,0;
425;BW-Bezirk Wahlkreis 70-Teilergebnis 7;x;626;0;626;298;47,6;268;42,8;48;7,7;0;0,0;11;1,8;1;0,2;
426;BW-Bezirk Wahlkreis 70-Teilergebnis 8;x;713;8;705;275;39,0;357;50,6;63;8,9;1;0,1;8;1,1;1;0,1;
427;BW-Bezirk Wahlkreis 70-Teilergebnis 9;x;746;7;739;295;39,9;390;52,8;46;6,2;3;0,4;5;0,7;0;0,0;
428;BW-Bezirk Wahlkreis 70-Teilergebnis 10;x;708;3;705;293;41,6;336;47,7;74;10,5;0;0,0;1;0,1;1;0,1;
429;BW-Bezirk Wahlkreis 70-Teilergebnis 11;x;1.139;8;1.131;447;39,5;562;49,7;104;9,2;1;0,1;14;1,2;3;0,3;
430;BW-Bezirk Wahlkreis 70-Teilergebnis 12;x;515;2;513;241;47,0;225;43,9;42;8,2;0;0,0;5;1,0;0;0,0;
431;BW-Bezirk Wahlkreis 70-Teilergebnis 13;x;732;5;727;303;41,7;346;47,6;63;8,7;0;0,0;12;1,6;3;0,4;
432;BW-Bezirk Wahlkreis 70-Teilergebnis 14;x;560;1;559;239;42,8;265;47,4;47;8,4;0;0,0;5;0,9;3;0,5;
433;BW-Bezirk Wahlkreis 70-Teilergebnis 15;x;603;2;601;289;48,1;253;42,1;51;8,5;0;0,0;7;1,2;1;0,2;
434;BW-Bezirk Wahlkreis 70-Teilergebnis 16;x;524;1;523;210;40,1;254;48,6;49;9,4;5;1,0;4;0,8;1;0,2;
435;BW-Bezirk Wahlkreis 70-Teilergebnis 17;x;638;1;637;294;46,1;279;43,8;58;9,1;2;0,3;4;0,6;0;0,0;
436;BW-Bezirk Wahlkreis 70-Teilergebnis 18;x;747;0;747;282;37,8;398;53,3;60;8,0;1;0,1;3;0,4;3;0,4;
437;BW-Bezirk Wahlkreis 70-Teilergebnis 19;x;472;1;471;221;46,9;222;47,1;25;5,3;0;0,0;3;0,6;0;0,0;
438;BW-Bezirk Wahlkreis 70-Teilergebnis 20;x;631;4;627;289;46,1;280;44,7;51;8,1;1;0,2;5;0,8;1;0,2;
439;BW-Bezirk Wahlkreis 70-Teilergebnis 21;x;634;0;634;253;39,9;334;52,7;44;6,9;0;0,0;2;0,3;1;0,2;
440;BW-Bezirk Wahlkreis 70-Teilergebnis 22;x;784;1;783;332;42,4;378;48,3;68;8,7;1;0,1;4;0,5;0;0,0;
441;BW-Bezirk Wahlkreis 70-Teilergebnis 23;x;792;5;787;342;43,5;380;48,3;56;7,1;0;0,0;7;0,9;2;0,2;
Ingesamt;;290.911;262.252;1.512;260.740;118.709;45,5;105.483;40,5;34.017;13,1;90;0,0;1.766;0,7;675;0,3;
