Bundestagswahl am 3. Oktober 1976 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;AVP;;DKP;;NPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

98;Hufschmiedstr. 5;699;557;6;551;362;65,7;126;22,9;57;10,3;0;0,0;4;0,7;2;0,4;
99;Marienstr. 64;785;630;4;626;319;51,0;218;34,8;83;13,3;0;0,0;5;0,8;1;0,2;
100;Marienstr. 64;957;765;8;757;417;55,1;220;29,1;115;15,2;0;0,0;3;0,4;2;0,3;
101;Marienstr. 64;789;602;4;598;352;58,9;154;25,8;89;14,9;0;0,0;2;0,3;1;0,2;
102;Gertrudenstr. 20;628;365;1;364;217;59,6;105;28,9;35;9,6;0;0,0;4;1,1;3;0,8;
103;Gertrudenstr. 20;737;563;3;560;267;47,7;196;35,0;85;15,2;0;0,0;8;1,4;4;0,7;
104;Hombüchel 80;949;752;2;750;400;53,3;232;30,9;112;14,9;0;0,0;4;0,5;2;0,3;
105;Hombüchel 80;965;707;5;702;320;45,6;266;37,9;113;16,1;0;0,0;3;0,4;0;0,0;
106;Friedrichschulstr. 15;724;579;8;571;248;43,4;222;38,9;96;16,8;0;0,0;5;0,9;0;0,0;
107;Friedrichschulstr. 15;771;590;4;586;256;43,7;220;37,5;96;16,4;0;0,0;10;1,7;4;0,7;
108;Markomannenstr. 39;1.038;821;3;818;414;50,6;290;35,5;108;13,2;0;0,0;4;0,5;2;0,2;
109;Markomannenstr. 39;749;568;5;563;301;53,5;152;27,0;101;17,9;0;0,0;8;1,4;1;0,2;
110;Neue Friedrichstr. 19;518;380;1;379;192;50,7;120;31,7;61;16,1;0;0,0;3;0,8;3;0,8;
111;Neue Friedrichstr. 19;492;373;6;367;181;49,3;126;34,3;58;15,8;0;0,0;1;0,3;1;0,3;
112;Malerstr. 11;840;645;4;641;321;50,1;206;32,1;104;16,2;0;0,0;9;1,4;1;0,2;
113;Wiesenstr. 105;647;506;3;503;301;59,8;125;24,9;75;14,9;0;0,0;2;0,4;0;0,0;
114;Helmholtzstr. 40;740;549;9;540;248;45,9;198;36,7;83;15,4;0;0,0;8;1,5;3;0,6;
115;Schleswiger Str. 12;632;494;4;490;214;43,7;190;38,8;81;16,5;0;0,0;4;0,8;1;0,2;
116;Am Mirker Bach 1;602;478;2;476;202;42,4;197;41,4;72;15,1;0;0,0;3;0,6;2;0,4;
117;Opphofer Str. 47;881;689;14;675;366;54,2;198;29,3;99;14,7;0;0,0;9;1,3;3;0,4;
118;Opphofer Str. 47;1.065;856;6;850;472;55,5;270;31,8;104;12,2;0;0,0;4;0,5;0;0,0;
119;Am Engelnberg 16;850;681;7;674;350;51,9;212;31,4;106;15,7;0;0,0;5;0,7;1;0,1;
120;Am Engelnberg 16;466;355;2;353;194;55,0;98;27,8;56;15,9;0;0,0;3;0,8;2;0,6;
121;Am Engelnberg 16;1.026;828;4;824;423;51,3;290;35,2;105;12,7;0;0,0;6;0,7;0;0,0;
122;Am Engelnberg 16;1.212;957;3;954;434;45,5;354;37,1;160;16,8;0;0,0;4;0,4;2;0,2;
123;Platz der Republik 41;931;758;6;752;386;51,3;244;32,5;116;15,4;0;0,0;5;0,7;1;0,1;
124;Platz der Republik 41;856;691;8;683;379;55,5;220;32,2;78;11,4;0;0,0;5;0,7;1;0,1;
125;Else-Lasker-Schüler-Str. 30;1.003;766;7;759;327;43,1;294;38,7;124;16,3;0;0,0;12;1,6;2;0,3;
126;Döppersberg 36;974;767;4;763;354;46,4;277;36,3;123;16,1;0;0,0;4;0,5;5;0,7;
127;Distelbeck 7;1.202;952;3;949;394;41,5;363;38,2;184;19,4;0;0,0;6;0,6;2;0,2;
128;Distelbeck 7;1.056;853;3;850;352;41,4;331;38,9;158;18,6;0;0,0;8;0,9;1;0,1;
129;Distelbeck 7;1.202;959;5;954;454;47,6;315;33,0;177;18,6;0;0,0;5;0,5;3;0,3;
130;Distelbeck 7;1.128;876;8;868;357;41,1;345;39,8;161;18,6;0;0,0;4;0,5;1;0,1;
131;Döppersberg 36;1.027;810;4;806;344;42,7;348;43,2;111;13,8;0;0,0;2;0,2;1;0,1;
132;Döppersberg 36;812;640;3;637;295;46,3;217;34,1;121;19,0;0;0,0;3;0,5;1;0,2;
133;Distelbeck 7;1.186;709;3;706;251;35,5;295;41,8;156;22,1;0;0,0;4;0,6;0;0,0;
134;Fuhlrottstr. 10;943;708;1;707;187;26,4;379;53,6;141;19,9;0;0,0;0;0,0;0;0,0;
135;Fuhlrottstr. 10;847;628;5;623;129;20,7;381;61,2;111;17,8;0;0,0;2;0,3;0;0,0;
136;Fuhlrottstr. 10;577;460;3;457;157;34,4;224;49,0;74;16,2;0;0,0;1;0,2;1;0,2;
137;Fuhlrottstr. 10;1.449;1.131;2;1.129;389;34,5;491;43,5;244;21,6;0;0,0;1;0,1;4;0,3;
138;Cronenberger Str. 375;736;590;3;587;201;34,2;283;48,2;96;16,4;0;0,0;5;0,8;2;0,3;
