Bundestagswahl am 16. Oktober 1994 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;GRÜNE;;PDS;;REP;;PDS;;GRAUE;;MLPD;;STATT Partei;;Dürschmidt, Einzellbewerber;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

223;Haselrain 38;1.156;782;26;756;374;49,5;307;40,6;17;2,2;32;4,2;14;1,9;5;0,7;5;0,7;0;0,0;2;0,3;0;0,0;x;0,0;
224;Gewerbeschulstr. 109;1.164;711;17;694;406;58,5;223;32,1;10;1,4;29;4,2;13;1,9;2;0,3;9;1,3;0;0,0;2;0,3;0;0,0;x;0,0;
225;Gewerbeschulstr. 109;906;577;20;557;314;56,4;166;29,8;11;2,0;34;6,1;17;3,0;7;1,3;5;0,9;0;0,0;3;0,5;0;0,0;x;0,0;
226;Obere Sehlhofstr. 47;1.105;772;16;756;386;51,1;252;33,3;31;4,1;49;6,5;17;2,2;11;1,5;4;0,5;0;0,0;6;0,8;0;0,0;x;0,0;
227;Obere Sehlhofstr. 47;986;691;7;684;321;46,9;269;39,3;21;3,1;47;6,9;13;1,9;5;0,7;4;0,6;0;0,0;4;0,6;0;0,0;x;0,0;
228;Meyerstr. 32;990;641;17;624;256;41,0;271;43,4;21;3,4;48;7,7;13;2,1;2;0,3;9;1,4;0;0,0;4;0,6;0;0,0;x;0,0;
229;Schubertstr. 41;708;492;6;486;184;37,9;237;48,8;20;4,1;28;5,8;7;1,4;3;0,6;5;1,0;0;0,0;2;0,4;0;0,0;x;0,0;
230;Schubertstr. 41;730;506;5;501;125;24,9;306;61,1;36;7,2;23;4,6;5;1,0;1;0,2;3;0,6;0;0,0;2;0,4;0;0,0;x;0,0;
231;Berg-Mark-Str. 5;929;624;10;614;246;40,1;277;45,1;23;3,8;55;9,0;1;0,2;6;1,0;6;1,0;0;0,0;0;0,0;0;0,0;x;0,0;
232;Gewerbeschulstr. 34;1.164;792;19;773;398;51,5;259;33,5;25;3,2;58;7,5;15;1,9;7;0,9;6;0,8;0;0,0;5;0,7;0;0,0;x;0,0;
233;Meyerstr. 32;1.222;807;26;781;449;57,5;240;30,7;24;3,1;43;5,5;14;1,8;3;0,4;5;0,6;0;0,0;3;0,4;0;0,0;x;0,0;
234;Meyerstr. 32;1.175;822;21;801;441;55,1;252;31,5;30;3,8;43;5,4;21;2,6;5;0,6;4;0,5;0;0,0;5;0,6;0;0,0;x;0,0;
235;Kleestr. 70;1.162;842;24;818;456;55,8;245;29,9;22;2,7;50;6,1;24;2,9;9;1,1;10;1,2;0;0,0;2;0,2;0;0,0;x;0,0;
236;Ackerstr. 7;1.051;703;11;692;404;58,4;187;27,0;19;2,8;58;8,4;7;1,0;8;1,2;7;1,0;0;0,0;2;0,3;0;0,0;x;0,0;
237;Heckinghauser Str. 195;872;556;9;547;313;57,2;171;31,3;16;2,9;18;3,3;16;2,9;7;1,3;5;0,9;0;0,0;1;0,2;0;0,0;x;0,0;
238;Heckinghauser Str. 222;878;638;8;630;311;49,4;226;35,9;12;1,9;49;7,8;18;2,9;2;0,3;7;1,1;0;0,0;5;0,8;0;0,0;x;0,0;
239;Gosenburg 88;682;454;11;443;221;49,9;164;37,0;19;4,3;25;5,6;5;1,1;4;0,9;4;0,9;0;0,0;1;0,2;0;0,0;x;0,0;
240;Hammesberger Weg 26;755;534;12;522;248;47,5;198;37,9;22;4,2;32;6,1;8;1,5;5;1,0;6;1,1;0;0,0;3;0,6;0;0,0;x;0,0;
241;Konradswüste 10;257;192;1;191;82;42,9;79;41,4;11;5,8;18;9,4;1;0,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;x;0,0;
242;In der Fleute 129;760;533;11;522;342;65,5;130;24,9;14;2,7;15;2,9;11;2,1;2;0,4;7;1,3;0;0,0;1;0,2;0;0,0;x;0,0;
243;Flexstr. 5;987;682;11;671;336;50,1;260;38,8;32;4,8;27;4,0;9;1,3;4;0,6;1;0,1;0;0,0;2;0,3;0;0,0;x;0,0;
244;Windthorststr. 7;1.083;798;12;786;367;46,7;334;42,5;22;2,8;44;5,6;11;1,4;5;0,6;2;0,2;0;0,0;1;0,1;0;0,0;x;0,0;
245;Dieckerhoffstr. 6;1.145;858;12;846;410;48,5;302;35,7;50;5,9;57;6,7;13;1,5;11;1,3;2;0,2;0;0,0;1;0,1;0;0,0;x;0,0;
246;Schwelmer Str. 15;1.131;762;12;750;394;52,5;270;36,0;19;2,5;34;4,5;22;2,9;4;0,5;4;0,5;0;0,0;3;0,4;0;0,0;x;0,0;
247;Schwelmer Str. 15;1.199;825;21;804;413;51,4;289;36,0;28;3,5;41;5,1;13;1,6;10;1,2;7;0,9;0;0,0;3;0,4;0;0,0;x;0,0;
248;Klippe 21;565;356;15;341;195;57,2;103;30,2;7;2,0;18;5,3;7;2,0;2;0,6;7;2,0;0;0,0;2;0,6;0;0,0;x;0,0;
249;Am Werloh 2;656;461;7;454;276;60,8;127;28,0;16;3,5;24;5,3;5;1,1;1;0,2;4;0,9;0;0,0;1;0,2;0;0,0;x;0,0;
250;Heinrich-Böll-Straße 250;567;408;11;397;209;52,6;138;34,8;6;1,5;18;4,5;14;3,5;1;0,2;8;2,0;0;0,0;3;0,8;0;0,0;x;0,0;
251;Grundstr. 62;411;288;13;275;135;49,1;111;40,4;7;2,5;12;4,4;8;2,9;1;0,4;1;0,4;0;0,0;0;0,0;0;0,0;x;0,0;
252;Meininger Str. 71;836;599;16;583;312;53,5;197;33,8;18;3,1;32;5,5;18;3,1;0;0,0;6;1,0;0;0,0;0;0,0;0;0,0;x;0,0;
253;Mercklinghausstr. 11;1.247;769;14;755;424;56,2;231;30,6;21;2,8;38;5,0;19;2,5;6;0,8;12;1,6;0;0,0;4;0,5;0;0,0;x;0,0;
254;Heinrich-Böll-Straße 250;1.045;711;24;687;365;53,1;260;37,9;15;2,2;19;2,8;21;3,1;3;0,4;4;0,6;0;0,0;0;0,0;0;0,0;x;0,0;
255;Heinrich-Böll-Straße 250;826;537;17;520;259;49,8;204;39,2;12;2,3;17;3,3;18;3,5;5;1,0;3;0,6;0;0,0;2;0,4;0;0,0;x;0,0;
256;Hölkesöhde 22 a;784;557;19;538;214;39,8;268;49,8;14;2,6;26;4,8;8;1,5;6;1,1;2;0,4;0;0,0;0;0,0;0;0,0;x;0,0;
257;Ehrenberger Str. 112;513;396;8;388;129;33,2;192;49,5;23;5,9;36;9,3;4;1,0;1;0,3;3;0,8;0;0,0;0;0,0;0;0,0;x;0,0;
258;Klippe 21;880;556;10;546;302;55,3;149;27,3;23;4,2;33;6,0;20;3,7;4;0,7;13;2,4;0;0,0;2;0,4;0;0,0;x;0,0;
259;Badische Str. 72;1.348;942;13;929;415;44,7;398;42,8;33;3,5;42;4,5;22;2,4;6;0,7;9;1,0;0;0,0;4;0,4;0;0,0;x;0,0;
260;Zu den Erbhöfen 45;437;323;8;315;138;43,8;131;41,6;13;4,1;25;7,9;5;1,6;1;0,3;1;0,3;0;0,0;1;0,3;0;0,0;x;0,0;
261;Zu den Erbhöfen 53;642;474;3;471;195;41,4;188;39,9;27;5,7;35;7,4;13;2,8;2;0,4;6;1,3;0;0,0;5;1,1;0;0,0;x;0,0;
262;Am Kriegermal 22;587;426;4;422;208;49,3;161;38,1;13;3,1;31;7,3;7;1,7;1;0,2;0;0,0;0;0,0;1;0,2;0;0,0;x;0,0;
263;Beyenburger Freiheit 49;449;354;6;348;119;34,2;194;55,8;14;4,0;19;5,5;0;0,0;1;0,3;1;0,3;0;0,0;0;0,0;0;0,0;x;0,0;
264;Siegelberg 40;1.062;866;14;852;316;37,1;421;49,4;51;6,0;50;5,9;4;0,5;4;0,5;3;0,3;0;0,0;3;0,3;0;0,0;x;0,0;
265;Sondern 21;574;442;10;432;196;45,4;174;40,3;15;3,5;28;6,5;11;2,5;3;0,7;5;1,2;0;0,0;0;0,0;0;0,0;x;0,0;
266;Herbringhausen 73;245;199;3;196;64;32,6;109;55,6;6;3,1;11;5,6;1;0,5;3;1,5;1;0,5;0;0,0;1;0,5;0;0,0;x;0,0;
267;Frielinghausen 34;660;454;8;446;188;42,1;195;43,7;19;4,3;29;6,5;8;1,8;5;1,1;1;0,2;0;0,0;1;0,2;0;0,0;x;0,0;
268;Engelbert-Wüster-Weg 29;1.228;903;14;889;403;45,3;357;40,2;32;3,6;59;6,6;17;1,9;12;1,4;8;0,9;0;0,0;1;0,1;0;0,0;x;0,0;
269;Linde 26;652;497;9;488;219;44,9;213;43,6;17;3,5;30;6,2;4;0,8;2;0,4;2;0,4;0;0,0;1;0,2;0;0,0;x;0,0;
270;Kratzkopfstr. 23;1.142;821;11;810;349;43,1;349;43,1;30;3,7;55;6,8;10;1,2;8;1,0;6;0,7;0;0,0;3;0,4;0;0,0;x;0,0;
271;Kellersfeld 12;760;563;9;554;229;41,3;265;47,8;10;1,8;21;3,8;18;3,2;5;0,9;4;0,7;0;0,0;2;0,4;0;0,0;x;0,0;
272;Mohrhennsfeld 37;1.071;756;37;719;349;48,5;307;42,7;14;1,9;18;2,5;17;2,4;7;1,0;5;0,7;0;0,0;2;0,3;0;0,0;x;0,0;
273;Kratzkopfstr. 23;1.251;936;16;920;473;51,4;311;33,8;33;3,6;67;7,3;18;2,0;10;1,1;6;0,7;0;0,0;2;0,2;0;0,0;x;0,0;
274;Marktstr. 21;940;658;17;641;323;50,4;229;35,7;30;4,7;41;6,4;5;0,8;6;0,9;5;0,8;0;0,0;2;0,3;0;0,0;x;0,0;
275;Scheidtstr. 36;1.236;932;16;916;433;47,3;357;39,0;38;4,2;68;7,4;8;0,9;5;0,6;4;0,4;0;0,0;3;0,3;0;0,0;x;0,0;
276;Holthauser Str. 23;1.169;886;14;872;386;44,3;364;41,7;36;4,1;60;6,9;9;1,0;11;1,3;6;0,7;0;0,0;0;0,0;0;0,0;x;0,0;
277;Elias-Eller-Str. 48;1.157;840;12;828;457;55,2;276;33,3;20;2,4;45;5,4;20;2,4;3;0,4;7;0,8;0;0,0;0;0,0;0;0,0;x;0,0;
278;Remscheider Str. 50;1.198;875;19;856;374;43,7;361;42,2;30;3,5;61;7,1;14;1,6;11;1,3;3;0,3;0;0,0;2;0,2;0;0,0;x;0,0;
279;Ferdinand-Lassalle-Str. 30;1.230;811;12;799;359;44,9;334;41,8;32;4,0;46;5,8;9;1,1;8;1,0;10;1,2;0;0,0;1;0,1;0;0,0;x;0,0;
280;Remscheider Str. 50;1.322;897;21;876;402;45,9;361;41,2;26;3,0;52;5,9;22;2,5;3;0,3;6;0,7;0;0,0;4;0,5;0;0,0;x;0,0;
281;Echoer Str. 46;1.157;888;22;866;367;42,4;377;43,5;35;4,0;65;7,5;9;1,0;1;0,1;10;1,1;0;0,0;2;0,2;0;0,0;x;0,0;
282;Echoer Str. 46;1.047;829;19;810;330;40,7;348;43,0;34;4,2;70;8,6;11;1,4;7;0,9;8;1,0;0;0,0;2;0,2;0;0,0;x;0,0;
283;Im Vogelsholz 21;1.245;922;12;910;377;41,4;405;44,5;37;4,1;67;7,4;10;1,1;7;0,8;6;0,7;0;0,0;1;0,1;0;0,0;x;0,0;
401;BW-Bezirk Elberfeld-Mitte;x;1.065;6;1.059;442;41,7;381;36,0;81;7,7;99;9,3;10;0,9;17;1,6;21;2,0;0;0,0;3;0,3;5;0,5;x;0,0;
402;BW-Bezirk Hombüchel;x;757;9;748;354;47,3;208;27,8;48;6,4;95;12,7;9;1,2;19;2,5;8;1,1;0;0,0;6;0,8;1;0,1;x;0,0;
403;BW-Bezirk Höchsten;x;567;4;563;246;43,7;148;26,3;32;5,7;87;15,4;18;3,2;15;2,7;8;1,4;3;0,5;2;0,4;4;0,7;x;0,0;
404;BW-Bezirk Ostersbaum;x;656;5;651;324;49,8;210;32,3;41;6,3;44;6,8;10;1,5;10;1,5;5;0,8;1;0,1;6;0,9;0;0,0;x;0,0;
405;BW-Bezirk Grifflenberg;x;1.659;4;1.655;567;34,3;779;47,1;156;9,4;96;5,8;8;0,5;14;0,8;24;1,4;0;0,0;6;0,4;5;0,3;x;0,0;
406;BW-Bezirk Friedrichsberg;x;1.013;8;1.005;472;47,0;359;35,7;66;6,6;55;5,5;11;1,1;9;0,9;24;2,4;1;0,1;5;0,5;3;0,3;x;0,0;
411;BW-Bezirk Brill-Arrenberg;x;846;0;846;288;34,0;333;39,4;95;11,2;91;10,8;6;0,7;9;1,1;14;1,6;0;0,0;8;0,9;2;0,2;x;0,0;
412;BW-Bezirk Nützenberg-Zoo;x;785;10;775;312;40,3;318;41,0;69;8,9;39;5,0;11;1,4;5;0,7;13;1,7;0;0,0;3;0,4;5;0,7;x;0,0;
413;BW-Bezirk Sonnborn-Varresbeck;x;974;1;973;342;35,1;410;42,1;129;13,3;44;4,5;12;1,2;6;0,6;14;1,4;0;0,0;9;0,9;7;0,7;x;0,0;
421;BW-Bezirk Uellendahl-Ost;x;1.508;10;1.498;505;33,7;687;45,9;161;10,8;76;5,1;18;1,2;16;1,1;22;1,5;0;0,0;8;0,5;5;0,3;x;0,0;
422;BW-Bezirk Uellendahl-West;x;1.190;6;1.184;463;39,1;525;44,3;94;7,9;53;4,5;14;1,2;13;1,1;14;1,2;0;0,0;5;0,4;3;0,2;x;0,0;
423;BW-Bezirk Katernberg;x;1.559;4;1.555;438;28,2;791;50,9;171;11,0;92;5,9;15;1,0;11;0,7;23;1,5;0;0,0;5;0,3;9;0,6;x;0,0;
431;BW-Bezirk Vohwinkel-Ost;x;889;3;886;354;40,0;362;40,9;65;7,3;71;8,0;6;0,7;7;0,8;10;1,1;0;0,0;10;1,1;1;0,1;x;0,0;
432;BW-Bezirk Vohwinkel-West;x;681;5;676;281;41,6;268;39,6;59;8,7;41;6,1;11;1,6;3;0,4;5;0,7;0;0,0;6;0,9;2;0,3;x;0,0;
433;BW-Bezirk Vohwinkel-Nord;x;713;3;710;345;48,6;229;32,2;51;7,2;40;5,6;15;2,1;7;1,0;15;2,1;0;0,0;1;0,1;7;1,0;x;0,0;
441;BW-Bezirk Cronenberg-Süd;x;1.011;4;1.007;395;39,2;423;42,0;95;9,4;71;7,0;9;0,9;0;0,0;7;0,7;0;0,0;3;0,3;4;0,4;x;0,0;
442;BW-Bezirk Cronenberg-Nord;x;963;8;955;335;35,1;441;46,2;98;10,3;54;5,7;5;0,5;9;0,9;8;0,8;0;0,0;3;0,3;2;0,2;x;0,0;
451;BW-Bezirk Barmen-Mitte;x;891;9;882;393;44,6;366;41,5;26;3,0;52;5,9;9;1,0;6;0,7;24;2,7;0;0,0;6;0,7;0;0,0;x;0,0;
452;BW-Bezirk Sedansberg;x;688;0;688;307;44,6;243;35,3;38;5,5;57;8,3;16;2,3;9;1,3;14;2,0;0;0,0;4;0,6;0;0,0;x;0,0;
453;BW-Bezirk Loh;x;881;5;876;379;43,3;337;38,5;43;4,9;77;8,8;15;1,7;11;1,3;12;1,4;0;0,0;2;0,2;0;0,0;x;0,0;
454;BW-Bezirk Unterbarmen-Clausen;x;880;4;876;358;40,9;330;37,7;54;6,2;104;11,9;7;0,8;10;1,1;10;1,1;0;0,0;3;0,3;0;0,0;x;0,0;
455;BW-Bezirk Hatzfeld;x;900;8;892;384;43,0;388;43,5;43;4,8;55;6,2;6;0,7;9;1,0;5;0,6;0;0,0;2;0,2;0;0,0;x;0,0;
456;BW-Bezirk Kothen-Lichtenplatz;x;1.080;4;1.076;352;32,7;519;48,2;71;6,6;89;8,3;18;1,7;4;0,4;19;1,8;0;0,0;4;0,4;0;0,0;x;0,0;
461;BW-Bezirk Oberbarmen;x;629;2;627;314;50,1;214;34,1;27;4,3;35;5,6;15;2,4;3;0,5;12;1,9;0;0,0;7;1,1;0;0,0;x;0,0;
462;BW-Bezirk Wichlinghausen-Süd;x;686;8;678;311;45,9;236;34,8;31;4,6;48;7,1;16;2,4;11;1,6;16;2,4;0;0,0;9;1,3;0;0,0;x;0,0;
463;BW-Bezirk Wichlinghausen-Nord;x;731;6;725;313;43,2;282;38,9;32;4,4;63;8,7;10;1,4;4;0,6;16;2,2;0;0,0;5;0,7;0;0,0;x;0,0;
464;BW-Bezirk Nächstebreck;x;1.007;8;999;359;35,9;491;49,1;62;6,2;50;5,0;12;1,2;5;0,5;15;1,5;0;0,0;5;0,5;0;0,0;x;0,0;
471;BW-Bezirk Heckinghausen-West;x;1.218;8;1.210;509;42,1;517;42,7;59;4,9;82;6,8;18;1,5;7;0,6;8;0,7;0;0,0;10;0,8;0;0,0;x;0,0;
472;BW-Bezirk Heckinghausen-Ost;x;737;10;727;308;42,4;287;39,5;39;5,4;53;7,3;7;1,0;5;0,7;23;3,2;0;0,0;5;0,7;0;0,0;x;0,0;
481;BW-Bezirk Langerfeld-Mitte;x;725;2;723;304;42,0;293;40,5;44;6,1;53;7,3;17;2,4;2;0,3;8;1,1;0;0,0;2;0,3;0;0,0;x;0,0;
482;BW-Bezirk Langerfeld-Nord;x;1.230;4;1.226;534;43,6;518;42,2;52;4,2;82;6,7;19;1,6;7;0,6;9;0,7;0;0,0;5;0,4;0;0,0;x;0,0;
483;BW-Bezirk Langerfeld-Süd-Beyenburg;x;0;0;0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;x;0,0;
491;BW-Bezirk Ronsdorf-Ost;x;801;2;799;322;40,3;381;47,7;34;4,3;43;5,4;4;0,5;7;0,9;8;1,0;0;0,0;0;0,0;0;0,0;x;0,0;
492;BW-Bezirk Ronsdorf-West;x;1.146;8;1.138;419;36,8;523;46,0;57;5,0;103;9,1;5;0,4;10;0,9;15;1,3;0;0,0;6;0,5;0;0,0;x;0,0;
Ingesamt;;276.966;221.532;3.792;217.740;102.391;47,0;80.648;37,0;11.253;5,2;14.422;6,6;3.624;1,7;2.063;0,9;2.203;1,0;44;0,0;845;0,4;247;0,1;x;0,0;
