Bundestagswahl am 16. Oktober 1994 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;GRÜNE;;PDS;;REP;;PDS;;GRAUE;;MLPD;;STATT Partei;;Dürschmidt, Einzellbewerber;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

134;Kohlfurther Brücke 79;407;311;1;310;142;45,8;105;33,9;23;7,4;18;5,8;9;2,9;5;1,6;7;2,3;0;0,0;0;0,0;1;0,3;x;0,0;
135;Rathausplatz 4;943;663;17;646;309;47,8;219;33,9;36;5,6;58;9,0;12;1,9;8;1,2;4;0,6;0;0,0;0;0,0;0;0,0;x;0,0;
136;Am Hofe 1;1.154;855;12;843;405;48,0;321;38,1;44;5,2;54;6,4;8;0,9;1;0,1;6;0,7;0;0,0;3;0,4;1;0,1;x;0,0;
137;Küllenhahner Str. 145;776;570;9;561;186;33,2;239;42,6;58;10,3;52;9,3;7;1,2;6;1,1;6;1,1;0;0,0;4;0,7;3;0,5;x;0,0;
138;Küllenhahner Str. 145;772;587;8;579;224;38,7;249;43,0;46;7,9;39;6,7;9;1,6;5;0,9;5;0,9;0;0,0;2;0,3;0;0,0;x;0,0;
139;Cronenberger Str. 375;805;551;11;540;235;43,5;221;40,9;25;4,6;42;7,8;9;1,7;3;0,6;3;0,6;0;0,0;2;0,4;0;0,0;x;0,0;
140;Hahnerberger Str. 99;1.226;862;8;854;380;44,5;337;39,5;53;6,2;49;5,7;9;1,1;9;1,1;8;0,9;0;0,0;5;0,6;4;0,5;x;0,0;
141;Cronenfelder Str. 26 a;1.259;916;7;909;360;39,6;371;40,8;57;6,3;85;9,3;12;1,3;6;0,7;10;1,1;0;0,0;7;0,8;1;0,1;x;0,0;
142;Cronenfelder Str. 26 a;1.221;882;17;865;405;46,8;314;36,3;54;6,2;56;6,5;14;1,6;5;0,6;9;1,0;0;0,0;5;0,6;3;0,3;x;0,0;
143;Cronenfelder Str. 26 a;934;657;10;647;374;57,8;208;32,1;26;4,0;24;3,7;4;0,6;5;0,8;1;0,1;0;0,0;5;0,8;0;0,0;x;0,0;
144;Cronenfelder Str. 26 a;939;678;9;669;301;45,0;264;39,5;38;5,7;42;6,3;8;1,2;1;0,1;7;1,1;0;0,0;6;0,9;2;0,3;x;0,0;
145;Große Flurstr. 10;1.132;714;33;681;353;51,8;236;34,6;14;2,1;33;4,8;19;2,8;7;1,0;15;2,2;0;0,0;4;0,6;0;0,0;x;0,0;
146;Hohenstein 123;836;543;10;533;279;52,4;181;34,0;8;1,5;41;7,7;15;2,8;6;1,1;1;0,2;0;0,0;2;0,4;0;0,0;x;0,0;
147;Oberdörnen 110;788;537;10;527;302;57,3;175;33,2;11;2,1;15;2,9;11;2,1;3;0,6;7;1,3;0;0,0;3;0,6;0;0,0;x;0,0;
148;Wegnerstr. 7;1.046;707;14;693;332;47,9;269;38,8;27;3,9;36;5,2;13;1,9;7;1,0;7;1,0;0;0,0;2;0,3;0;0,0;x;0,0;
149;Beckmannshof 15;1.056;687;7;680;377;55,4;230;33,8;20;2,9;29;4,3;12;1,8;6;0,9;5;0,7;0;0,0;1;0,1;0;0,0;x;0,0;
150;Winklerstr. 1;744;477;16;461;243;52,7;163;35,4;8;1,7;20;4,3;15;3,2;6;1,3;6;1,3;0;0,0;0;0,0;0;0,0;x;0,0;
151;Gewerbeschulstr. 34;1.279;836;24;812;417;51,4;277;34,1;26;3,2;51;6,3;18;2,2;6;0,7;14;1,7;0;0,0;3;0,4;0;0,0;x;0,0;
152;Peterstr. 26;1.267;833;14;819;355;43,4;345;42,1;39;4,8;48;5,9;12;1,5;6;0,7;8;1,0;0;0,0;6;0,7;0;0,0;x;0,0;
153;Alarichstr. 44;1.061;709;22;687;394;57,4;189;27,5;18;2,6;36;5,2;27;3,9;9;1,3;12;1,8;0;0,0;2;0,3;0;0,0;x;0,0;
154;Schützenstr. 101;1.060;708;17;691;412;59,6;195;28,2;14;2,0;33;4,8;20;2,9;8;1,2;7;1,0;0;0,0;2;0,3;0;0,0;x;0,0;
155;Sedanstr. 14;1.188;796;21;775;433;55,9;236;30,4;20;2,6;63;8,1;10;1,3;5;0,7;5;0,7;0;0,0;3;0,4;0;0,0;x;0,0;
156;Leimbacher Str. 4;953;568;17;551;293;53,2;171;31,0;15;2,7;40;7,3;11;2,0;8;1,4;8;1,4;0;0,0;5;0,9;0;0,0;x;0,0;
157;Carnaper Str. 13;987;662;5;657;336;51,1;244;37,1;14;2,1;39;5,9;8;1,2;5;0,8;8;1,2;0;0,0;3;0,5;0;0,0;x;0,0;
158;Thorner Str. 15;766;519;13;506;288;56,9;144;28,5;25;4,9;29;5,7;13;2,6;1;0,2;4;0,8;0;0,0;2;0,4;0;0,0;x;0,0;
159;Thorner Str. 15;865;570;9;561;295;52,6;184;32,8;20;3,6;39;7,0;13;2,3;5;0,9;3;0,5;0;0,0;2;0,4;0;0,0;x;0,0;
160;Eichenstr. 5;1.111;777;10;767;424;55,3;234;30,5;26;3,4;57;7,4;11;1,4;4;0,5;10;1,3;0;0,0;1;0,1;0;0,0;x;0,0;
161;Eichenstr. 59;1.093;740;10;730;392;53,7;250;34,2;18;2,5;36;4,9;17;2,3;5;0,7;11;1,5;0;0,0;1;0,1;0;0,0;x;0,0;
162;Eichenstr. 59;931;638;7;631;327;51,8;214;33,9;26;4,1;31;4,9;10;1,6;8;1,3;12;1,9;0;0,0;3;0,5;0;0,0;x;0,0;
163;Eichenstr. 5;1.175;806;20;786;432;55,0;231;29,4;22;2,8;67;8,5;17;2,2;5;0,6;11;1,4;0;0,0;1;0,1;0;0,0;x;0,0;
164;Martin-Luther-Str 15;1.035;671;16;655;359;54,8;218;33,3;18;2,8;32;4,9;12;1,8;3;0,5;8;1,2;0;0,0;5;0,8;0;0,0;x;0,0;
165;Friedrich-Engels-Allee 342;1.092;700;24;676;324;47,9;278;41,1;17;2,5;31;4,6;17;2,5;3;0,4;5;0,7;0;0,0;1;0,1;0;0,0;x;0,0;
166;Siegesstr. 134;1.193;841;27;814;428;52,6;261;32,1;26;3,2;74;9,1;12;1,5;10;1,2;1;0,1;0;0,0;2;0,2;0;0,0;x;0,0;
167;Martin-Luther-Str. 6;1.064;712;22;690;348;50,4;238;34,5;18;2,6;54;7,8;12;1,7;9;1,3;8;1,2;0;0,0;3;0,4;0;0,0;x;0,0;
168;Heusnerstr. 40;1.036;632;13;619;258;41,7;241;38,9;30;4,8;65;10,5;12;1,9;3;0,5;6;1,0;0;0,0;4;0,7;0;0,0;x;0,0;
169;Thorner Str. 15;1.196;799;24;775;399;51,5;256;33,0;33;4,3;60;7,7;8;1,0;9;1,2;7;0,9;0;0,0;3;0,4;0;0,0;x;0,0;
170;Rudolfstr. 120;1.218;871;13;858;447;52,1;265;30,9;31;3,6;71;8,3;18;2,1;15;1,8;6;0,7;0;0,0;5;0,6;0;0,0;x;0,0;
171;Rudolfstr. 120;1.130;696;20;676;345;51,0;229;33,9;27;4,0;49;7,2;13;1,9;8;1,2;3;0,4;0;0,0;2;0,3;0;0,0;x;0,0;
172;Hünefeldstr. 3;1.039;686;14;672;352;52,4;175;26,0;28;4,2;90;13,4;11;1,6;7;1,0;6;0,9;0;0,0;3;0,5;0;0,0;x;0,0;
173;Wittensteinstr. 80;740;471;8;463;240;51,8;120;25,9;15;3,2;73;15,8;5;1,1;4;0,9;6;1,3;0;0,0;0;0,0;0;0,0;x;0,0;
174;Haspeler Str. 25;800;564;8;556;287;51,6;183;32,9;19;3,4;29;5,2;19;3,4;9;1,6;6;1,1;0;0,0;4;0,7;0;0,0;x;0,0;
175;Hatzfelder Str. 261;361;251;7;244;91;37,3;119;48,8;7;2,9;21;8,6;2;0,8;2;0,8;1;0,4;0;0,0;1;0,4;0;0,0;x;0,0;
176;Friedhofstr. 11;1.258;868;29;839;452;53,9;290;34,6;21;2,5;34;4,0;19;2,3;8;0,9;11;1,3;0;0,0;4;0,5;0;0,0;x;0,0;
177;Alarichstr. 44;1.207;706;12;694;414;59,6;176;25,4;25;3,6;49;7,1;6;0,9;12;1,7;8;1,1;0;0,0;4;0,6;0;0,0;x;0,0;
178;Schützenstr. 101;1.144;808;15;793;407;51,3;269;33,9;35;4,4;52;6,6;14;1,8;5;0,6;7;0,9;0;0,0;4;0,5;0;0,0;x;0,0;
179;Schützenstr. 34;897;528;12;516;275;53,3;176;34,1;15;2,9;28;5,4;6;1,2;7;1,4;8;1,6;0;0,0;1;0,2;0;0,0;x;0,0;
180;Wilkhausstr. 131;1.372;1.014;17;997;436;43,7;401;40,2;46;4,6;65;6,5;23;2,3;8;0,8;15;1,5;0;0,0;3;0,3;0;0,0;x;0,0;
181;Wilkhausstr. 131;1.397;981;13;968;487;50,3;364;37,6;32;3,3;45;4,7;15;1,6;4;0,4;17;1,8;0;0,0;4;0,4;0;0,0;x;0,0;
182;Meckelstr. 106;1.183;806;12;794;365;46,0;312;39,3;26;3,3;66;8,3;10;1,3;6;0,8;7;0,9;0;0,0;2;0,2;0;0,0;x;0,0;
183;Schloßstr. 64;1.239;846;19;827;394;47,6;270;32,6;26;3,1;106;12,8;14;1,7;4;0,5;9;1,1;0;0,0;4;0,5;0;0,0;x;0,0;
184;Marper Schulweg 6;1.177;812;5;807;170;21,1;518;64,2;71;8,8;37;4,6;5;0,6;1;0,1;4;0,5;0;0,0;1;0,1;0;0,0;x;0,0;
185;Marper Schulweg 6;1.062;784;16;768;343;44,7;333;43,4;40;5,2;30;3,9;6;0,8;4;0,5;10;1,3;0;0,0;2;0,3;0;0,0;x;0,0;
186;Bundeshöhe 6;576;440;5;435;177;40,7;187;43,0;16;3,7;40;9,2;8;1,8;3;0,7;3;0,7;0;0,0;1;0,2;0;0,0;x;0,0;
