Bundestagswahl am 25. Januar 1987 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;GRÜNE;;NPD;;Patrioten;;FRIEDEN;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

223;Wupperfelder Str. 19;899;635;6;629;205;32,6;358;56,9;26;4,1;31;4,9;6;0,9;0;0,0;3;0,5;
224;Germanenstr. 36;1.022;736;2;734;196;26,7;453;61,7;35;4,8;36;4,9;6;0,8;0;0,0;8;1,1;
225;Germanenstr. 36;1.053;794;11;783;234;29,9;464;59,3;30;3,8;39;5,0;7;0,9;0;0,0;9;1,1;
226;Lentzestr. 14;760;590;3;587;200;34,1;337;57,4;20;3,4;26;4,4;4;0,7;0;0,0;0;0,0;
227;Lentzestr. 14;702;523;2;521;144;27,6;296;56,8;17;3,3;53;10,2;6;1,1;0;0,0;5;1,0;
228;Bartholomäusstr. 70;778;576;3;573;181;31,6;321;56,0;34;5,9;31;5,4;5;0,9;0;0,0;1;0,2;
229;Bartholomäusstr. 70;583;413;3;410;131;31,9;230;56,1;20;4,9;28;6,8;1;0,2;0;0,0;0;0,0;
230;Rathenaustr., Eingang Matthäusstr. 24;807;607;3;604;197;32,6;344;57,0;27;4,5;29;4,8;4;0,7;0;0,0;3;0,5;
231;Wichlinghauser Str. 29;633;450;7;443;123;27,8;257;58,0;24;5,4;30;6,8;2;0,5;0;0,0;7;1,6;
232;Collenbuschstr. 19;859;626;1;625;168;26,9;382;61,1;20;3,2;45;7,2;2;0,3;0;0,0;8;1,3;
233;Liegnitzer Str. 64;822;618;5;613;217;35,4;321;52,4;20;3,3;48;7,8;3;0,5;0;0,0;4;0,7;
234;Liegnitzer Str. 64;923;711;6;705;213;30,2;418;59,3;25;3,5;40;5,7;8;1,1;0;0,0;1;0,1;
235;Liegnitzer Str. 64;808;633;5;628;246;39,2;290;46,2;41;6,5;44;7,0;4;0,6;0;0,0;3;0,5;
236;Liegnitzer Str. 64;598;409;0;409;143;35,0;223;54,5;14;3,4;28;6,8;1;0,2;0;0,0;0;0,0;
237;Kreuzstr. 85;999;729;7;722;256;35,5;375;51,9;38;5,3;47;6,5;5;0,7;0;0,0;1;0,1;
238;Haarhausen 22;1.233;959;9;950;363;38,2;482;50,7;50;5,3;42;4,4;6;0,6;0;0,0;7;0,7;
239;Kreuzstr. 85;917;686;6;680;210;30,9;417;61,3;25;3,7;21;3,1;3;0,4;0;0,0;4;0,6;
240;Westkotter Str. 204;702;459;5;454;157;34,6;241;53,1;20;4,4;33;7,3;2;0,4;0;0,0;1;0,2;
241;Friedhofstr. 11;621;486;3;483;195;40,4;230;47,6;26;5,4;32;6,6;0;0,0;0;0,0;0;0,0;
242;Haselrain 38;1.201;869;7;862;350;40,6;435;50,5;26;3,0;36;4,2;13;1,5;0;0,0;2;0,2;
243;Haselrain 38;1.039;814;7;807;302;37,4;421;52,2;43;5,3;33;4,1;8;1,0;0;0,0;0;0,0;
244;Haselrain 38;1.047;838;10;828;414;50,0;288;34,8;79;9,5;41;5,0;1;0,1;0;0,0;5;0,6;
245;Haselrain 38;1.195;989;4;985;476;48,3;339;34,4;96;9,8;67;6,8;3;0,3;0;0,0;4;0,4;
246;Haarhausen 22;1.109;851;5;846;315;37,2;452;53,4;37;4,4;41;4,8;1;0,1;0;0,0;0;0,0;
247;Schmiedestr. 55;522;455;3;452;219;48,5;185;40,9;24;5,3;20;4,4;2;0,4;0;0,0;2;0,4;
248;Wittener Str. 144;1.043;789;9;780;348;44,6;341;43,7;55;7,0;33;4,2;3;0,4;0;0,0;0;0,0;
249;Löhrerlen 75;656;485;6;479;193;40,3;250;52,2;21;4,4;12;2,5;0;0,0;0;0,0;3;0,6;
250;Wittener Str. 86;772;594;5;589;230;39,0;301;51,1;34;5,8;19;3,2;3;0,5;0;0,0;2;0,3;
251;Samoastr. 16;513;390;5;385;144;37,4;202;52,5;14;3,6;24;6,2;0;0,0;0;0,0;1;0,3;
252;Gewerbeschulstr. 109;1.131;835;4;831;269;32,4;470;56,6;41;4,9;47;5,7;2;0,2;0;0,0;2;0,2;
253;Gewerbeschulstr. 109;1.034;778;7;771;252;32,7;437;56,7;31;4,0;45;5,8;4;0,5;0;0,0;2;0,3;
254;Obere Sehlhofstr. 47;1.143;866;7;859;290;33,8;462;53,8;49;5,7;53;6,2;2;0,2;0;0,0;3;0,3;
255;Obere Sehlhofstr. 47;1.042;779;7;772;322;41,7;357;46,2;44;5,7;43;5,6;1;0,1;0;0,0;5;0,7;
256;Gewerbeschulstr. 34 a;902;692;5;687;292;42,5;296;43,1;40;5,8;54;7,9;2;0,3;0;0,0;3;0,4;
257;Berg-Mark-Str. 5;1.346;997;13;984;355;36,1;492;50,0;62;6,3;63;6,4;3;0,3;0;0,0;9;0,9;
258;Schubertstr. 41;929;674;4;670;396;59,1;180;26,9;51;7,6;41;6,1;0;0,0;0;0,0;2;0,3;
259;Schubertstr. 41;580;446;0;446;214;48,0;177;39,7;40;9,0;14;3,1;0;0,0;0;0,0;1;0,2;
260;Meyerstr. 32;1.006;741;10;731;325;44,5;306;41,9;45;6,2;49;6,7;1;0,1;0;0,0;5;0,7;
261;Meyerstr. 32;781;584;6;578;186;32,2;333;57,6;26;4,5;28;4,8;2;0,3;0;0,0;3;0,5;
262;Meyerstr. 32;650;483;4;479;170;35,5;272;56,8;20;4,2;11;2,3;4;0,8;0;0,0;2;0,4;
263;Meyerstr. 32;831;630;5;625;213;34,1;353;56,5;30;4,8;24;3,8;3;0,5;0;0,0;2;0,3;
264;Meyerstr. 32;623;455;5;450;140;31,1;266;59,1;22;4,9;19;4,2;2;0,4;0;0,0;1;0,2;
265;Kleestr. 70;749;559;5;554;165;29,8;341;61,5;12;2,2;28;5,0;2;0,4;0;0,0;6;1,1;
266;Gosenburg 88;701;548;1;547;200;36,6;276;50,5;36;6,6;33;6,0;1;0,2;0;0,0;1;0,2;
267;Konradswüste 10;385;330;4;326;136;41,7;140;42,9;21;6,4;26;8,0;1;0,3;0;0,0;2;0,6;
268;Hammersberger Weg 26;639;497;4;493;162;32,9;259;52,5;28;5,7;39;7,9;3;0,6;0;0,0;2;0,4;
269;Kleestr. 70;872;667;1;666;260;39,0;339;50,9;28;4,2;32;4,8;3;0,5;0;0,0;4;0,6;
270;Bockmühle 1;844;644;7;637;217;34,1;363;57,0;19;3,0;29;4,5;6;0,9;0;0,0;3;0,5;
271;Auf der Bleiche 53;586;429;1;428;128;29,9;258;60,3;18;4,2;18;4,2;0;0,0;0;0,0;6;1,4;
272;Auf der Bleiche 53;647;476;1;475;154;32,4;274;57,7;15;3,2;26;5,5;3;0,6;0;0,0;3;0,6;
273;Klippe 21;503;368;0;368;137;37,2;198;53,8;13;3,5;18;4,9;0;0,0;0;0,0;2;0,5;
274;Schwelmer Str. 15;1.029;772;5;767;245;31,9;450;58,7;38;5,0;30;3,9;0;0,0;0;0,0;4;0,5;
275;Dieckerhoffstr. 6;1.069;833;9;824;318;38,6;407;49,4;54;6,5;39;4,7;3;0,4;0;0,0;3;0,4;
276;Windthorststr. 7;964;787;8;779;357;45,8;334;42,9;42;5,4;44;5,7;1;0,1;0;0,0;1;0,1;
277;In der Fleute 129;1.078;809;5;804;292;36,3;433;53,9;35;4,3;39;4,8;4;0,5;0;0,0;1;0,1;
278;In der Fleute 129;531;390;4;386;121;31,4;240;62,2;9;2,3;13;3,4;2;0,5;0;0,0;1;0,3;
279;Schwelmer Str. 15;852;678;10;668;236;35,3;337;50,5;46;6,9;40;6,0;4;0,6;0;0,0;5;0,8;
280;Schwelmer Str. 15;946;713;4;709;241;34,0;402;56,7;29;4,1;34;4,8;2;0,3;0;0,0;1;0,1;
281;Dahler Str. 2;439;339;1;338;139;41,1;157;46,5;19;5,6;22;6,5;1;0,3;0;0,0;0;0,0;
282;Meininger Str. 71;1.002;753;9;744;246;33,1;438;58,9;35;4,7;22;3,0;2;0,3;0;0,0;1;0,1;
283;Meininger Str. 71;655;474;2;472;189;40,0;257;54,5;11;2,3;11;2,3;4;0,8;0;0,0;0;0,0;
284;Heinrich-Böll-Str. 250;692;538;14;524;220;42,0;267;51,0;16;3,0;14;2,7;5;0,9;0;0,0;2;0,4;
285;Mercklinghausstr. 11;952;693;5;688;244;35,5;386;56,1;21;3,0;32;4,7;4;0,6;0;0,0;1;0,1;
286;Heinrich-Böll-Str. 250;693;512;0;512;173;33,8;292;57,0;18;3,5;23;4,5;5;1,0;0;0,0;1;0,2;
