Bundestagswahl am 25. Januar 1987 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;GRÜNE;;NPD;;Patrioten;;FRIEDEN;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

431;BW-Bezirk Vohwinkel-Ost;x;793;0;793;378;47,7;281;35,4;77;9,7;46;5,8;1;0,1;0;0,0;10;1,3;
432;BW-Bezirk Vohwinkel-West;x;484;1;483;206;42,6;190;39,3;44;9,1;36;7,5;5;1,0;0;0,0;2;0,4;
433;BW-Bezirk Vohwinkel-Nord;x;478;3;475;167;35,2;216;45,5;48;10,1;42;8,8;1;0,2;0;0,0;1;0,2;
441;BW-Bezirk Cronenberg-Süd;x;813;6;807;394;48,8;293;36,3;63;7,8;52;6,4;2;0,2;0;0,0;3;0,4;
442;BW-Bezirk Cronenberg-Nord;x;732;5;727;355;48,8;225;30,9;83;11,4;55;7,6;4;0,6;0;0,0;5;0,7;
451;BW-Bezirk Barmen-Mitte;x;837;2;835;384;46,0;344;41,2;44;5,3;58;7,0;1;0,1;0;0,0;4;0,5;
452;BW-Bezirk Sedansberg;x;582;1;581;233;40,1;289;49,7;22;3,8;31;5,3;4;0,7;0;0,0;2;0,3;
453;BW-Bezirk Loh;x;793;5;788;341;43,3;326;41,4;43;5,5;57;7,2;5;0,6;0;0,0;16;2,0;
454;BW-Bezirk Unterbarmen-Clausen;x;780;7;773;384;49,7;261;33,8;45;5,8;70;9,1;4;0,5;0;0,0;9;1,2;
455;BW-Bezirk Hatzfeld;x;772;3;769;328;42,6;323;42,0;59;7,7;49;6,4;1;0,1;0;0,0;9;1,2;
456;BW-Bezirk Kothen-Lichtenplatz;x;861;5;856;392;45,8;316;36,9;55;6,4;88;10,3;1;0,1;0;0,0;4;0,5;
461;BW-Bezirk Oberbarmen;x;578;1;577;242;41,9;262;45,4;31;5,4;37;6,4;0;0,0;0;0,0;5;0,9;
462;BW-Bezirk Wichlinghausen-Süd;x;607;5;602;227;37,7;285;47,3;31;5,2;53;8,8;1;0,2;0;0,0;5;0,8;
463;BW-Bezirk Wichlinghausen-Nord;x;596;4;592;247;41,7;267;45,1;29;4,9;38;6,4;6;1,0;0;0,0;5;0,8;
464;BW-Bezirk Nächstebreck;x;840;5;835;406;48,6;307;36,8;59;7,1;47;5,6;3;0,4;0;0,0;13;1,6;
471;BW-Bezirk Heckinghausen-West;x;1.029;4;1.025;498;48,6;372;36,3;62;6,0;81;7,9;5;0,5;0;0,0;7;0,7;
472;BW-Bezirk Heckinghausen-Ost;x;640;14;626;260;41,5;304;48,6;23;3,7;28;4,5;1;0,2;0;0,0;10;1,6;
481;BW-Bezirk Langerfeld-Mitte;x;563;2;561;268;47,8;230;41,0;36;6,4;18;3,2;2;0,4;0;0,0;7;1,2;
482;BW-Bezirk Langerfeld-Nord;x;301;1;300;123;41,0;151;50,3;5;1,7;19;6,3;0;0,0;0;0,0;2;0,7;
483;BW-Bezirk Langerfeld-Süd-Beyenburg;x;673;4;669;301;45,0;264;39,5;31;4,6;65;9,7;2;0,3;0;0,0;6;0,9;
491;BW-Bezirk Ronsdorf-Ost;x;643;0;643;307;47,7;247;38,4;40;6,2;46;7,2;0;0,0;0;0,0;3;0,5;
492;BW-Bezirk Ronsdorf-West;x;971;5;966;491;50,8;361;37,4;51;5,3;57;5,9;1;0,1;0;0,0;5;0,5;
Ingesamt;;284.220;240.051;1.756;238.295;90.969;38,2;112.976;47,4;16.724;7,0;15.071;6,3;1.009;0,4;60;0,0;1.486;0,6;
