Bundestagswahl am 27. September 1998 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;GRÜNE;;PDS;;GRAUE;;REP;;Dicke, Einzelbewerber;;Klett, Einzellbewerber;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

405;BW-Bezirk Grifflenberg;x;1.801;17;1.784;719;40,3;801;44,9;119;6,7;105;5,9;15;0,8;4;0,2;12;0,7;5;0,3;4;0,2;
406;BW-Bezirk Friedrichsberg;x;1.163;5;1.158;624;53,9;364;31,4;57;4,9;63;5,4;14;1,2;11;0,9;18;1,6;6;0,5;1;0,1;
411;BW-Bezirk Brill-Arrenberg;x;1.118;3;1.115;457;41,0;426;38,2;72;6,5;104;9,3;16;1,4;6;0,5;19;1,7;9;0,8;6;0,5;
412;BW-Bezirk Nützenberg-Zoo;x;976;10;966;475;49,2;380;39,3;46;4,8;31;3,2;8;0,8;4;0,4;20;2,1;2;0,2;0;0,0;
413;BW-Bezirk Sonnborn-Varresbeck;x;1.221;8;1.213;544;44,9;519;42,8;66;5,4;50;4,1;9;0,7;10;0,8;11;0,9;3;0,2;1;0,1;
421;BW-Bezirk Uellendahl-Ost;x;1.871;15;1.856;753;40,6;876;47,2;104;5,6;74;4,0;13;0,7;13;0,7;21;1,1;2;0,1;0;0,0;
422;BW-Bezirk Uellendahl-West;x;1.755;13;1.742;807;46,3;685;39,3;110;6,3;74;4,2;20;1,1;8;0,5;31;1,8;4;0,2;3;0,2;
423;BW-Bezirk Katernberg;x;2.163;17;2.146;772;36,0;1.092;50,9;158;7,4;78;3,6;17;0,8;9;0,4;16;0,8;3;0,1;1;0,1;
431;BW-Bezirk Vohwinkel-Ost;x;1.058;2;1.056;506;47,9;415;39,3;53;5,0;43;4,1;13;1,2;4;0,4;18;1,7;1;0,1;3;0,3;
432;BW-Bezirk Vohwinkel-West;x;859;4;855;412;48,2;343;40,1;33;3,9;34;4,0;10;1,2;4;0,5;17;2,0;1;0,1;1;0,1;
433;BW-Bezirk Vohwinkel-Nord;x;1.038;9;1.029;544;52,9;375;36,4;39;3,8;39;3,8;9;0,9;5;0,5;15;1,5;1;0,1;2;0,2;
441;BW-Bezirk Cronenberg-Süd;x;1.450;4;1.446;632;43,7;627;43,4;59;4,1;85;5,9;11;0,8;8;0,6;13;0,9;9;0,6;2;0,1;
442;BW-Bezirk Cronenberg-Nord;x;1.317;10;1.307;593;45,4;551;42,2;74;5,7;59;4,5;4;0,3;6;0,5;10;0,8;10;0,8;0;0,0;
451;BW-Bezirk Barmen-Mitte;x;1.069;3;1.066;556;52,2;390;36,6;47;4,4;31;2,9;11;1,0;11;1,0;20;1,9;0;0,0;0;0,0;
452;BW-Bezirk Sedansberg;x;797;6;791;453;57,3;248;31,4;18;2,3;37;4,7;10;1,3;9;1,1;16;2,0;0;0,0;0;0,0;
453;BW-Bezirk Loh;x;1.041;8;1.033;568;55,0;325;31,5;39;3,8;51;4,9;20;1,9;11;1,1;19;1,8;0;0,0;0;0,0;
454;BW-Bezirk Unterbarmen-Clausen;x;1.106;8;1.098;539;49,1;374;34,1;42;3,8;106;9,7;16;1,5;7;0,6;14;1,3;0;0,0;0;0,0;
455;BW-Bezirk Hatzfeld;x;1.149;10;1.139;544;47,8;448;39,3;67;5,9;47;4,1;15;1,3;6;0,5;12;1,1;0;0,0;0;0,0;
456;BW-Bezirk Kothen-Lichtenplatz;x;1.408;6;1.402;566;40,4;636;45,4;89;6,3;73;5,2;18;1,3;8;0,6;12;0,9;0;0,0;0;0,0;
461;BW-Bezirk Oberbarmen;x;748;6;742;402;54,2;248;33,4;31;4,2;23;3,1;10;1,4;3;0,4;25;3,4;0;0,0;0;0,0;
462;BW-Bezirk Wichlinghausen-Süd;x;831;9;822;416;50,6;280;34,1;30;3,6;48;5,8;21;2,5;7;0,8;20;2,4;0;0,0;0;0,0;
463;BW-Bezirk Wichlinghausen-Nord;x;975;13;962;483;50,2;348;36,2;44;4,6;43;4,5;11;1,1;15;1,6;18;1,9;0;0,0;0;0,0;
464;BW-Bezirk Nächstebreck;x;1.410;15;1.395;610;43,7;604;43,3;80;5,7;51;3,7;11;0,8;11;0,8;28;2,0;0;0,0;0;0,0;
471;BW-Bezirk Heckinghausen-West;x;1.554;17;1.537;702;45,7;657;42,8;71;4,6;71;4,6;16;1,0;8;0,5;12;0,8;0;0,0;0;0,0;
472;BW-Bezirk Heckinghausen-Ost;x;941;7;934;471;50,4;342;36,6;40;4,3;38;4,1;20;2,1;9;1,0;14;1,5;0;0,0;0;0,0;
481;BW-Bezirk Langerfeld-Mitte;x;1.009;9;1.000;549;54,9;326;32,6;42;4,2;41;4,1;7;0,7;14;1,4;21;2,1;0;0,0;0;0,0;
482;BW-Bezirk Langerfeld-Nord;x;1.664;10;1.654;748;45,2;730;44,1;44;2,7;76;4,6;25;1,5;16;1,0;15;0,9;0;0,0;0;0,0;
491;BW-Bezirk Ronsdorf-Ost;x;1.145;4;1.141;543;47,6;467;40,9;57;5,0;48;4,2;12;1,1;4;0,3;10;0,9;0;0,0;0;0,0;
492;BW-Bezirk Ronsdorf-West;x;1.458;4;1.454;615;42,3;646;44,4;81;5,6;76;5,2;19;1,3;10;0,7;7;0,5;0;0,0;0;0,0;
Ingesamt;;264.550;217.795;2.680;215.115;116.422;54,1;71.816;33,4;8.075;3,8;10.592;4,9;2.973;1,4;962;0,5;3.810;1,8;292;0,1;173;0,1;
