Bundestagswahl am 27. September 1998 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;GRÜNE;;PDS;;GRAUE;;REP;;Dicke, Einzelbewerber;;Klett, Einzellbewerber;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

64;Benrather Str. 23;833;587;9;578;366;63,3;161;27,9;11;1,9;20;3,5;11;1,9;3;0,5;5;0,9;0;0,0;1;0,2;
65;Benrather Str. 23;1.035;694;12;682;344;50,4;256;37,5;22;3,2;20;2,9;15;2,2;4;0,6;19;2,8;1;0,1;1;0,1;
66;Bayreuther Str. 35;492;329;3;326;170;52,1;126;38,6;9;2,8;14;4,3;2;0,6;1;0,3;2;0,6;1;0,3;1;0,3;
67;Varresbecker Str. 83;762;513;7;506;279;55,1;160;31,6;16;3,2;18;3,6;11;2,2;1;0,2;21;4,2;0;0,0;0;0,0;
68;Sillerstr. 13;666;487;5;482;306;63,5;136;28,2;12;2,5;12;2,5;5;1,0;2;0,4;7;1,4;2;0,4;0;0,0;
69;Kirchhofstr. 20;896;623;3;620;359;57,9;194;31,3;23;3,7;19;3,1;8;1,3;7;1,1;10;1,6;0;0,0;0;0,0;
70;Garterlaie 29;923;547;9;538;295;54,8;168;31,2;25;4,7;21;3,9;8;1,5;4;0,7;16;3,0;1;0,2;0;0,0;
71;Rutenbecker Weg 10;1.096;740;6;734;317;43,2;324;44,1;39;5,3;34;4,6;9;1,2;2;0,3;9;1,2;0;0,0;0;0,0;
72;Am Dönberg 46;1.610;1.239;8;1.231;618;50,2;467;37,9;53;4,3;69;5,6;10;0,8;1;0,1;10;0,8;1;0,1;2;0,2;
73;Horather Str. 186;1.238;889;11;878;423;48,2;356;40,5;46;5,2;34;3,9;6;0,7;4;0,5;8;0,9;1;0,1;0;0,0;
74;Höhenstr. 56;1.267;893;12;881;366;41,5;421;47,8;54;6,1;26;3,0;2;0,2;0;0,0;11;1,2;0;0,0;1;0,1;
75;Kurt-Schumacher-Str. 130;714;487;7;480;220;45,8;208;43,3;22;4,6;10;2,1;5;1,0;3;0,6;9;1,9;1;0,2;2;0,4;
76;Kurt-Schumacher-Str. 130;1.136;796;20;776;369;47,5;316;40,7;27;3,5;36;4,6;7;0,9;3;0,4;17;2,2;0;0,0;1;0,1;
77;Uellendahler Str. 540;1.146;791;8;783;418;53,4;303;38,7;23;2,9;24;3,1;6;0,8;2;0,3;6;0,8;0;0,0;1;0,1;
78;Uellendahler Str. 400;1.049;708;4;704;428;60,8;199;28,3;23;3,3;25;3,5;12;1,7;0;0,0;17;2,4;0;0,0;0;0,0;
79;Röttgen 110;859;546;5;541;265;49,0;223;41,2;15;2,8;18;3,3;7;1,3;1;0,2;10;1,9;1;0,2;1;0,2;
80;Röttgen 110;1.057;731;15;716;364;50,8;293;40,9;18;2,5;18;2,5;5;0,7;3;0,4;15;2,1;0;0,0;0;0,0;
81;Röttgen 110;1.319;792;7;785;348;44,3;324;41,3;45;5,7;28;3,6;16;2,0;4;0,5;13;1,7;2;0,2;5;0,6;
82;Kohlstr. 122;864;598;13;585;393;67,2;125;21,4;18;3,1;17;2,9;6;1,0;6;1,0;20;3,4;0;0,0;0;0,0;
83;Kohlstr. 122;785;511;6;505;252;49,9;200;39,6;22;4,4;12;2,4;10;2,0;2;0,4;6;1,2;1;0,2;0;0,0;
84;Leipziger Str. 1;851;569;3;566;314;55,5;188;33,2;24;4,2;17;3,0;6;1,1;3;0,5;13;2,3;0;0,0;1;0,2;
85;Kohlstr. 11;807;526;8;518;322;62,2;127;24,5;21;4,0;30;5,8;5;1,0;5;1,0;6;1,2;1;0,2;1;0,2;
86;Opphofer Str. 47;611;432;3;429;282;65,7;103;24,0;13;3,0;15;3,5;3;0,7;4;0,9;6;1,4;1;0,2;2;0,5;
87;Am Mirker Bach 1;853;545;6;539;317;58,8;137;25,4;21;3,9;39;7,2;10;1,9;1;0,2;12;2,2;2;0,4;0;0,0;
88;Vogelsangstr. 50;1.257;814;22;792;443;55,9;260;32,8;25;3,2;36;4,5;11;1,4;1;0,1;13;1,6;2;0,2;1;0,1;
89;Helmholtzstr. 40;1.025;643;1;642;307;47,8;256;39,9;26;4,0;28;4,4;12;1,9;1;0,2;12;1,9;0;0,0;0;0,0;
90;Hainstr. 192;1.202;849;11;838;378;45,1;350;41,8;40;4,8;44;5,2;5;0,6;0;0,0;21;2,5;0;0,0;0;0,0;
91;Kruppstr. 139;620;430;10;420;230;54,8;135;32,1;12;2,9;21;5,0;7;1,7;1;0,2;12;2,9;2;0,5;0;0,0;
92;Birkenhöhe 60;1.173;827;11;816;345;42,3;352;43,1;62;7,6;42;5,2;7;0,9;1;0,1;5;0,6;1;0,1;1;0,1;
93;Hainstr. 192;1.295;951;6;945;452;47,8;374;39,6;48;5,1;52;5,5;7;0,7;5;0,5;7;0,7;0;0,0;0;0,0;
94;Birkenhöhe 60;1.100;782;7;775;394;50,8;299;38,6;35;4,5;34;4,4;5;0,7;4;0,5;3;0,4;1;0,1;0;0,0;
