Bundestagswahl am 28. September 1969 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;ADF;;EP;;FSU;;NPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

6910;BW-Bezirk Wahlkreis 69-Teilergebnis 10;x;639;2;637;313;49,1;274;43,0;34;5,3;5;0,8;0;0,0;1;0,2;10;1,6;
6911;BW-Bezirk Wahlkreis 69-Teilergebnis 11;x;566;1;565;241;42,6;263;46,5;40;7,1;8;1,4;1;0,2;0;0,0;12;2,1;
6912;BW-Bezirk Wahlkreis 69-Teilergebnis 12;x;823;1;822;354;43,1;359;43,7;76;9,2;12;1,5;1;0,1;1;0,1;19;2,3;
7001;BW-Bezirk Wahlkreis 70-Teilergebnis 1;x;634;2;632;309;48,9;250;39,6;46;7,3;6;0,9;0;0,0;1;0,2;20;3,2;
7002;BW-Bezirk Wahlkreis 70-Teilergebnis 2;x;825;5;820;444;54,1;314;38,3;45;5,5;9;1,1;0;0,0;4;0,5;4;0,5;
7003;BW-Bezirk Wahlkreis 70-Teilergebnis 3;x;718;1;717;339;47,3;303;42,3;41;5,7;7;1,0;4;0,6;1;0,1;22;3,1;
7004;BW-Bezirk Wahlkreis 70-Teilergebnis 4;x;737;5;732;336;45,9;322;44,0;40;5,5;7;1,0;1;0,1;1;0,1;25;3,4;
7005;BW-Bezirk Wahlkreis 70-Teilergebnis 5;x;822;4;818;340;41,6;361;44,1;74;9,1;10;1,2;1;0,1;1;0,1;31;3,8;
7006;BW-Bezirk Wahlkreis 70-Teilergebnis 6;x;837;2;835;434;52,0;306;36,6;66;7,9;4;0,5;4;0,5;1;0,1;20;2,4;
7007;BW-Bezirk Wahlkreis 70-Teilergebnis 7;x;918;5;913;426;46,7;374;41,0;70;7,7;10;1,1;2;0,2;2;0,2;29;3,2;
7008;BW-Bezirk Wahlkreis 70-Teilergebnis 8;x;754;3;751;279;37,1;359;47,8;66;8,8;15;2,0;4;0,5;2;0,3;26;3,5;
7009;BW-Bezirk Wahlkreis 70-Teilergebnis 9;x;758;5;753;311;41,3;345;45,8;70;9,3;10;1,3;0;0,0;2;0,3;15;2,0;
7010;BW-Bezirk Wahlkreis 70-Teilergebnis 10;x;717;7;710;316;44,5;315;44,4;42;5,9;6;0,8;10;1,4;2;0,3;19;2,7;
7011;BW-Bezirk Wahlkreis 70-Teilergebnis 11;x;765;4;761;372;48,9;309;40,6;47;6,2;11;1,4;1;0,1;3;0,4;18;2,4;
7012;BW-Bezirk Wahlkreis 70-Teilergebnis 12;x;653;3;650;299;46,0;288;44,3;42;6,5;4;0,6;5;0,8;2;0,3;10;1,5;
Ingesamt;;292.876;248.782;2.776;246.006;97.181;39,5;125.395;51,0;13.741;5,6;2.758;1,1;425;0,2;424;0,2;6.082;2,5;
