Bundestagswahl am 17. September 1961 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;GDP;;DFU;;DG;;DRP;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

230;Wittener Str. 21;1.016;803;24;779;303;38,9;296;38,0;145;18,6;2;0,3;32;4,1;1;0,1;0;0,0;
231;Neue Welt 1;697;548;16;532;174;32,7;240;45,1;89;16,7;4;0,8;23;4,3;1;0,2;1;0,2;
232;Bornscheuerstr. 31;995;563;26;537;157;29,2;294;54,8;46;8,6;3;0,6;36;6,7;0;0,0;1;0,2;
233;Hügelstr. 6;1.075;847;17;830;313;37,7;379;45,7;94;11,3;4;0,5;33;4,0;2;0,2;5;0,6;
234;Hügelstr. 6;1.022;820;21;799;325;40,7;324;40,5;108;13,5;3;0,4;34;4,3;0;0,0;5;0,6;
235;Hügelstr. 63;1.111;898;21;877;289;33,0;413;47,1;131;14,9;4;0,5;34;3,9;2;0,2;4;0,5;
236;Schwarzbach 183;677;532;6;526;198;37,6;230;43,7;73;13,9;2;0,4;20;3,8;2;0,4;1;0,2;
237;Schwarzbach 84;871;656;10;646;232;35,9;303;46,9;83;12,8;4;0,6;20;3,1;1;0,1;3;0,5;
238;Langobardenstr. 11;986;799;13;786;348;44,3;294;37,4;116;14,8;1;0,1;24;3,0;0;0,0;3;0,4;
239;Wichlinghauser Str. 29;786;619;24;595;216;36,3;269;45,2;78;13,1;5;0,8;25;4,2;1;0,2;1;0,2;
240;Diesterweg 3;1.242;937;22;915;415;45,4;313;34,2;149;16,3;4;0,4;29;3,2;3;0,3;2;0,2;
241;Diesterweg 3;1.267;987;28;959;398;41,5;365;38,1;156;16,3;15;1,6;20;2,1;1;0,1;4;0,4;
242;Wichlinghauser Str. 29;1.014;773;17;756;287;38,0;289;38,2;133;17,6;4;0,5;38;5,0;0;0,0;5;0,7;
243;Langerfelder Str. 45;1.073;851;27;824;306;37,1;401;48,7;89;10,8;0;0,0;25;3,0;1;0,1;2;0,2;
244;Heckinghauser Str. 96;1.179;956;17;939;346;36,9;415;44,2;135;14,4;4;0,4;30;3,2;5;0,5;4;0,4;
245;Meyerstr. 30;1.234;980;7;973;405;41,6;327;33,6;191;19,6;7;0,7;38;3,9;0;0,0;5;0,5;
246;Meyerstr. 30;1.335;1.093;18;1.075;375;34,9;503;46,8;155;14,4;22;2,0;16;1,5;0;0,0;4;0,4;
247;Meyerstr. 30;1.242;985;13;972;383;39,4;405;41,7;141;14,5;5;0,5;29;3,0;1;0,1;8;0,8;
248;Ackerstr. 7;1.074;871;15;856;262;30,6;449;52,5;105;12,3;1;0,1;32;3,7;0;0,0;7;0,8;
249;Heckinghauser Str. 245;1.005;846;22;824;349;42,4;336;40,8;108;13,1;2;0,2;23;2,8;2;0,2;4;0,5;
250;Gosenburg 88;991;837;25;812;306;37,7;318;39,2;153;18,8;6;0,7;25;3,1;1;0,1;3;0,4;
251;Kleestr. 68;899;705;10;695;253;36,4;291;41,9;115;16,6;5;0,7;29;4,2;1;0,1;1;0,1;
252;Meyerstr. 30;1.219;969;11;958;461;48,1;254;26,5;214;22,3;5;0,5;20;2,1;4;0,4;0;0,0;
253;Kleestr. 68;1.227;998;20;978;358;36,6;387;39,6;185;18,9;13;1,3;33;3,4;0;0,0;2;0,2;
254;Schubertstr. 41;1.160;836;9;827;404;48,9;177;21,4;213;25,8;6;0,7;26;3,1;0;0,0;1;0,1;
255;Plückersburg 81;614;505;9;496;167;33,7;239;48,2;48;9,7;3;0,6;39;7,9;0;0,0;0;0,0;
256;Siegesstr. 134;1.176;879;10;869;374;43,0;304;35,0;164;18,9;10;1,1;14;1,6;1;0,1;2;0,2;
257;Gewerbeschulstr. 34 a;1.333;1.074;6;1.068;447;41,9;301;28,2;277;25,9;8;0,8;26;2,4;4;0,4;5;0,5;
258;Gewerbeschulstr. 34 a;1.251;984;16;968;478;49,4;258;26,6;203;21,0;4;0,4;21;2,2;0;0,0;4;0,4;
259;Gewerbeschulstr. 109;1.283;993;19;974;426;43,7;265;27,2;242;24,9;11;1,1;26;2,7;3;0,3;1;0,1;
260;Gewerbeschulstr. 109;1.096;857;17;840;349;41,5;271;32,3;183;21,8;12;1,4;24;2,9;1;0,1;0;0,0;
261;Obere Sehlhofstr. 24;1.181;953;20;933;415;44,5;304;32,6;188;20,1;7;0,8;14;1,5;1;0,1;4;0,4;
262;Untere Lichtenplatzer Str. 44;1.083;872;18;854;373;43,7;274;32,1;174;20,4;9;1,1;23;2,7;0;0,0;1;0,1;
263;Hesselnberg 42;1.181;878;22;856;343;40,1;332;38,8;156;18,2;4;0,5;18;2,1;2;0,2;1;0,1;
264;Hesselnberg 42;978;790;23;767;253;33,0;377;49,1;106;13,8;10;1,3;18;2,4;3;0,4;0;0,0;
265;Hesselnberg 70;864;713;5;708;281;39,7;281;39,7;115;16,2;9;1,3;13;1,8;2;0,3;7;1,0;
266;Hesselnberg 70;845;694;9;685;243;35,5;285;41,6;101;14,7;5;0,7;43;6,3;1;0,1;7;1,0;
267;Siegesstr. 134;1.104;852;10;842;309;36,7;328;39,0;168;19,9;7;0,8;24;2,9;1;0,1;5;0,6;
268;Emilienstr. 34;1.061;815;12;803;328;40,9;235;29,3;216;26,9;7;0,9;11;1,4;0;0,0;6;0,8;
269;Emilienstr. 34;917;726;11;715;260;36,4;267;37,3;162;22,7;4;0,6;16;2,2;2;0,3;4;0,6;
270;Emilienstr. 34;1.043;812;3;809;354;43,8;230;28,4;203;25,1;3;0,4;17;2,1;0;0,0;2;0,2;
271;Siegesstr. 134;969;769;16;753;324;43,0;248;32,9;152;20,2;5;0,7;21;2,8;2;0,3;1;0,1;
272;Marper Schulweg 6;1.017;777;16;761;373;49,0;152;20,0;222;29,2;0;0,0;12;1,6;1;0,1;1;0,1;
273;Marper Schulweg 6;795;481;10;471;158;33,5;217;46,1;74;15,7;2;0,4;16;3,4;0;0,0;4;0,8;
274;Böhler Weg 27;878;683;12;671;262;39,0;238;35,5;115;17,1;7;1,0;48;7,2;0;0,0;1;0,1;
275;Holthauser Str. 29;1.082;889;31;858;359;41,8;290;33,8;142;16,6;21;2,5;45;5,2;1;0,1;0;0,0;
276;Elias-Eller-Str. 48;1.253;1.021;25;996;458;46,0;282;28,3;203;20,4;9;0,9;42;4,2;1;0,1;1;0,1;
277;Elias-Eller-Str. 48;1.246;1.059;31;1.028;480;46,7;324;31,5;192;18,7;4;0,4;24;2,3;0;0,0;4;0,4;
278;Scheidtstr. 36;1.078;911;29;882;308;34,9;348;39,5;173;19,6;11;1,2;36;4,1;1;0,1;5;0,6;
279;Erbschlöer Str. 91;1.236;1.027;27;1.000;433;43,3;331;33,1;183;18,3;4;0,4;45;4,5;2;0,2;2;0,2;
280;Geranienstr. 30 a;1.171;925;32;893;342;38,3;346;38,8;152;17,0;3;0,3;46;5,2;0;0,0;4;0,5;
281;Geranienstr. 30 a;1.124;986;17;969;394;40,7;334;34,5;181;18,7;4;0,4;43;4,4;1;0,1;12;1,2;
282;Ascheweg 3;1.145;950;17;933;445;47,7;280;30,0;167;17,9;3;0,3;33;3,5;0;0,0;5;0,5;
283;Remscheider Str. 179;1.086;870;21;849;317;37,3;374;44,0;95;11,2;5;0,6;52;6,1;0;0,0;6;0,7;
284;Remscheider Str. 50;1.033;896;21;875;404;46,2;270;30,9;151;17,3;5;0,6;45;5,1;0;0,0;0;0,0;
285;Echoer Str. 46;672;557;22;535;261;48,8;146;27,3;105;19,6;5;0,9;15;2,8;0;0,0;3;0,6;
286;Jesinghauser Str. 2;860;693;24;669;290;43,4;272;40,7;89;13,3;5;0,8;9;1,4;2;0,3;2;0,3;
287;Windhukstr. 49;782;612;11;601;220;36,6;256;42,6;102;17,0;0;0,0;22;3,7;1;0,2;0;0,0;
