Bundestagswahl am 17. September 1961 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;GDP;;DFU;;DG;;DRP;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

36;Pfalzgrafenstr. 22;1.095;895;17;878;365;41,6;324;36,9;155;17,6;11;1,2;18;2,0;0;0,0;5;0,6;
37;Cronenberger Str. 214 a;1.009;843;24;819;343;41,9;330;40,3;105;12,8;16;1,9;15;1,8;2;0,2;8;1,0;
38;Cronenberger Str. 375;1.052;827;9;818;389;47,6;224;27,4;180;22,0;6;0,7;13;1,6;0;0,0;6;0,7;
39;Cronenberger Str. 375;918;753;5;748;328;43,9;241;32,2;155;20,7;3;0,4;15;2,0;1;0,1;5;0,7;
40;Cronenberger Str. 375;797;670;23;647;295;45,6;215;33,2;119;18,4;4;0,6;11;1,7;0;0,0;3;0,5;
41;Cronenfelder Str. 26 a;778;624;19;605;235;38,8;204;33,7;140;23,1;1;0,2;22;3,6;0;0,0;3;0,5;
42;Küllenhahner Str. 19;1.284;1.011;25;986;406;41,2;338;34,3;206;20,9;2;0,2;28;2,8;4;0,4;2;0,2;
43;Wilhelmring 125;1.379;1.092;28;1.064;338;31,8;464;43,6;185;17,4;5;0,5;70;6,6;1;0,1;1;0,1;
44;Cronenfelder Str. 26 a;629;505;16;489;176;36,0;177;36,2;116;23,7;2;0,4;18;3,7;0;0,0;0;0,0;
45;Cronenfelder Str. 26 a;929;745;28;717;222;31,0;321;44,8;129;18,0;0;0,0;44;6,1;1;0,1;0;0,0;
46;Hauptstr. 102;1.170;964;29;935;385;41,2;365;39,0;123;13,2;10;1,1;51;5,5;0;0,0;1;0,1;
47;Kampstr. 1;1.099;894;24;870;286;32,9;352;40,5;174;20,0;5;0,6;53;6,1;0;0,0;0;0,0;
48;Am Hofe 1;1.231;1.032;23;1.009;363;36,0;416;41,2;167;16,6;5;0,5;52;5,2;3;0,3;3;0,3;
49;Hauptstr. 57;1.059;865;24;841;397;47,2;231;27,5;193;22,9;1;0,1;16;1,9;1;0,1;2;0,2;
50;Borner Str. 1;1.064;854;23;831;257;30,9;372;44,8;151;18,2;7;0,8;43;5,2;0;0,0;1;0,1;
51;Rottsieper Höhe 14;664;549;19;530;183;34,5;240;45,3;66;12,4;5;0,9;36;6,8;0;0,0;0;0,0;
52;Rottsieper Höhe 14;774;615;24;591;203;34,4;247;41,8;116;19,6;4;0,7;19;3,2;1;0,2;1;0,2;
53;Berghauser Str. 45;836;684;27;657;255;38,8;244;37,1;112;17,1;2;0,3;41;6,2;0;0,0;3;0,5;
54;Unterkohlfurth 75;489;387;14;373;125;33,5;147;39,4;82;22,0;0;0,0;14;3,8;0;0,0;5;1,3;
55;Hintersudberger Str. 10;1.026;805;20;785;267;34,0;343;43,7;122;15,5;2;0,2;45;5,7;0;0,0;6;0,8;
56;Kölner Str. 41;851;694;12;682;256;37,5;248;36,4;156;22,9;10;1,5;9;1,3;1;0,1;2;0,3;
57;Kölner Str. 41;889;724;5;719;296;41,2;243;33,8;157;21,8;13;1,8;9;1,2;0;0,0;1;0,1;
58;Kölner Str. 41;1.188;963;20;943;388;41,1;327;34,7;180;19,1;19;2,0;21;2,2;4;0,4;4;0,4;
59;Gerstenstr. 19;1.159;878;6;872;392;45,0;254;29,1;182;20,9;14;1,6;25;2,9;2;0,2;3;0,3;
60;Reichsgrafenstr. 34;1.165;942;16;926;393;42,4;292;31,5;201;21,7;14;1,5;16;1,7;1;0,1;9;1,0;
61;Distelbeck 7;1.124;900;17;883;354;40,1;305;34,5;195;22,1;10;1,1;17;1,9;0;0,0;2;0,2;
62;Pflazgrafenstr. 22;1.001;772;12;760;362;47,6;186;24,5;189;24,9;10;1,3;7;0,9;1;0,1;5;0,7;
63;Blankstr., Hochhaus;1.136;926;5;921;386;41,9;217;23,6;292;31,7;6;0,7;10;1,1;1;0,1;9;1,0;
64;Blankstr. 5;1.256;1.027;19;1.008;442;43,9;321;31,9;215;21,3;15;1,5;13;1,3;1;0,1;1;0,1;
65;Ronsdorfer Str. 192;984;757;7;750;318;42,4;163;21,7;245;32,7;5;0,7;14;1,9;1;0,1;4;0,5;
66;Dorner Weg, Ecke Freudenberger Str.;947;706;8;698;367;52,6;105;15,0;208;29,8;2;0,3;10;1,4;0;0,0;6;0,9;
67;Distelbeck 7;1.176;928;14;914;366;40,0;308;33,7;207;22,6;11;1,2;12;1,3;1;0,1;9;1,0;
68;Döppersberg 36;1.357;1.104;19;1.085;467;43,0;332;30,6;247;22,8;19;1,8;12;1,1;2;0,2;6;0,6;
69;Bendahler Str. 56;1.100;871;13;858;355;41,4;299;34,9;175;20,4;4;0,5;14;1,6;0;0,0;11;1,3;
70;Friedrich-Ebert-Str. 238;1.106;848;12;836;250;29,9;456;54,5;92;11,0;3;0,4;31;3,7;0;0,0;4;0,5;
71;Nützenberger Str. 242;1.260;956;22;934;306;32,8;449;48,1;123;13,2;2;0,2;47;5,0;3;0,3;4;0,4;
72;Ernststr. 15;1.070;813;14;799;304;38,0;328;41,0;144;18,0;1;0,1;20;2,5;0;0,0;2;0,2;
73;Simonsstr. 34;973;773;16;757;229;30,2;375;49,5;130;17,2;1;0,1;17;2,2;0;0,0;5;0,7;
74;Moritzstr. 21;1.130;856;25;831;266;32,0;416;50,1;109;13,1;1;0,1;37;4,5;0;0,0;2;0,2;
75;Simonsstr. 34;1.265;960;11;949;368;38,8;371;39,1;183;19,3;8;0,8;15;1,6;1;0,1;3;0,3;
76;Aue 93;929;703;5;698;277;39,7;257;36,8;120;17,2;20;2,9;20;2,9;2;0,3;2;0,3;
77;Steinbeck 48;1.020;823;13;810;276;34,1;347;42,8;157;19,4;3;0,4;21;2,6;1;0,1;5;0,6;
78;Viehhofstr. 125;811;607;15;592;201;34,0;223;37,7;135;22,8;3;0,5;23;3,9;2;0,3;5;0,8;
79;Königshöher Weg 7;550;440;13;427;141;33,0;206;48,2;59;13,8;1;0,2;18;4,2;0;0,0;2;0,5;
80;Neviandstr. 85;1.158;755;29;726;260;35,8;353;48,6;90;12,4;7;1,0;11;1,5;1;0,1;4;0,6;
81;Kyffhäuser Str. 98;1.082;872;24;848;247;29,1;425;50,1;130;15,3;5;0,6;37;4,4;1;0,1;3;0,3;
82;Nützenberger Str. 288;657;535;9;526;233;44,3;123;23,4;158;30,0;5;0,9;7;1,3;0;0,0;0;0,0;
83;Bahnhofsgaststätte Ottenbruch;777;584;3;581;279;48,0;129;22,2;147;25,3;1;0,2;24;4,1;0;0,0;1;0,2;
84;Nützenberger Str. 288;841;657;20;637;200;31,4;330;51,8;65;10,2;0;0,0;37;5,8;0;0,0;5;0,8;
85;Friedrich-Ebert-Str. 348;1.119;848;31;817;237;29,0;464;56,8;91;11,1;0;0,0;19;2,3;2;0,2;4;0,5;
86;Bismarckstr. 90;812;599;10;589;308;52,3;111;18,9;160;27,2;2;0,3;6;1,0;2;0,3;0;0,0;
87;Viktoriastr. 17;1.057;781;11;770;394;51,2;148;19,2;199;25,8;5;0,7;19;2,5;1;0,1;4;0,5;
88;Bayreuther Str. 35;978;730;14;716;348;48,6;174;24,3;181;25,3;3;0,4;8;1,1;0;0,0;2;0,3;
89;Funckstr. 37;747;564;6;558;255;45,7;132;23,7;150;26,9;1;0,2;11;2,0;0;0,0;9;1,6;
90;Bayreuther Str. 35;1.169;889;8;881;372;42,2;305;34,6;179;20,3;3;0,3;15;1,7;0;0,0;7;0,8;
91;Katernberger Schulweg 50;1.176;955;26;929;378;40,7;326;35,1;184;19,8;7;0,8;29;3,1;0;0,0;5;0,5;
92;Wilhelm-Raabe-Weg 35;1.090;873;12;861;325;37,8;315;36,6;190;22,1;3;0,3;23;2,7;0;0,0;5;0,6;
93;Nüller Str. 98;1.071;830;15;815;338;41,5;286;35,1;145;17,8;1;0,1;38;4,7;0;0,0;7;0,9;
94;Katernberger Schulweg 50;1.081;804;10;794;386;48,6;197;24,8;193;24,3;1;0,1;11;1,4;1;0,1;5;0,6;
95;Nevigeser Str. 412;1.141;859;38;821;278;33,9;316;38,5;194;23,6;3;0,4;27;3,3;1;0,1;2;0,2;
96;Malerstr. 11;935;718;18;700;307;43,9;234;33,4;132;18,9;7;1,0;17;2,4;0;0,0;3;0,4;
97;Hainstr. 35;230;173;6;167;118;70,7;11;6,6;35;21,0;1;0,6;2;1,2;0;0,0;0;0,0;
98;In der Beek 163;665;524;16;508;220;43,3;140;27,6;132;26,0;2;0,4;8;1,6;2;0,4;4;0,8;
99;Nevigeser Str. 306;1.149;907;28;879;309;35,1;344;39,1;181;20,6;9;1,0;24;2,7;0;0,0;12;1,4;
100;Gertrudenstr. 20;1.144;876;25;851;308;36,2;412;48,4;104;12,2;3;0,3;22;2,6;0;0,0;2;0,2;
101;Charlottenstr. 32;956;774;18;756;290;38,4;325;43,0;113;14,9;3;0,4;22;2,9;1;0,1;2;0,3;
102;Schusterstr. 24;1.210;1.005;23;982;405;41,2;360;36,7;176;17,9;10;1,0;26;2,6;0;0,0;5;0,5;
103;Marienstr. 64;1.104;889;28;861;259;30,1;461;53,5;98;11,4;2;0,2;38;4,4;0;0,0;3;0,3;
104;Marienstr. 64;1.251;1.032;26;1.006;323;32,1;522;51,9;125;12,4;1;0,1;35;3,5;0;0,0;0;0,0;
