Bundestagswahl am 5. Oktober 1980 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;Bürgerpartei;;DKP;;DIE GRÜNEN;;KBW;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

77;Friedrich-Ebert-Str. 414;299;177;0;177;115;65,0;37;20,9;24;13,6;0;0,0;0;0,0;1;0,6;0;0,0;
78;Donarstr. 2;975;722;8;714;386;54,1;217;30,4;100;14,0;0;0,0;1;0,1;10;1,4;0;0,0;
79;Donarstr. 2;929;718;8;710;302;42,5;267;37,6;127;17,9;0;0,0;2;0,3;12;1,7;0;0,0;
80;Donarstr. 2;990;730;6;724;278;38,4;308;42,5;124;17,1;1;0,1;1;0,1;12;1,7;0;0,0;
81;Alte Dorfstr. 24;1.121;804;5;799;333;41,7;325;40,7;125;15,6;3;0,4;3;0,4;10;1,2;0;0,0;
82;Alte Dorfstr. 24;821;587;4;583;278;47,7;212;36,4;80;13,7;0;0,0;7;1,2;6;1,0;0;0,0;
83;Alte Dorfstr. 24;1.031;800;6;794;383;48,2;280;35,3;114;14,4;1;0,1;2;0,2;13;1,6;1;0,1;
84;Sillerstr. 13;760;543;5;538;315;58,5;135;25,1;79;14,7;0;0,0;1;0,2;8;1,5;0;0,0;
85;Varresbecker Str. 55;760;558;3;555;254;45,8;194;35,0;93;16,8;0;0,0;5;0,9;9;1,6;0;0,0;
86;Benrather Str. 23;854;654;6;648;366;56,5;182;28,1;94;14,5;0;0,0;1;0,1;5;0,8;0;0,0;
87;Düsseldorfer Str. 28;1.429;1.102;8;1.094;487;44,5;376;34,4;215;19,6;1;0,1;3;0,3;12;1,1;0;0,0;
88;Funckstr. 94;640;472;0;472;180;38,1;205;43,4;73;15,5;2;0,4;0;0,0;12;2,5;0;0,0;
89;Am Dönberg 46;238;179;0;179;48;26,8;96;53,6;30;16,8;0;0,0;0;0,0;5;2,8;0;0,0;
90;Am Dönberg 46;1.286;1.009;5;1.004;331;33,0;499;49,7;160;15,9;2;0,2;2;0,2;10;1,0;0;0,0;
91;Höhenstr. 56;1.151;893;6;887;272;30,7;453;51,1;145;16,4;0;0,0;0;0,0;17;1,9;0;0,0;
92;Kurt-Schumacher-Str. 207;1.187;928;4;924;348;37,7;422;45,7;140;15,2;2;0,2;1;0,1;11;1,2;0;0,0;
93;Röttgen 110;1.027;722;6;716;257;35,9;341;47,6;108;15,1;1;0,1;3;0,4;5;0,7;1;0,1;
94;Kurt-Schumacher-Str. 207;1.277;983;5;978;439;44,9;414;42,3;111;11,3;2;0,2;0;0,0;12;1,2;0;0,0;
95;Uellendahler Str. 540;583;429;0;429;177;41,3;168;39,2;73;17,0;1;0,2;2;0,5;8;1,9;0;0,0;
96;Uellendahler Str. 400;845;651;4;647;303;46,8;224;34,6;108;16,7;1;0,1;2;0,3;8;1,2;1;0,1;
97;Uellendahler Str. 400;934;705;6;699;310;44,4;272;38,9;103;14,7;1;0,1;0;0,0;13;1,9;0;0,0;
98;Röttgen 110;876;676;4;672;293;43,6;256;38,1;105;15,6;4;0,6;6;0,9;8;1,2;0;0,0;
99;Röttgen 110;1.355;1.038;4;1.034;485;46,9;404;39,1;128;12,4;2;0,2;2;0,2;11;1,1;2;0,2;
100;Leipziger Str. 1;940;741;6;735;298;40,5;309;42,0;118;16,1;0;0,0;1;0,1;9;1,2;0;0,0;
101;Kohlstr. 10;1.010;750;8;742;379;51,1;254;34,2;100;13,5;1;0,1;0;0,0;8;1,1;0;0,0;
102;Opphofer Str. 47;596;476;4;472;289;61,2;112;23,7;60;12,7;0;0,0;7;1,5;4;0,8;0;0,0;
103;Vogelsangstr. 50;534;390;6;384;181;47,1;145;37,8;49;12,8;0;0,0;3;0,8;6;1,6;0;0,0;
104;Vogelsangstr. 50;973;750;3;747;321;43,0;308;41,2;105;14,1;1;0,1;3;0,4;9;1,2;0;0,0;
105;Am Mirker Bach 1;931;692;1;691;268;38,8;313;45,3;93;13,5;1;0,1;3;0,4;13;1,9;0;0,0;
106;Helmholtzstr. 40;1.169;858;3;855;406;47,5;301;35,2;129;15,1;4;0,5;6;0,7;9;1,1;0;0,0;
107;Kohlstr. 122;810;608;9;599;291;48,6;206;34,4;87;14,5;2;0,3;1;0,2;12;2,0;0;0,0;
108;Kohlstr. 122;1.137;871;2;869;512;58,9;211;24,3;125;14,4;0;0,0;10;1,1;11;1,3;0;0,0;
109;Hainstr. 192;1.564;1.178;7;1.171;511;43,6;451;38,5;190;16,2;1;0,1;11;0,9;7;0,6;0;0,0;
110;Hainstr. 192;877;658;7;651;242;37,2;286;43,9;112;17,2;3;0,5;3;0,5;5;0,8;0;0,0;
111;Birkenhöhe 60;995;747;3;744;228;30,6;350;47,0;143;19,2;0;0,0;0;0,0;23;3,1;0;0,0;
112;Birkenhöhe 60;1.311;1.000;3;997;428;42,9;399;40,0;156;15,7;2;0,2;3;0,3;9;0,9;0;0,0;
113;Birkenhöhe 60;1.472;1.106;7;1.099;446;40,6;419;38,1;220;20,0;0;0,0;0;0,0;14;1,3;0;0,0;
114;Katernberger Schulweg 50;538;374;0;374;84;22,5;205;54,8;71;19,0;1;0,3;6;1,6;7;1,9;0;0,0;
115;Katernberger Schulweg 50;790;603;2;601;284;47,2;232;38,6;76;12,7;0;0,0;2;0,3;7;1,2;0;0,0;
116;Kruppstr. 145;1.103;810;6;804;349;43,4;314;39,0;130;16,2;1;0,1;1;0,1;8;1,0;1;0,1;
117;Kruppstr. 145;991;665;5;660;201;30,4;346;52,4;107;16,2;1;0,1;0;0,0;4;0,6;1;0,1;
118;Bayreuther Str. 35;1.135;906;4;902;345;38,2;408;45,2;125;13,9;0;0,0;3;0,3;21;2,3;0;0,0;
119;In der Beek 163;1.255;954;10;944;242;25,6;514;54,5;171;18,1;1;0,1;2;0,2;13;1,4;1;0,1;
120;Blücherstr. 19;1.184;868;5;863;448;51,9;280;32,4;120;13,9;3;0,3;1;0,1;11;1,3;0;0,0;
121;Yorckstr. 28;1.359;981;12;969;510;52,6;329;34,0;110;11,3;1;0,1;0;0,0;19;2,0;0;0,0;
122;Yorckstr. 28;901;735;6;729;340;46,6;274;37,6;98;13,4;1;0,1;2;0,3;14;1,9;0;0,0;
123;Blücherstr. 19;1.066;824;3;821;432;52,6;286;34,8;93;11,3;1;0,1;2;0,2;7;0,8;0;0,0;
124;Brucher Str. 10;843;637;5;632;327;51,7;215;34,0;80;12,7;0;0,0;5;0,8;4;0,6;1;0,2;
125;Rottscheidter Str. 6;733;539;4;535;218;40,8;231;43,2;72;13,5;1;0,2;0;0,0;12;2,2;1;0,2;
126;Brucher Str. 10;764;581;6;575;268;46,6;202;35,1;88;15,3;2;0,3;2;0,3;13;2,3;0;0,0;
127;Nocken 6;933;683;3;680;208;30,6;340;50,0;119;17,5;2;0,3;0;0,0;11;1,6;0;0,0;
128;Dasnöckel 16;1.439;1.137;16;1.121;500;44,6;410;36,6;190;16,9;1;0,1;4;0,4;16;1,4;0;0,0;
129;Dasnöckel 16;973;776;6;770;380;49,4;264;34,3;119;15,4;1;0,1;0;0,0;5;0,7;1;0,1;
130;Elfenhang 4;1.192;952;6;946;414;43,8;381;40,3;131;13,8;1;0,1;5;0,5;13;1,4;1;0,1;
