Bundestagswahl am 5. Oktober 1980 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;Bürgerpartei;;DKP;;DIE GRÜNEN;;KBW;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

323;Echoer Str. 46;857;655;3;652;282;43,2;291;44,6;62;9,5;0;0,0;3;0,5;14;2,1;0;0,0;
324;Echoer Str. 46;1.273;956;7;949;381;40,1;444;46,8;108;11,4;0;0,0;1;0,1;15;1,6;0;0,0;
325;Remscheider Str. 50;931;721;6;715;397;55,5;238;33,3;63;8,8;0;0,0;3;0,4;14;2,0;0;0,0;
326;Lüttringhauser Str. 130;1.261;921;5;916;419;45,7;414;45,2;74;8,1;0;0,0;0;0,0;9;1,0;0;0,0;
401;BW-Bezirk Elberfeld-Mitte;x;1.568;3;1.565;636;40,6;661;42,2;233;14,9;1;0,1;3;0,2;31;2,0;0;0,0;
402;BW-Bezirk Hombüchel;x;926;2;924;458;49,6;343;37,1;102;11,0;1;0,1;2;0,2;16;1,7;2;0,2;
403;BW-Bezirk Höchsten;x;756;5;751;348;46,3;290;38,6;82;10,9;1;0,1;4;0,5;26;3,5;0;0,0;
404;BW-Bezirk Ostersbaum;x;1.052;1;1.051;480;45,7;401;38,1;142;13,5;1;0,1;4;0,4;23;2,2;0;0,0;
405;BW-Bezirk Grifflenberg;x;2.068;9;2.059;716;34,8;952;46,2;354;17,2;3;0,1;3;0,1;30;1,5;1;0,1;
406;BW-Bezirk Friedrichsberg;x;1.575;9;1.566;703;44,9;651;41,6;176;11,2;2;0,1;3;0,2;31;2,0;0;0,0;
411;BW-Bezirk Brill-Arrenberg;x;1.086;6;1.080;396;36,7;499;46,2;159;14,7;1;0,1;3;0,3;22;2,0;0;0,0;
412;BW-Bezirk Nützenberg-Zoo;x;1.048;5;1.043;462;44,3;403;38,6;144;13,8;3;0,3;5;0,5;26;2,5;0;0,0;
413;BW-Bezirk Sonnborn-Varresbeck;x;1.097;3;1.094;407;37,2;490;44,8;173;15,8;0;0,0;5;0,5;19;1,7;0;0,0;
421;BW-Bezirk Uellendahl-Ost;x;1.575;9;1.566;551;35,2;715;45,7;268;17,1;3;0,2;5;0,3;23;1,5;1;0,1;
422;BW-Bezirk Uellendahl-West;x;1.381;5;1.376;568;41,3;583;42,4;190;13,8;2;0,1;2;0,1;31;2,2;0;0,0;
423;BW-Bezirk Katernberg;x;1.771;9;1.762;514;29,2;919;52,2;282;16,0;2;0,1;3;0,2;40;2,3;2;0,1;
431;BW-Bezirk Vohwinkel-Ost;x;1.194;3;1.191;508;42,6;493;41,4;153;12,8;3;0,2;7;0,6;26;2,2;1;0,1;
432;BW-Bezirk Vohwinkel-West;x;755;1;754;279;37,0;359;47,6;91;12,1;5;0,7;1;0,1;19;2,5;0;0,0;
433;BW-Bezirk Vohwinkel-Nord;x;762;5;757;370;48,9;267;35,3;104;13,7;1;0,1;1;0,1;13;1,7;1;0,1;
441;BW-Bezirk Cronenberg-Süd;x;1.094;0;1.094;409;37,4;512;46,8;152;13,9;1;0,1;2;0,2;18;1,6;0;0,0;
442;BW-Bezirk Cronenberg-Nord;x;1.063;3;1.060;391;36,9;500;47,2;145;13,7;2;0,2;0;0,0;22;2,1;0;0,0;
451;BW-Bezirk Barmen-Mitte;x;1.268;6;1.262;619;49,0;515;40,8;105;8,3;0;0,0;2;0,2;21;1,7;0;0,0;
452;BW-Bezirk Sedansberg;x;936;4;932;484;51,9;353;37,9;76;8,2;0;0,0;2;0,2;17;1,8;0;0,0;
453;BW-Bezirk Loh;x;1.215;3;1.212;582;48,0;495;40,8;106;8,8;0;0,0;7;0,6;22;1,8;0;0,0;
454;BW-Bezirk Unterbarmen-Clausen;x;1.081;3;1.078;446;41,4;473;43,9;117;10,8;0;0,0;2;0,2;40;3,7;0;0,0;
455;BW-Bezirk Hatzfeld;x;1.081;2;1.079;496;46,0;476;44,1;84;7,8;0;0,0;1;0,1;22;2,0;0;0,0;
456;BW-Bezirk Kothen-Lichtenplatz;x;1.388;5;1.383;565;40,9;655;47,4;124;9,0;0;0,0;5;0,4;34;2,5;0;0,0;
461;BW-Bezirk Oberbarmen;x;936;2;934;492;52,7;348;37,3;71;7,6;0;0,0;5;0,5;18;1,9;0;0,0;
462;BW-Bezirk Wichlinghausen-Süd;x;1.012;4;1.008;550;54,6;357;35,4;80;7,9;0;0,0;2;0,2;19;1,9;0;0,0;
463;BW-Bezirk Wichlinghausen-Nord;x;954;0;954;478;50,1;384;40,2;75;7,9;0;0,0;1;0,1;16;1,7;0;0,0;
464;BW-Bezirk Nächstebreck;x;1.165;3;1.162;530;45,6;501;43,1;99;8,5;0;0,0;5;0,4;27;2,3;0;0,0;
471;BW-Bezirk Heckinghausen-West;x;1.653;9;1.644;678;41,2;764;46,5;164;10,0;0;0,0;6;0,4;32;1,9;0;0,0;
472;BW-Bezirk Heckinghausen-Ost;x;1.039;5;1.034;543;52,5;396;38,3;74;7,2;0;0,0;4;0,4;17;1,6;0;0,0;
481;BW-Bezirk Langerfeld-Mitte;x;843;2;841;427;50,8;337;40,1;59;7,0;0;0,0;3;0,4;15;1,8;0;0,0;
482;BW-Bezirk Langerfeld-Nord;x;510;1;509;281;55,2;184;36,1;32;6,3;0;0,0;6;1,2;6;1,2;0;0,0;
483;BW-Bezirk Langerfeld-Süd-Beyenburg;x;990;7;983;461;46,9;419;42,6;77;7,8;0;0,0;2;0,2;24;2,4;0;0,0;
491;BW-Bezirk Ronsdorf-Ost;x;1.181;2;1.179;511;43,3;523;44,4;115;9,8;0;0,0;4;0,3;26;2,2;0;0,0;
492;BW-Bezirk Ronsdorf-West;x;1.343;4;1.339;580;43,3;591;44,1;130;9,7;0;0,0;7;0,5;31;2,3;0;0,0;
Ingesamt;;286.898;252.807;2.048;250.759;120.959;48,2;94.175;37,6;30.482;12,2;171;0,1;999;0,4;3.928;1,6;45;0,0;
