Bundestagswahl am 27. September 2009 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;DIE LINKE;;NPD;;MLPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

91;Radenberg 12;1.223;853;14;839;292;34,8;327;39,0;97;11,6;57;6,8;62;7,4;4;0,5;0;0,0;
92;Heuweg 20;794;546;7;539;228;42,3;165;30,6;28;5,2;57;10,6;59;10,9;1;0,2;1;0,2;
93;Nathrather Str. 156;1.435;766;22;744;293;39,4;208;28,0;57;7,7;67;9,0;105;14,1;13;1,8;1;0,1;
94;Tescher Str. 10;1.371;699;16;683;267;39,1;227;33,2;41;6,0;50;7,3;90;13,2;8;1,2;0;0,0;
95;Vohwinkeler Feld 39;1.337;710;18;692;240;34,7;246;35,5;62;9,0;50;7,2;75;10,8;17;2,5;2;0,3;
96;Zur Waldkampfbahn 8;1.678;1.035;13;1.022;441;43,1;306;29,9;59;5,8;108;10,6;92;9,0;15;1,5;1;0,1;
97;Schöllerweg 11;319;207;0;207;88;42,5;60;29,0;20;9,7;19;9,2;17;8,2;2;1,0;1;0,5;
98;Ladestr. 13;738;436;6;430;180;41,9;127;29,5;34;7,9;38;8,8;41;9,5;9;2,1;1;0,2;
99;Herichhauser Str. 21b;927;539;7;532;175;32,9;229;43,0;40;7,5;39;7,3;41;7,7;8;1,5;x;0,0;
100;Hauptstr. 102;1.335;823;8;815;255;31,3;342;42,0;73;9,0;68;8,3;66;8,1;11;1,4;x;0,0;
101;Berghauser Str. 45;1.325;882;11;871;289;33,2;369;42,4;72;8,3;68;7,8;62;7,1;11;1,3;x;0,0;
102;Rottsieper Höhe 14;1.382;879;15;864;279;32,3;339;39,2;73;8,4;80;9,3;69;8,0;24;2,8;x;0,0;
103;Riedelstr. 34;1.043;630;6;624;191;30,6;254;40,7;40;6,4;73;11,7;59;9,5;7;1,1;x;0,0;
104;Teschensudberger Str. 14;1.117;754;7;747;233;31,2;322;43,1;61;8,2;75;10,0;51;6,8;5;0,7;x;0,0;
105;Kohlfurther Brücke 79;428;268;4;264;88;33,3;98;37,1;25;9,5;22;8,3;23;8,7;8;3,0;x;0,0;
106;Rathausplatz 4;922;586;6;580;219;37,8;204;35,2;41;7,1;69;11,9;43;7,4;4;0,7;x;0,0;
107;Herichhauser Str. 21b;1.171;787;6;781;263;33,7;293;37,5;74;9,5;97;12,4;46;5,9;8;1,0;x;0,0;
108;Küllenhahner Str. 145;1.463;946;12;934;292;31,3;374;40,0;72;7,7;105;11,2;81;8,7;10;1,1;x;0,0;
109;Theishahner Str. 35;858;514;8;506;181;35,8;177;35,0;39;7,7;60;11,9;33;6,5;16;3,2;x;0,0;
110;Neuenhaus 96;1.232;768;6;762;288;37,8;287;37,7;55;7,2;63;8,3;65;8,5;4;0,5;x;0,0;
111;Cronenfelder Str. 26;1.304;781;12;769;246;32,0;307;39,9;68;8,8;77;10,0;61;7,9;10;1,3;x;0,0;
112;Mastweg 29;1.152;626;4;622;229;36,8;188;30,2;37;6,0;61;9,8;86;13,8;21;3,4;x;0,0;
113;Cronenfelder Str. 26;1.331;837;14;823;257;31,2;321;39,0;73;8,9;86;10,4;72;8,8;14;1,7;x;0,0;
114;Mühlenweg 41;885;378;9;369;113;30,6;119;32,2;30;8,1;26;7,0;74;20,1;7;1,9;0;0,0;
115;Hohenstein 123;1.228;566;11;555;185;33,3;170;30,6;35;6,3;44;7,9;92;16,6;23;4,1;6;1,1;
116;Zur Schafbrücke 30;1.098;401;2;399;122;30,6;131;32,8;36;9,0;38;9,5;59;14,8;11;2,8;2;0,5;
117;Bachstr. 15;1.058;441;9;432;155;35,9;130;30,1;38;8,8;23;5,3;73;16,9;12;2,8;1;0,2;
118;Winklerstr. 5;1.191;523;9;514;213;41,4;163;31,7;35;6,8;34;6,6;64;12,4;5;1,0;0;0,0;
119;Zeughausstr. 26;1.246;644;10;634;221;34,9;226;35,6;52;8,2;60;9,5;62;9,8;12;1,9;1;0,2;
120;Alarichstr. 44;1.101;584;16;568;236;41,5;150;26,4;39;6,9;50;8,8;77;13,6;14;2,5;2;0,3;
121;Sankt-Martins-Weg 1;1.128;555;7;548;261;47,6;116;21,2;36;6,6;51;9,3;73;13,3;10;1,8;1;0,2;
122;Steinweg 20;921;441;5;436;150;34,4;135;31,0;26;6,0;41;9,4;63;14,4;20;4,6;1;0,2;
123;Carnaper Str. 13;1.197;541;11;530;188;35,5;181;34,1;40;7,5;39;7,4;61;11,5;18;3,4;3;0,6;
124;Thorner Str. 15;1.268;650;8;642;268;41,7;158;24,6;53;8,3;66;10,3;78;12,2;18;2,8;1;0,2;
125;Eichenstr. 59;1.036;549;11;538;191;35,5;155;28,8;48;8,9;56;10,4;76;14,1;11;2,0;1;0,2;
126;Eichenstr. 59;1.179;616;3;613;276;45,0;157;25,6;41;6,7;36;5,9;85;13,9;17;2,8;1;0,2;
127;Eichenstr. 59;1.295;656;15;641;277;43,2;169;26,4;41;6,4;52;8,1;84;13,1;16;2,5;2;0,3;
128;Unterdörnen 1;1.078;514;6;508;202;39,8;127;25,0;27;5,3;30;5,9;109;21,5;11;2,2;2;0,4;
129;Martin-Luther-Str. 6;1.249;640;10;630;233;37,0;195;30,9;48;7,6;53;8,4;83;13,2;16;2,5;2;0,3;
130;Siegesstr. 134;1.359;691;11;680;254;37,4;169;24,9;57;8,4;85;12,5;101;14,8;11;1,6;3;0,4;
131;Heusnerstr. 40;1.214;665;7;658;259;39,4;202;30,7;39;5,9;76;11,6;70;10,6;11;1,7;1;0,1;
132;Thorner Str. 15;1.270;547;9;538;202;37,5;162;30,1;38;7,1;37;6,9;86;16,0;12;2,2;1;0,2;
133;Rudolfstr. 120;838;443;4;439;187;42,6;103;23,5;21;4,8;75;17,1;46;10,5;7;1,6;0;0,0;
134;Rudolfstr. 120;844;426;5;421;158;37,5;114;27,1;40;9,5;30;7,1;65;15,4;13;3,1;1;0,2;
135;Hünefeldstr. 54a;971;545;4;541;212;39,2;111;20,5;41;7,6;86;15,9;80;14,8;9;1,7;2;0,4;
136;Wittensteinstr. 80;1.293;649;12;637;226;35,5;164;25,8;29;4,5;77;12,1;128;20,1;8;1,3;5;0,8;
137;Hatzfelder Str. 261;508;298;2;296;78;26,4;136;46,0;30;10,1;31;10,5;17;5,7;4;1,4;0;0,0;
138;Friedhofstr. 11;1.467;635;14;621;221;35,6;202;32,5;39;6,3;41;6,6;101;16,3;16;2,6;1;0,2;
139;Klingelholl 80;1.246;712;8;704;268;38,1;217;30,8;36;5,1;83;11,8;90;12,8;10;1,4;0;0,0;
140;Schützenstr. 34;1.161;532;10;522;199;38,1;155;29,7;42;8,1;39;7,5;80;15,3;5;1,0;2;0,4;
141;Wilkhausstr. 133a;1.278;719;7;712;289;40,6;225;31,6;55;7,7;61;8,6;66;9,3;14;2,0;2;0,3;
142;Wilkhausstr. 133a;1.240;681;9;672;252;37,5;240;35,7;50;7,4;47;7,0;66;9,8;15;2,2;2;0,3;
143;Meckelstr. 106;1.254;663;7;656;263;40,1;211;32,2;43;6,5;83;12,7;51;7,8;4;0,6;1;0,1;
144;Meckelstr. 106;1.256;632;8;624;219;35,1;158;25,3;43;6,9;98;15,7;91;14,6;10;1,6;5;0,8;
145;Marper Schulweg 6;1.140;645;1;644;152;23,6;377;58,5;59;9,2;37;5,8;18;2,8;1;0,2;0;0,0;
146;Marper Schulweg 6;1.339;805;7;798;268;33,6;313;39,2;75;9,4;81;10,2;55;6,9;4;0,5;2;0,2;
147;Bundeshöhe 6;631;447;6;441;127;28,8;204;46,3;44;10,0;47;10,7;11;2,5;8;1,8;0;0,0;
148;Hesselnberg 42;996;529;5;524;214;40,8;127;24,2;32;6,1;62;11,8;80;15,3;8;1,5;1;0,2;
149;Hesselnberg 42;1.070;515;7;508;194;38,2;123;24,2;42;8,3;67;13,2;75;14,8;6;1,2;1;0,2;
150;Olgastr. 8;1.477;616;12;604;249;41,2;179;29,6;43;7,1;35;5,8;87;14,4;11;1,8;0;0,0;
151;Heinrich-Böll-Str. 136;1.120;508;7;501;183;36,5;148;29,5;41;8,2;33;6,6;75;15,0;19;3,8;2;0,4;
152;Wichlinghauser Str. 29;1.145;460;8;452;164;36,3;134;29,6;40;8,8;29;6,4;70;15,5;14;3,1;1;0,2;
153;Stennert 8;858;430;7;423;190;44,9;128;30,3;22;5,2;19;4,5;55;13,0;9;2,1;0;0,0;
154;Wikingerstr. 23;819;358;9;349;145;41,5;79;22,6;24;6,9;37;10,6;51;14,6;12;3,4;1;0,3;
155;Bartholomäusstr. 70;1.161;573;7;566;198;35,0;197;34,8;50;8,8;35;6,2;69;12,2;16;2,8;1;0,2;
156;Matthäusstr. 24;1.264;624;14;610;242;39,7;154;25,2;55;9,0;47;7,7;91;14,9;17;2,8;4;0,7;
157;Bachstr. 15;996;448;14;434;178;41,0;103;23,7;48;11,1;25;5,8;67;15,4;13;3,0;0;0,0;
158;Germanenstr. 36;999;471;5;466;183;39,3;124;26,6;37;7,9;34;7,3;77;16,5;10;2,1;1;0,2;
159;Germanenstr. 36;895;381;8;373;134;35,9;101;27,1;32;8,6;28;7,5;71;19,0;6;1,6;1;0,3;
