Bundestagswahl am 27. September 2009 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;DIE LINKE;;NPD;;MLPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

42041;Briefwahllokal 42041;x;703;21;682;144;21,1;327;48,0;59;8,7;98;14,4;42;6,2;12;1,8;x;0,0;
42141;Briefwahllokal 42141;x;710;7;703;180;25,6;315;44,8;78;11,1;94;13,4;34;4,8;2;0,3;x;0,0;
42242;Briefwahllokal 42242;x;1.071;9;1.062;257;24,2;474;44,6;112;10,6;129;12,2;77;7,2;13;1,2;x;0,0;
42351;Briefwahllokal 42351;x;960;11;949;322;33,9;345;36,4;104;11,0;68;7,2;100;10,5;8;0,8;2;0,2;
42452;Briefwahllokal 42452;x;616;4;612;214;35,0;197;32,2;54;8,8;71;11,6;65;10,6;10;1,6;1;0,2;
42553;Briefwahllokal 42553;x;830;15;815;295;36,2;258;31,7;79;9,7;90;11,0;75;9,2;17;2,1;1;0,1;
42654;Briefwahllokal 42654;x;917;9;908;308;33,9;301;33,1;82;9,0;114;12,6;90;9,9;11;1,2;2;0,2;
42755;Briefwahllokal 42755;x;1.045;13;1.032;333;32,3;419;40,6;96;9,3;89;8,6;81;7,8;12;1,2;2;0,2;
42856;Briefwahllokal 42856;x;787;5;782;204;26,1;391;50,0;66;8,4;88;11,2;31;4,0;2;0,3;0;0,0;
42956;Briefwahllokal 42956;x;636;8;628;210;33,4;226;36,0;63;10,0;62;9,9;56;8,9;11;1,8;0;0,0;
43061;Briefwahllokal 43061;x;543;11;532;204;38,4;167;31,4;38;7,1;41;7,7;61;11,5;20;3,8;1;0,2;
43162;Briefwahllokal 43162;x;605;9;596;200;33,6;213;35,7;47;7,9;45;7,5;74;12,4;17;2,9;0;0,0;
43263;Briefwahllokal 43263;x;852;9;843;292;34,6;347;41,2;64;7,6;65;7,7;61;7,2;11;1,3;3;0,4;
43364;Briefwahllokal 43364;x;698;7;691;191;27,6;309;44,7;82;11,9;56;8,1;46;6,7;7;1,0;0;0,0;
43464;Briefwahllokal 43464;x;615;4;611;175;28,6;283;46,3;53;8,7;59;9,7;35;5,7;6;1,0;0;0,0;
43571;Briefwahllokal 43571;x;733;7;726;250;34,4;263;36,2;63;8,7;85;11,7;54;7,4;10;1,4;1;0,1;
43671;Briefwahllokal 43671;x;623;9;614;164;26,7;311;50,6;41;6,7;55;9,0;38;6,2;5;0,8;0;0,0;
43772;Briefwahllokal 43772;x;759;12;747;251;33,6;262;35,1;54;7,2;79;10,6;80;10,7;20;2,7;1;0,1;
43881;Briefwahllokal 43881;x;892;12;880;297;33,8;330;37,5;82;9,3;64;7,3;100;11,4;7;0,8;0;0,0;
43982;Briefwahllokal 43982;x;590;4;586;194;33,1;262;44,7;45;7,7;32;5,5;46;7,8;6;1,0;1;0,2;
44082;Briefwahllokal 44082;x;817;9;808;254;31,4;355;43,9;75;9,3;78;9,7;39;4,8;7;0,9;0;0,0;
44191;Briefwahllokal 44191;x;1.018;11;1.007;301;29,9;468;46,5;79;7,8;88;8,7;64;6,4;7;0,7;x;0,0;
44292;Briefwahllokal 44292;x;733;9;724;200;27,6;314;43,4;65;9,0;82;11,3;54;7,5;9;1,2;x;0,0;
44392;Briefwahllokal 44392;x;694;6;688;184;26,7;327;47,5;71;10,3;65;9,4;37;5,4;4;0,6;x;0,0;
Ingesamt;;250.614;170.912;2.438;168.474;59.264;35,2;59.289;35,2;14.025;8,3;15.879;9,4;17.041;10,1;2.689;1,6;287;0,2;
