Bundestagswahl am 22. September 2013 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;FDP;;GRÜNE;;DIE LINKE;;PIRATEN;;NPD;;MLPD;;AfD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

66;Am Mirker Bach 1;840;465;14;451;166;36,8;186;41,2;9;2,0;44;9,8;27;6,0;13;2,9;6;1,3;x;0,0;x;0,0;
67;Vogelsangstr. 50;1.156;638;14;624;214;34,3;246;39,4;16;2,6;68;10,9;46;7,4;18;2,9;16;2,6;x;0,0;x;0,0;
68;Hainstr. 192;1.361;889;8;881;390;44,3;311;35,3;43;4,9;65;7,4;39;4,4;20;2,3;13;1,5;x;0,0;x;0,0;
69;Kruppstr. 139;1.314;676;17;659;272;41,3;251;38,1;15;2,3;50;7,6;44;6,7;20;3,0;7;1,1;x;0,0;x;0,0;
70;Birkenhöhe 60-62;1.222;736;10;726;343;47,2;247;34,0;33;4,5;51;7,0;33;4,5;8;1,1;11;1,5;x;0,0;x;0,0;
71;Hainstr. 192;1.262;795;13;782;379;48,5;276;35,3;39;5,0;39;5,0;24;3,1;19;2,4;6;0,8;x;0,0;x;0,0;
72;Birkenhöhe 60-62;1.021;627;9;618;258;41,8;239;38,7;32;5,2;36;5,8;42;6,8;7;1,1;4;0,7;x;0,0;x;0,0;
73;In den Birken 56;1.118;614;4;610;289;47,4;202;33,1;27;4,4;40;6,6;32;5,2;14;2,3;6;1,0;x;0,0;x;0,0;
74;Kruppstr. 139;730;482;3;479;193;40,3;201;42,0;11;2,3;27;5,6;32;6,7;8;1,7;7;1,5;x;0,0;x;0,0;
75;Kruppstr. 139;802;496;3;493;221;44,8;170;34,5;22;4,5;46;9,3;17;3,5;11;2,2;6;1,2;x;0,0;x;0,0;
76;Bayreuther Str. 35;949;557;8;549;244;44,4;187;34,1;23;4,2;34;6,2;32;5,8;23;4,2;6;1,1;x;0,0;x;0,0;
77;Pahlkestr. 250;926;576;6;570;305;53,5;168;29,5;32;5,6;44;7,7;11;1,9;7;1,2;3;0,5;x;0,0;x;0,0;
78;Birkenhöhe 60-62;1.229;753;5;748;348;46,5;276;36,9;38;5,1;33;4,4;34;4,5;13;1,7;6;0,8;x;0,0;x;0,0;
79;Birkenhöhe 60-62;1.073;598;13;585;219;37,4;237;40,5;20;3,4;21;3,6;59;10,1;14;2,4;15;2,6;x;0,0;x;0,0;
80;Lessingstr. 18;1.291;785;18;767;236;30,8;361;47,1;11;1,4;60;7,8;52;6,8;27;3,5;20;2,6;x;0,0;x;0,0;
81;Blücherstr. 19;1.301;692;16;676;263;38,9;253;37,4;33;4,9;44;6,5;47;7,0;19;2,8;17;2,5;x;0,0;x;0,0;
82;Ehrenhainstr. 119;1.215;639;8;631;237;37,6;260;41,2;8;1,3;23;3,6;76;12,0;20;3,2;7;1,1;x;0,0;x;0,0;
83;Edith-Stein-Str. 19;1.287;700;16;684;226;33,0;292;42,7;16;2,3;52;7,6;48;7,0;27;4,0;23;3,4;x;0,0;x;0,0;
84;Edith-Stein-Str. 19;992;510;10;500;135;27,0;210;42,0;7;1,4;45;9,0;49;9,8;30;6,0;24;4,8;x;0,0;x;0,0;
85;Blücherstr. 19;1.235;616;14;602;185;30,7;292;48,5;13;2,2;26;4,3;53;8,8;19;3,2;14;2,3;x;0,0;x;0,0;
86;Corneliusstr. 2;1.212;652;11;641;191;29,8;293;45,7;12;1,9;56;8,7;53;8,3;25;3,9;11;1,7;x;0,0;x;0,0;
87;Schlüssel 2;1.304;759;7;752;320;42,5;292;38,8;15;2,0;48;6,4;43;5,7;19;2,5;15;2,0;x;0,0;x;0,0;
88;Ehrenhainstr. 119;1.097;569;12;557;201;36,1;229;41,1;14;2,5;18;3,2;62;11,1;21;3,8;12;2,1;x;0,0;x;0,0;
89;Höhe 67;1.009;497;5;492;191;38,8;201;40,9;10;2,0;15;3,0;39;7,9;14;2,9;22;4,5;x;0,0;x;0,0;
90;Gebhardtstr. 16;1.337;787;18;769;327;42,5;293;38,1;25;3,2;42;5,5;41;5,3;24;3,1;17;2,2;x;0,0;x;0,0;
91;Radenberg 12;1.267;871;12;859;380;44,2;344;40,0;30;3,5;44;5,1;34;4,0;20;2,3;7;0,8;x;0,0;x;0,0;
92;Heuweg 20;784;516;10;506;179;35,4;232;45,9;14;2,8;34;6,7;32;6,3;10;2,0;5;1,0;x;0,0;x;0,0;
93;Nathrather Str. 156;1.491;918;21;897;310;34,6;396;44,1;18;2,0;48;5,3;75;8,4;20;2,2;30;3,3;x;0,0;x;0,0;
94;Tescher Str. 10;1.322;698;13;685;243;35,5;297;43,4;17;2,5;41;6,0;58;8,5;18;2,6;11;1,6;x;0,0;x;0,0;
95;Vohwinkeler Feld 39;1.231;695;12;683;274;40,1;264;38,6;9;1,3;44;6,4;61;8,9;20;2,9;11;1,6;x;0,0;x;0,0;
96;Zur Waldkampfbahn 8;1.646;1.052;19;1.033;357;34,6;444;43,0;22;2,1;85;8,2;79;7,7;24;2,3;22;2,1;x;0,0;x;0,0;
97;Schöllerweg 11;321;213;5;208;63;30,3;99;47,6;2;1,0;15;7,2;14;6,7;7;3,4;8;3,9;x;0,0;x;0,0;
98;Ladestr. 13;715;433;4;429;143;33,3;206;48,0;2;0,5;20;4,7;30;7,0;13;3,0;15;3,5;x;0,0;x;0,0;
99;Herichhauser Str. 21b;929;556;11;545;243;44,6;187;34,3;9;1,6;39;7,2;29;5,3;18;3,3;0;0,0;1;0,2;19;3,5;
100;Hauptstr. 96;1.354;804;10;794;354;44,6;262;33,0;11;1,4;62;7,8;46;5,8;36;4,5;0;0,0;0;0,0;23;2,9;
101;Rottsieper Höhe 14;1.467;896;10;886;424;47,9;295;33,3;10;1,1;60;6,8;46;5,2;25;2,8;0;0,0;2;0,2;24;2,7;
102;Rottsieper Höhe 14;1.347;874;6;868;363;41,8;307;35,4;17;2,0;67;7,7;40;4,6;26;3,0;0;0,0;2;0,2;46;5,3;
103;Riedelstr. 34;992;543;4;539;248;46,0;181;33,6;4;0,7;42;7,8;30;5,6;15;2,8;0;0,0;1;0,2;18;3,3;
104;Teschensudberger Str. 14;1.100;695;7;688;325;47,2;230;33,4;12;1,7;48;7,0;36;5,2;8;1,2;0;0,0;0;0,0;29;4,2;
105;Kohlfurther Brücke 79;429;287;3;284;126;44,4;93;32,8;10;3,5;18;6,3;17;6,0;6;2,1;0;0,0;0;0,0;14;4,9;
106;Rathausplatz 4;899;552;11;541;191;35,3;217;40,1;11;2,0;49;9,1;39;7,2;17;3,1;0;0,0;2;0,4;15;2,8;
107;Herichhauser Str. 21b;1.130;710;9;701;311;44,4;244;34,8;14;2,0;71;10,1;24;3,4;12;1,7;0;0,0;1;0,1;24;3,4;
108;Küllenhahner Str. 145;1.406;949;11;938;408;43,5;294;31,3;22;2,4;103;11,0;49;5,2;27;2,9;0;0,0;3;0,3;32;3,4;
109;Theishahner Str. 35;851;502;5;497;204;41,0;171;34,4;8;1,6;41;8,2;41;8,2;13;2,6;0;0,0;0;0,0;19;3,8;
110;Cronenfelder Str. 26;1.185;676;7;669;282;42,1;261;39,0;10;1,5;45;6,7;35;5,2;13;1,9;0;0,0;1;0,1;22;3,3;
111;Cronenfelder Str. 26;1.244;734;9;725;347;47,9;220;30,3;20;2,8;67;9,2;33;4,5;18;2,5;0;0,0;1;0,1;19;2,6;
112;Mastweg 29;1.062;580;14;566;190;33,6;252;44,5;19;3,4;23;4,1;40;7,1;24;4,2;0;0,0;0;0,0;18;3,2;
113;Cronenfelder Str. 26;1.302;719;8;711;298;41,9;239;33,6;14;2,0;62;8,7;45;6,3;25;3,5;0;0,0;0;0,0;28;3,9;
114;Steinweg 20;910;371;7;364;133;36,5;144;39,6;5;1,4;17;4,7;43;11,8;15;4,1;7;1,9;x;0,0;x;0,0;
115;Hohenstein 123;1.175;506;16;490;151;30,8;196;40,0;6;1,2;27;5,5;65;13,3;23;4,7;22;4,5;x;0,0;x;0,0;
116;Zur Schafbrücke 30;1.062;359;10;349;101;28,9;149;42,7;11;3,1;16;4,6;44;12,6;16;4,6;12;3,4;x;0,0;x;0,0;
117;Bachstr. 15;1.040;447;9;438;126;28,8;200;45,7;9;2,0;20;4,6;44;10,1;23;5,2;16;3,6;x;0,0;x;0,0;
118;Winklerstr. 5;1.132;497;8;489;138;28,2;215;44,0;17;3,5;28;5,7;48;9,8;27;5,5;16;3,3;x;0,0;x;0,0;
119;Zeughausstr. 26;1.203;606;9;597;268;44,9;231;38,7;17;2,9;28;4,7;25;4,2;17;2,9;11;1,8;x;0,0;x;0,0;
120;Alarichstr. 44;1.100;582;19;563;139;24,7;283;50,3;12;2,1;41;7,3;52;9,2;15;2,7;21;3,7;x;0,0;x;0,0;
121;Sankt-Martins-Weg 1;1.148;572;21;551;142;25,8;278;50,5;13;2,4;31;5,6;54;9,8;20;3,6;13;2,4;x;0,0;x;0,0;
122;Steinweg 20;932;450;6;444;136;30,6;178;40,1;12;2,7;26;5,9;55;12,4;18;4,0;19;4,3;x;0,0;x;0,0;
123;Carnaper Str. 13;1.126;471;6;465;152;32,7;196;42,1;8;1,7;26;5,6;45;9,7;28;6,0;10;2,1;x;0,0;x;0,0;
124;Thorner Str. 15;1.257;647;13;634;166;26,2;295;46,5;8;1,3;52;8,2;67;10,6;27;4,3;19;3,0;x;0,0;x;0,0;
125;Eichenstr. 59;995;520;8;512;231;45,1;163;31,8;15;2,9;31;6,0;40;7,8;18;3,5;14;2,7;x;0,0;x;0,0;
126;Eichenstr. 59;1.129;603;12;591;163;27,6;289;48,9;16;2,7;29;4,9;49;8,3;24;4,1;21;3,5;x;0,0;x;0,0;
127;Eichenstr. 59;1.239;603;8;595;183;30,8;268;45,0;8;1,3;39;6,5;63;10,6;17;2,9;17;2,9;x;0,0;x;0,0;
128;Unterdörnen 1;1.080;463;17;446;125;28,0;199;44,6;9;2,0;24;5,4;44;9,9;17;3,8;28;6,3;x;0,0;x;0,0;
129;Martin-Luther-Str. 6;1.233;632;25;607;169;27,8;269;44,3;10;1,6;43;7,1;79;13,0;24;4,0;13;2,1;x;0,0;x;0,0;
130;Siegesstr. 134;1.368;679;16;663;167;25,2;292;44,0;14;2,1;65;9,8;86;13,0;30;4,5;9;1,4;x;0,0;x;0,0;
131;Heusnerstr. 40;1.182;658;8;650;221;34,0;259;39,9;22;3,4;64;9,8;44;6,8;21;3,2;19;2,9;x;0,0;x;0,0;
132;Thorner Str. 15;1.259;560;3;557;175;31,4;238;42,7;7;1,3;36;6,5;62;11,1;23;4,1;16;2,9;x;0,0;x;0,0;
133;Rudolfstr. 120;811;443;7;436;134;30,7;190;43,6;11;2,5;49;11,2;35;8,0;10;2,3;7;1,6;x;0,0;x;0,0;
134;Rudolfstr. 120;935;418;7;411;141;34,3;182;44,3;8;1,9;14;3,4;45;10,9;10;2,4;11;2,7;x;0,0;x;0,0;
135;Hünefeldstr. 54a;943;554;6;548;120;21,9;256;46,7;11;2,0;65;11,9;66;12,0;25;4,6;5;0,9;x;0,0;x;0,0;
136;Wittensteinstr. 80;1.302;617;14;603;145;24,1;260;43,1;11;1,8;50;8,3;80;13,3;42;7,0;15;2,5;x;0,0;x;0,0;
137;Hatzfelder Str. 265;494;283;2;281;144;51,2;94;33,5;8;2,9;13;4,6;14;5,0;5;1,8;3;1,1;x;0,0;x;0,0;
138;Friedhofstr. 11;1.443;556;15;541;191;35,3;217;40,1;5;0,9;29;5,4;58;10,7;25;4,6;16;3,0;x;0,0;x;0,0;
139;Alarichstr. 44;1.215;630;6;624;194;31,1;292;46,8;10;1,6;57;9,1;47;7,5;12;1,9;12;1,9;x;0,0;x;0,0;
140;Schützenstr. 34;1.131;552;10;542;156;28,8;259;47,8;18;3,3;23;4,2;50;9,2;20;3,7;16;3,0;x;0,0;x;0,0;
141;Wilkhausstr. 133a;1.254;693;4;689;243;35,3;302;43,8;23;3,3;43;6,2;41;6,0;20;2,9;17;2,5;x;0,0;x;0,0;
142;Wilkhausstr. 133a;1.194;638;15;623;233;37,4;262;42,0;21;3,4;35;5,6;44;7,1;15;2,4;13;2,1;x;0,0;x;0,0;
143;Meckelstr. 106;1.214;680;17;663;222;33,5;292;44,0;16;2,4;57;8,6;51;7,7;16;2,4;9;1,4;x;0,0;x;0,0;
144;Meckelstr. 106;1.250;638;10;628;172;27,4;255;40,6;17;2,7;72;11,5;67;10,7;33;5,2;12;1,9;x;0,0;x;0,0;
145;Marper Schulweg 6;1.150;661;6;655;360;55,0;182;27,8;40;6,1;43;6,6;12;1,8;13;2,0;5;0,8;x;0,0;x;0,0;
146;Marper Schulweg 6;1.641;1.001;14;987;442;44,8;368;37,3;38;3,9;60;6,1;48;4,9;27;2,7;4;0,4;x;0,0;x;0,0;
147;Bundeshöhe 6;620;414;7;407;201;49,4;123;30,2;20;4,9;28;6,9;23;5,7;5;1,2;7;1,7;x;0,0;x;0,0;
148;Hesselnberg 42;987;552;13;539;152;28,2;240;44,5;15;2,8;50;9,3;52;9,7;19;3,5;11;2,0;x;0,0;x;0,0;
149;Hesselnberg 42;1.025;520;11;509;165;32,4;227;44,6;11;2,2;38;7,5;48;9,4;16;3,1;4;0,8;x;0,0;x;0,0;
150;Max-Planck-Str. 10;1.316;483;10;473;139;29,4;193;40,8;12;2,5;23;4,9;66;13,9;20;4,2;20;4,2;x;0,0;x;0,0;
151;Heinrich-Böll-Str. 136;1.197;586;13;573;169;29,5;235;41,0;6;1,1;27;4,7;73;12,7;24;4,2;39;6,8;x;0,0;x;0,0;
152;Max-Planck-Str. 10;728;300;5;295;82;27,8;126;42,7;7;2,4;16;5,4;39;13,2;13;4,4;12;4,1;x;0,0;x;0,0;
153;Stennert 8;937;402;8;394;128;32,5;170;43,1;6;1,5;16;4,1;49;12,4;14;3,5;11;2,8;x;0,0;x;0,0;
154;Wikingerstr. 23;1.078;463;16;447;128;28,6;202;45,2;7;1,6;19;4,2;57;12,8;19;4,2;15;3,4;x;0,0;x;0,0;
155;Bartholomäusstr. 70;1.137;541;11;530;158;29,8;242;45,7;23;4,3;25;4,7;45;8,5;16;3,0;21;4,0;x;0,0;x;0,0;
156;Matthäusstr. 24;1.201;557;14;543;157;28,9;251;46,2;7;1,3;37;6,8;57;10,5;24;4,4;10;1,8;x;0,0;x;0,0;
157;Bachstr. 15;925;396;16;380;122;32,1;158;41,6;9;2,4;15;4,0;53;13,9;15;4,0;8;2,1;x;0,0;x;0,0;
158;Germanenstr. 36;928;446;7;439;117;26,6;201;45,8;11;2,5;29;6,6;43;9,8;22;5,0;16;3,6;x;0,0;x;0,0;
159;Germanenstr. 36;808;349;9;340;97;28,5;149;43,8;10;2,9;12;3,5;45;13,2;13;3,8;14;4,1;x;0,0;x;0,0;
160;Lentzestr. 14;1.114;528;15;513;154;30,0;236;46,0;10;1,9;39;7,6;47;9,2;17;3,3;10;1,9;x;0,0;x;0,0;
161;Haarhausen 22;1.112;612;13;599;249;41,6;240;40,1;8;1,3;27;4,5;54;9,0;13;2,2;8;1,3;x;0,0;x;0,0;
162;Kreuzstr. 85;1.019;462;8;454;143;31,5;218;48,0;9;2,0;16;3,5;28;6,2;20;4,4;20;4,4;x;0,0;x;0,0;
163;Kreuzstr. 85;951;444;8;436;147;33,7;183;42,0;16;3,7;21;4,8;44;10,1;12;2,8;13;3,0;x;0,0;x;0,0;
164;Am Diek 65;1.360;653;22;631;194;30,7;311;49,3;12;1,9;35;5,5;45;7,1;18;2,9;16;2,5;x;0,0;x;0,0;
165;Liegnitzer Str. 64;1.231;596;10;586;172;29,4;269;45,9;9;1,5;29;5,0;62;10,6;24;4,1;21;3,6;x;0,0;x;0,0;
166;Wichlinghauser Str. 74-76;976;416;9;407;96;23,6;193;47,4;7;1,7;34;8,3;39;9,6;27;6,6;11;2,7;x;0,0;x;0,0;
