Bundestagswahl am 22. September 2013 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;FDP;;GRÜNE;;DIE LINKE;;PIRATEN;;NPD;;MLPD;;AfD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

41523;Briefwahlraum 41523;x;1.150;7;1.143;565;49,4;332;29,1;79;6,9;106;9,3;30;2,6;19;1,7;12;1,1;x;0,0;x;0,0;
41623;Briefwahlraum 41623;x;1.154;12;1.142;535;46,9;369;32,3;78;6,8;87;7,6;45;3,9;20;1,8;8;0,7;x;0,0;x;0,0;
41731;Briefwahlraum 41731;x;995;14;981;381;38,8;387;39,5;38;3,9;74;7,5;57;5,8;28;2,9;16;1,6;x;0,0;x;0,0;
41832;Briefwahlraum 41832;x;857;6;851;374;44,0;306;36,0;44;5,2;73;8,6;28;3,3;15;1,8;11;1,3;x;0,0;x;0,0;
41933;Briefwahlraum 41933;x;1.137;18;1.119;401;35,8;484;43,2;46;4,1;74;6,6;60;5,4;28;2,5;26;2,3;x;0,0;x;0,0;
42041;Briefwahlraum 42041;x;813;12;801;385;48,1;239;29,8;26;3,2;73;9,1;33;4,1;11;1,4;0;0,0;0;0,0;34;4,2;
42141;Briefwahlraum 42141;x;884;8;876;381;43,5;268;30,6;27;3,1;106;12,1;46;5,2;18;2,0;0;0,0;0;0,0;30;3,4;
42242;Briefwahlraum 42242;x;1.244;18;1.226;601;49,0;362;29,5;53;4,3;93;7,6;43;3,5;33;2,7;0;0,0;2;0,2;39;3,2;
42351;Briefwahlraum 42351;x;1.053;22;1.031;403;39,1;426;41,3;30;2,9;65;6,3;61;5,9;29;2,8;17;1,6;x;0,0;x;0,0;
42452;Briefwahlraum 42452;x;709;19;690;213;30,9;306;44,4;21;3,0;61;8,8;51;7,4;24;3,5;14;2,0;x;0,0;x;0,0;
